configs,runtime_traj,F1
"{'x0': 6.9066423021078975, 'x1': -0.2683176883351414, 'x2': -8.485649451037325, 'x3': 3.493447699334107, 'x4': -0.7485334052846842, 'x5': 8.253220572154586, 'x6': -1.3341801866910146, 'x7': 9.516566224470472, 'x8': 2.8510395313997243, 'x9': 2.871351176222113}",5.002630760000102,80.024
"{'x0': -8.950783276089549, 'x1': 3.971385740413592, 'x2': -2.238703389355772, 'x3': 2.9864188850645323, 'x4': 0.5014128050463569, 'x5': 1.8348088165628853, 'x6': -0.6570207524041312, 'x7': -9.85249319343133, 'x8': -9.380391162606193, 'x9': -2.752102819081688}",10.008874485998604,153.21
"{'x0': 7.310110986333193, 'x1': -6.580952559586959, 'x2': 8.19044312566956, 'x3': -4.428379147210027, 'x4': 5.082126346068234, 'x5': -2.919668772268964, 'x6': -0.8601058321603041, 'x7': -7.71548446292218, 'x8': -2.548046559721822, 'x9': 0.8629797603478924}",15.01311288999932,92.429
"{'x0': -3.0200632367284275, 'x1': -2.968599451042624, 'x2': -0.5461851917217242, 'x3': -4.207273877017357, 'x4': 8.3810327822337, 'x5': -6.037045331067192, 'x6': -8.075609855946283, 'x7': -4.818514888445227, 'x8': -3.167008039411892, 'x9': 9.680197860585324}",20.02996802799862,90.653
"{'x0': 7.240966540416775, 'x1': -5.99585040169327, 'x2': 4.0395912553997615, 'x3': -2.8585708239878915, 'x4': -8.316363683645243, 'x5': -1.9878575019352027, 'x6': 5.199559093631265, 'x7': -1.5986083258052517, 'x8': -3.948157675340454, 'x9': 3.143391930437936}",25.03601769299894,76.377
"{'x0': 9.0, 'x1': 9.0, 'x2': 9.0, 'x3': 9.0, 'x4': 9.0, 'x5': 9.0, 'x6': 9.0, 'x7': 9.0, 'x8': 9.0, 'x9': 9.0}",38.96625032599877,294.906
"{'x0': 5.0, 'x1': -5.0, 'x2': 5.0, 'x3': -5.0, 'x4': 5.0, 'x5': -5.0, 'x6': 5.0, 'x7': -5.0, 'x8': 5.0, 'x9': -5.0}",43.98581285199907,77.927
"{'x0': -5.0, 'x1': 5.0, 'x2': -5.0, 'x3': 5.0, 'x4': -5.0, 'x5': 5.0, 'x6': -5.0, 'x7': 5.0, 'x8': -5.0, 'x9': 5.0}",48.990003820999846,78.415
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",53.994324549999874,1.443
"{'x0': -0.1, 'x1': 0.1, 'x2': -0.1, 'x3': 0.1, 'x4': -0.1, 'x5': 0.1, 'x6': -0.1, 'x7': -0.1, 'x8': 0.1, 'x9': -0.1}",73.42890951699883,1.547
"{'x0': 1.23, 'x1': -2.78, 'x2': 5.19, 'x3': -7.21, 'x4': 3.87, 'x5': -1.0, 'x6': 0.5, 'x7': -1.0, 'x8': 2.2, 'x9': -4.6}",78.4486128589997,52.258
"{'x0': 3.14, 'x1': -1.618, 'x2': -6.28, 'x3': 2.71, 'x4': -4.14, 'x5': 5.6, 'x6': 0.0, 'x7': -0.05, 'x8': 1.0, 'x9': -1.0}",83.45308111200029,59.75
"{'x0': -1.23, 'x1': 0.5, 'x2': -3.78, 'x3': 1.98, 'x4': -2.0, 'x5': 0.1, 'x6': 2.5, 'x7': -0.1, 'x8': -5.0, 'x9': 4.2}",88.45761466399927,24.137
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.1, 'x3': -0.1, 'x4': 0.01, 'x5': -0.1, 'x6': 0.1, 'x7': -0.1, 'x8': -0.1, 'x9': 0.1}",120.45519391499874,1.339
"{'x0': 0.1, 'x1': -1.0, 'x2': 0.1, 'x3': -1.0, 'x4': 0.1, 'x5': -1.0, 'x6': 0.1, 'x7': 0.1, 'x8': -1.0, 'x9': 0.1}",125.47651941299956,4.906
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.3, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': -0.1, 'x7': 0.1, 'x8': -0.1, 'x9': 0.1}",130.48109309999927,1.337
