configs,runtime_traj,F1
"{'x0': -6.29939805161534, 'x1': -1.4382080710165752, 'x2': -4.272535174233756, 'x3': 9.209478592654772, 'x4': 2.7953462074419697, 'x5': -9.679065234095807, 'x6': 8.147001355755247, 'x7': -2.86754383197626, 'x8': -2.1244991019179738, 'x9': -4.699508997058846}",5.001316383997619,170.181
"{'x0': 8.892271482203988, 'x1': -0.4446663664048849, 'x2': -5.103905946745979, 'x3': -2.810848584775945, 'x4': -2.4450430446137688, 'x5': 3.841992287856901, 'x6': 3.881152156416825, 'x7': -7.567040304441868, 'x8': -9.116276309433076, 'x9': -0.6722001925025971}",10.00424500399822,105.158
"{'x0': 9.68731749699102, 'x1': 4.375332520010005, 'x2': -2.5936625106811317, 'x3': -7.080525536442652, 'x4': 9.5460286269599, 'x5': -6.043104441497795, 'x6': -5.303254396440636, 'x7': -5.068580795052073, 'x8': 3.820387592668697, 'x9': 3.042041370600177}",15.00722030399993,202.3
"{'x0': 7.140283482649, 'x1': 1.3263815689731209, 'x2': 6.08089584325915, 'x3': -0.756924829889309, 'x4': -1.108269912855704, 'x5': -4.022122816820383, 'x6': 6.889114092318749, 'x7': -9.260187009135011, 'x8': 6.6350039288735125, 'x9': -9.194556573063068}",20.01604832999874,98.04
"{'x0': 8.709880074009824, 'x1': 5.896750172914494, 'x2': 1.687638352519116, 'x3': 7.762949540859434, 'x4': 8.155610677288145, 'x5': 7.934760298549584, 'x6': 7.581542432955523, 'x7': 9.795137981947342, 'x8': 4.592679770829026, 'x9': -3.4901279854507195}",25.0189536580001,113.739
"{'x0': -5.2, 'x1': -7.4, 'x2': 4.3, 'x3': 1.7, 'x4': -0.9, 'x5': -1.4, 'x6': 9.2, 'x7': 8.0, 'x8': -4.0, 'x9': -6.0}",41.14690074999817,93.945
"{'x0': -8.5, 'x1': 3.2, 'x2': 7.8, 'x3': -1.9, 'x4': -4.6, 'x5': 6.1, 'x6': -9.4, 'x7': 4.9, 'x8': 0.6, 'x9': -2.7}",46.15716003599664,92.441
"{'x0': -2.5, 'x1': 7.2, 'x2': -8.1, 'x3': 3.9, 'x4': -1.7, 'x5': -5.3, 'x6': 0.8, 'x7': 9.5, 'x8': -6.2, 'x9': 4.1}",51.16005113799838,125.908
"{'x0': 6.9, 'x1': 1.5, 'x2': -6.7, 'x3': 0.4, 'x4': 7.3, 'x5': -8.2, 'x6': 2.6, 'x7': -3.1, 'x8': 9.7, 'x9': 5.5}",56.1630815569988,121.501
"{'x0': -9.2, 'x1': 2.1, 'x2': -1.5, 'x3': 8.7, 'x4': -6.3, 'x5': 0.9, 'x6': -4.8, 'x7': 0.5, 'x8': 7.2, 'x9': -8.1}",77.971348785999,120.211
"{'x0': 2.7, 'x1': 9.8, 'x2': -3.6, 'x3': 6.2, 'x4': -8.9, 'x5': 0.1, 'x6': -1.4, 'x7': 0.05, 'x8': -5.9, 'x9': 7.4}",82.98221251499854,132.397
"{'x0': -7.8, 'x1': 5.1, 'x2': 1.4, 'x3': -6.5, 'x4': 3.3, 'x5': 6.8, 'x6': -1.9, 'x7': 7.1, 'x8': 8.6, 'x9': -0.5}",87.98516960199777,101.712
"{'x0': -4.1, 'x1': 6.5, 'x2': -9.7, 'x3': -0.3, 'x4': 8.2, 'x5': 3.7, 'x6': -7.1, 'x7': -9.0, 'x8': 2.5, 'x9': -1.2}",92.98810470399984,146.412
"{'x0': -2.0, 'x1': -3.0, 'x2': 1.0, 'x3': -5.0, 'x4': 2.0, 'x5': -1.0, 'x6': -4.0, 'x7': -5.0, 'x8': -2.0, 'x9': 0.5}",126.40349075499762,42.016
"{'x0': -9.5, 'x1': -8.2, 'x2': 2.7, 'x3': -3.1, 'x4': 0.5, 'x5': -1.2, 'x6': 9.1, 'x7': 0.9, 'x8': -6.8, 'x9': 4.3}",131.41628676300024,143.077
"{'x0': 9.0, 'x1': 8.0, 'x2': 7.0, 'x3': 6.0, 'x4': 5.0, 'x5': 4.0, 'x6': -0.5, 'x7': 1.0, 'x8': 9.0, 'x9': 1.0}",136.41965420999986,103.478
"{'x0': -3.1, 'x1': -8.2, 'x2': 6.7, 'x3': -1.5, 'x4': 2.9, 'x5': -4.8, 'x6': 8.5, 'x7': -1.2, 'x8': 1.2, 'x9': -7.1}",141.42286619199876,56.203
"{'x0': 0.1, 'x1': 0.1, 'x2': 0.1, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': 0.1, 'x7': -0.1, 'x8': 0.1, 'x9': -0.1}",175.55797780399735,1.397
"{'x0': 0.1, 'x1': 0.1, 'x2': 0.1, 'x3': 0.1, 'x4': 0.1, 'x5': 0.1, 'x6': 0.1, 'x7': 0.3, 'x8': 0.1, 'x9': 0.1}",180.5718404859981,1.354
"{'x0': -1.5, 'x1': 0.0, 'x2': -1.0, 'x3': 1.0, 'x4': 0.0, 'x5': -0.1, 'x6': -0.2, 'x7': -5.0, 'x8': 5.0, 'x9': 0.5}",185.57508463900007,22.145
"{'x0': 1.0, 'x1': -1.0, 'x2': 0.0, 'x3': -2.0, 'x4': 1.0, 'x5': -1.0, 'x6': -1.0, 'x7': -1.0, 'x8': 0.0, 'x9': 0.0}",190.57803733999756,10.158
