configs,runtime_traj,F1
"{'x0': 6.084664899994799, 'x1': 22.561800099005552, 'x2': 23.45832399652499, 'x3': 22.75748995295644, 'x4': 8.097870432565486, 'x5': -7.577160430865625, 'x6': -13.268772025501466, 'x7': -29.051258318524045, 'x8': -14.899197078397702, 'x9': -1.463738871228017, 'x10': 20.458289809030724, 'x11': -1.3122160312282425, 'x12': -7.026455602736025, 'x13': 22.02525784718557, 'x14': -10.6564052308939, 'x15': 9.71059180674726, 'x16': -8.634922445009849, 'x17': 29.96012049714685, 'x18': -23.56997125487689, 'x19': 24.254038563778487}",5.046553408999898,21.195
"{'x0': -1.72962314494211, 'x1': 19.720487041737968, 'x2': 1.342012099867759, 'x3': 11.723048885876182, 'x4': 14.459381660117678, 'x5': 5.3752490934342205, 'x6': 2.44929196517036, 'x7': 16.94863355559, 'x8': -25.82723905534085, 'x9': -1.7301229176974608, 'x10': -20.55652354773746, 'x11': 15.5266696563234, 'x12': -18.576155972444365, 'x13': -23.90634178770029, 'x14': -11.52509491326392, 'x15': -22.95890790425014, 'x16': -18.197945499543952, 'x17': -7.439058132935511, 'x18': 26.384693692295063, 'x19': -3.2800774611777896}",5.046575838999615,21.145
"{'x0': 7.409726775894505, 'x1': 26.36831674689023, 'x2': -26.26156295887429, 'x3': 30.78940706385093, 'x4': 10.036185386053646, 'x5': -21.567269428524146, 'x6': -9.29613958548521, 'x7': 16.42896695089275, 'x8': 7.066790704936892, 'x9': -11.465704799708613, 'x10': -30.24975125068286, 'x11': 8.799784662291913, 'x12': 30.077699268576566, 'x13': 10.013266215271848, 'x14': 8.851218340483157, 'x15': 32.45995246733804, 'x16': 5.364143190083787, 'x17': -5.611940201996696, 'x18': -1.6582244900265728, 'x19': 8.094357987778118}",5.04651038899965,21.3
"{'x0': -10.616332953918391, 'x1': 11.45256819156718, 'x2': -11.979866631746614, 'x3': 18.24164951004997, 'x4': 29.46308855894784, 'x5': 10.651360752438102, 'x6': -31.87856928852477, 'x7': 8.050841717746529, 'x8': 11.380957566454292, 'x9': 30.92938768381809, 'x10': 24.78528733820859, 'x11': 0.6307431527153753, 'x12': -29.11668183357153, 'x13': -3.200829717156456, 'x14': -31.458088359771587, 'x15': -3.8200330650356698, 'x16': 31.43019585947097, 'x17': -9.211447609306546, 'x18': -1.2521615631212342, 'x19': 12.36409927635897}",5.046454149000056,21.39
"{'x0': 24.9348678780581, 'x1': 27.40947952350952, 'x2': -18.55834438844135, 'x3': 4.272217561817108, 'x4': 23.927361457709708, 'x5': 0.587789806273463, 'x6': 27.31035551461938, 'x7': 27.600985144505124, 'x8': -27.32113968296084, 'x9': -14.56743636788626, 'x10': -32.15479899052228, 'x11': 22.43573053310442, 'x12': 9.645204451331637, 'x13': 22.37308070771782, 'x14': -15.418643953519844, 'x15': -6.696419147210488, 'x16': 3.4617085059118864, 'x17': -21.95846199758788, 'x18': -8.532256833644787, 'x19': -23.1707926377849}",5.046499268999924,21.667
"{'x0': 4.5625118505898286, 'x1': 13.35212633554395, 'x2': -13.862408221587623, 'x3': -4.372033569944762, 'x4': 16.784208289139322, 'x5': -6.80930342185453, 'x6': 25.954771763794877, 'x7': 9.104331651895322, 'x8': 25.660911598021976, 'x9': 11.80012180035419, 'x10': -3.32937702812077, 'x11': 31.36362436498011, 'x12': -25.15259165164212, 'x13': 17.499665436424714, 'x14': -5.778955372799938, 'x15': 11.497575625538666, 'x16': -16.397351278675355, 'x17': -12.24092339759016, 'x18': 30.50151742799394, 'x19': 5.79764781506556}",5.046476988999984,21.201
"{'x0': 10.46402905338104, 'x1': 2.176205056681461, 'x2': -17.659787771489164, 'x3': -6.889845984445785, 'x4': 7.786238089059182, 'x5': -1.647082510159578, 'x6': -1.957416844934173, 'x7': 14.160660478600356, 'x8': -13.894221538048049, 'x9': -7.637419620109657, 'x10': 16.329594447640964, 'x11': 24.80224274193069, 'x12': -26.026746924666835, 'x13': -26.714184780290577, 'x14': -9.565197953675415, 'x15': 3.395830358557248, 'x16': -30.564345872460542, 'x17': 30.733878248097295, 'x18': -11.731124789346469, 'x19': -18.26732866379561}",5.046386378999614,21.106
"{'x0': -23.51012872677644, 'x1': -26.39397341998784, 'x2': 31.7221923300407, 'x3': -15.706296969631849, 'x4': 2.426307960883093, 'x5': -3.4127104002798454, 'x6': -26.242640176033888, 'x7': -9.678902971561868, 'x8': -2.015286133375493, 'x9': 22.35695954562905, 'x10': 26.51899456451467, 'x11': -30.306508221439, 'x12': 0.5449612380661932, 'x13': -21.833481384853528, 'x14': 18.28788762109776, 'x15': 23.91626846060496, 'x16': -5.80670431196253, 'x17': -23.59475663711753, 'x18': -30.590737759195807, 'x19': 31.62603256710389}",5.046296099999836,21.754
"{'x0': -8.304017356668613, 'x1': -5.237940565402539, 'x2': -29.45265729180551, 'x3': -8.814847179921141, 'x4': -31.67826911337728, 'x5': -17.64607030678024, 'x6': 17.361253105458033, 'x7': 29.10607896972195, 'x8': 16.3839507673973, 'x9': -10.52483128855635, 'x10': -0.684920871905284, 'x11': -10.552271386720452, 'x12': -21.00492626048741, 'x13': -21.562222268702296, 'x14': -2.395276746130527, 'x15': 24.54801335222249, 'x16': 29.10583199613344, 'x17': 7.094459816608591, 'x18': 6.334408706952601, 'x19': 18.588909260104565}",5.046356698999716,21.484
"{'x0': 0.0017234479874943, 'x1': -29.46694796033761, 'x2': 13.04809142475235, 'x3': 32.26969039756543, 'x4': -15.252682317399444, 'x5': 11.736882585758195, 'x6': 23.873548627885725, 'x7': 16.439328481504887, 'x8': 30.440801421848143, 'x9': 3.554832225693879, 'x10': -18.848776264724737, 'x11': -18.18996084658545, 'x12': -18.43204104278692, 'x13': 4.559571161890034, 'x14': -3.1385822800494125, 'x15': 30.817431263386048, 'x16': 11.832176882009996, 'x17': -27.1780697958842, 'x18': -29.07056814725751, 'x19': -0.7970682071309199}",5.046329659999628,21.3
"{'x0': 24.969514988448964, 'x1': 31.22163787976164, 'x2': 7.710829189259606, 'x3': 2.7851997190814046, 'x4': 23.239955599242982, 'x5': 15.979940761422249, 'x6': -1.402711204249595, 'x7': 11.605218035439066, 'x8': 7.015305125327771, 'x9': 14.070378413251431, 'x10': -1.9990326089370212, 'x11': -2.882625652793852, 'x12': 26.635015753575374, 'x13': -23.775122548510254, 'x14': -17.74588244219793, 'x15': 25.00758072266462, 'x16': 26.50439520676948, 'x17': 9.554139447420468, 'x18': -11.489576742652126, 'x19': 1.2917927875887898}",5.046409238999786,21.015
"{'x0': -32.7643721324948, 'x1': -12.329928577372057, 'x2': -4.885608008766198, 'x3': 25.2534888601738, 'x4': 11.788580055074044, 'x5': -2.875079254156116, 'x6': -1.0873329025841445, 'x7': 18.922827122739548, 'x8': -17.73129993610557, 'x9': 24.92318371774494, 'x10': -12.209855364593764, 'x11': 29.97949927646519, 'x12': -1.851289049969381, 'x13': 13.866357034897495, 'x14': -22.69549002700905, 'x15': 15.102258483481435, 'x16': 9.58558616385519, 'x17': -18.68557603631411, 'x18': -20.548274127546712, 'x19': 20.15758049992949}",5.046420218999629,20.897
"{'x0': 16.19260015504485, 'x1': 11.45879566278277, 'x2': -14.621491146451124, 'x3': -21.305172013252115, 'x4': 13.40042499807602, 'x5': -2.414988493446632, 'x6': 22.3103243082421, 'x7': -19.341917409742308, 'x8': -21.957255621066277, 'x9': -24.586940744329723, 'x10': 14.554278291226533, 'x11': -30.77223448958728, 'x12': 16.18701452571466, 'x13': -26.699617722793096, 'x14': -18.51716451004765, 'x15': 16.335137476656477, 'x16': 15.184282023669958, 'x17': -29.778599139679507, 'x18': -19.0606849159436, 'x19': -13.96473572225158}",5.046431038999799,21.493
"{'x0': 11.617127978659148, 'x1': -28.636722648227725, 'x2': 3.647028774184236, 'x3': -32.16244254398607, 'x4': 21.82598475837544, 'x5': 31.741013809438527, 'x6': 13.336234173051835, 'x7': -20.864617644553093, 'x8': 0.8122180105603505, 'x9': 5.2721835827612935, 'x10': 18.84436273266858, 'x11': 6.977975751054174, 'x12': -18.45475050704583, 'x13': -2.9380565274894472, 'x14': 24.829607397128328, 'x15': -0.5067085247179222, 'x16': 14.127016015235633, 'x17': -0.90704705544535, 'x18': 13.66741155971092, 'x19': -0.1218821811424391}",5.046316399999796,20.962
"{'x0': 22.580434008273212, 'x1': -20.031588077208653, 'x2': 17.912693365838308, 'x3': 31.08101579454761, 'x4': 23.744333568428143, 'x5': 18.378041006752625, 'x6': 31.78707542889174, 'x7': 16.61793774286687, 'x8': -32.502703301038814, 'x9': -15.1073958161208, 'x10': -5.865987237841669, 'x11': -4.703922938419076, 'x12': -13.248638579175829, 'x13': -6.47939086361378, 'x14': -24.860623425626457, 'x15': 31.50313383683813, 'x16': -6.1524873719768, 'x17': 4.535796373495842, 'x18': -10.249469745686206, 'x19': 18.9315663606228}",5.046542398999918,21.364
