configs,runtime_traj,F1
"{'x0': -0.9144026384596736, 'x1': 12.170842440402367, 'x2': 31.822712056158537, 'x3': -19.949393663608586, 'x4': 5.466467433422785, 'x5': 31.495433558380057, 'x6': -20.94004323025206, 'x7': 13.20344846874722, 'x8': 22.69574238261167, 'x9': 19.445140373721564, 'x10': 23.50307463233125, 'x11': 1.1470216809898304, 'x12': -30.026801012130264, 'x13': -13.330879964485897, 'x14': -23.457556006569853, 'x15': -27.634780488991854, 'x16': 24.059892100639463, 'x17': 10.436201673756315, 'x18': -9.354951938197964, 'x19': 30.505718475299965}",5.064922415000183,21.527
"{'x0': -21.947029464521336, 'x1': 27.473579982619533, 'x2': 18.55129353962013, 'x3': -21.18270073020559, 'x4': 0.3780390673646963, 'x5': -15.88100789934807, 'x6': 32.095376465672416, 'x7': 12.759862563126845, 'x8': 6.479822157915713, 'x9': -27.37054766452609, 'x10': -15.93148387300374, 'x11': 29.82382412210652, 'x12': 15.178579794987016, 'x13': -28.1857438933942, 'x14': -32.715405302705314, 'x15': 30.747025614384874, 'x16': -4.5750756592935495, 'x17': -17.001384828991476, 'x18': -6.219046107893753, 'x19': -23.56649013109586}",5.064834685999813,21.455
"{'x0': 29.56311112621177, 'x1': 29.85058865499495, 'x2': 9.427795785756231, 'x3': -18.571260012933664, 'x4': 2.269814066214174, 'x5': -20.418914416522757, 'x6': 5.265881918359305, 'x7': 7.116753015275947, 'x8': 13.006685510418428, 'x9': -19.229213287701064, 'x10': -22.97416870769316, 'x11': -16.805328458541094, 'x12': -11.26004556316606, 'x13': -18.676387905351323, 'x14': 16.31360808300618, 'x15': -4.912181565283571, 'x16': -8.455928129021334, 'x17': -1.732572687959422, 'x18': 6.62465479717708, 'x19': -25.716138767618816}",5.064858125000228,21.111
"{'x0': -13.572336428197648, 'x1': -17.587085783273686, 'x2': 15.922445968581137, 'x3': 20.63534197467904, 'x4': -10.303312785301504, 'x5': 27.14324795906721, 'x6': -7.379466867271141, 'x7': -3.671027090094228, 'x8': 30.429290421856827, 'x9': -15.896487242277177, 'x10': -11.934261706081228, 'x11': -31.47546694208611, 'x12': 24.47021188930913, 'x13': 10.177130585956114, 'x14': -19.823102344368024, 'x15': -14.542531375009006, 'x16': -17.614925906369912, 'x17': 20.14201782606922, 'x18': -16.16062070648528, 'x19': 18.645158489649795}",5.064755435999814,21.424
"{'x0': 15.151332576014653, 'x1': -14.441560529527417, 'x2': 21.87561187891445, 'x3': 23.98685200270377, 'x4': 11.736823893248996, 'x5': 22.70124140307373, 'x6': 22.291584791280208, 'x7': 19.0212473370821, 'x8': -19.765465067362683, 'x9': 26.32949521952344, 'x10': -5.7394687492272, 'x11': 16.58833997007082, 'x12': 27.641414202601247, 'x13': 21.66329554031787, 'x14': -28.2032278405212, 'x15': -23.17759806856812, 'x16': 5.701720770988644, 'x17': 21.56010267191934, 'x18': 20.001449280330448, 'x19': -0.1266833714238799}",5.064678126000217,21.316
"{'x0': -30.54095916043431, 'x1': -5.921785369303208, 'x2': 2.8643230319935924, 'x3': 26.658416929301616, 'x4': -19.0704367504328, 'x5': 8.614539241646227, 'x6': 28.39415280664188, 'x7': -28.57317202648538, 'x8': 1.6706009657092196, 'x9': 14.377461548190333, 'x10': -32.47433695549914, 'x11': -29.475668736015, 'x12': -12.692369749247089, 'x13': 23.77873998556785, 'x14': 17.44389245081583, 'x15': -27.41094938465085, 'x16': 24.05194933739609, 'x17': -12.629829776515027, 'x18': -22.64846449203742, 'x19': 20.914422389028104}",5.064791216000231,21.717
"{'x0': -17.642768131019025, 'x1': -12.990217269878574, 'x2': 16.180975893737404, 'x3': 27.84064380511393, 'x4': -1.7100973307245226, 'x5': -28.413103102757844, 'x6': -6.105341220461515, 'x7': -21.49519852430056, 'x8': 13.45307106865775, 'x9': -1.684911085476596, 'x10': -17.200465536323982, 'x11': -15.447082674766992, 'x12': 2.46775635461443, 'x13': 14.92885698473956, 'x14': 3.09916462122883, 'x15': 20.026446808307043, 'x16': -6.099505613145006, 'x17': -26.665322668505414, 'x18': 4.467990386779249, 'x19': -29.42872990898833}",5.064824036000118,21.146
"{'x0': -5.8478445032131, 'x1': -3.91415771702496, 'x2': 32.02316274351183, 'x3': -19.395486678360257, 'x4': -27.26265081112225, 'x5': 29.75401535251176, 'x6': -19.660384888396635, 'x7': -18.944864595756524, 'x8': -27.70423387824007, 'x9': -28.73564167922327, 'x10': 0.5952133506392201, 'x11': -16.666294805432255, 'x12': -26.712868994790725, 'x13': -11.833106601144458, 'x14': 24.211909654015336, 'x15': -0.982958785187467, 'x16': -19.83012175165947, 'x17': -18.581143409156844, 'x18': 1.848787384039987, 'x19': 8.727344574197637}",5.064845846000026,21.252
"{'x0': 1.4542519134871768, 'x1': -22.18319519941609, 'x2': 15.884577247342117, 'x3': 27.42183466542366, 'x4': -21.240643962825555, 'x5': -5.945774713070328, 'x6': -3.689288853228828, 'x7': -3.9187479820310473, 'x8': 7.482839565042965, 'x9': 16.222287410777525, 'x10': 0.2990005231614248, 'x11': 12.046863105456652, 'x12': 18.95877428483807, 'x13': 23.420733642894614, 'x14': -25.98195435855725, 'x15': 16.81979020981501, 'x16': 5.941338559081011, 'x17': -23.753625544614, 'x18': 29.38006967755436, 'x19': 22.944226454134917}",5.064644955999938,20.968
"{'x0': 30.73410619474325, 'x1': 25.914352632151072, 'x2': 24.741318184015533, 'x3': -5.432011976901951, 'x4': 26.270062787525724, 'x5': 4.974264207300287, 'x6': 28.676481430144094, 'x7': -11.102641879300354, 'x8': -22.91184486627177, 'x9': 21.356978333469712, 'x10': -29.811550694818223, 'x11': -14.468274295259334, 'x12': -4.316927707949596, 'x13': -13.840725741609043, 'x14': 8.99988513318457, 'x15': 22.51070563028955, 'x16': 17.61485107233792, 'x17': -15.375033841324292, 'x18': -24.11444647455999, 'x19': -26.853215394083502}",5.064901624999948,21.372
