configs,runtime_traj,F1
"{'x0': -25.816713280746377, 'x1': -9.230884856257276, 'x2': 12.463616807498449, 'x3': -18.49920148820278, 'x4': -5.41945383962387, 'x5': -14.460178493058564, 'x6': 28.43423948338653, 'x7': 31.07593741246112, 'x8': -16.223569960601278, 'x9': 28.450199584166874, 'x10': -10.645341941430342, 'x11': 31.18689240790388, 'x12': 28.258280909257717, 'x13': 27.941948872144664, 'x14': 31.692505282892316, 'x15': 9.798333232147035, 'x16': 15.385058267153262, 'x17': -4.501529597531029, 'x18': -16.812477140106594, 'x19': 29.81161213810595}",5.00233114999719,21.665
"{'x0': -32.478554128540445, 'x1': -20.223415522028432, 'x2': 14.584382558969152, 'x3': 16.918735390035394, 'x4': 16.286428655375893, 'x5': 22.70542796359061, 'x6': 30.30401192397365, 'x7': 14.49110789739747, 'x8': -19.073133137490917, 'x9': 14.220732370203072, 'x10': 11.393011070492292, 'x11': -31.600837179595167, 'x12': 13.80364234353435, 'x13': 24.398253552724583, 'x14': 12.925278501045312, 'x15': 22.24586612222684, 'x16': 24.54421865620865, 'x17': -6.526305811635787, 'x18': -15.006746314915588, 'x19': 19.24609280860323}",10.010884406015975,21.541
"{'x0': 7.972091209852323, 'x1': -27.934607869693348, 'x2': -20.56636419757038, 'x3': 3.4352065769421287, 'x4': -29.22213074897723, 'x5': -26.868350479772445, 'x6': -28.69222389002376, 'x7': 6.445166878220114, 'x8': -13.371021437092809, 'x9': 17.896185182652438, 'x10': -5.4057790202729095, 'x11': 10.117729490151518, 'x12': 8.366937404700835, 'x13': 16.429574146388255, 'x14': -18.648924233220303, 'x15': 0.8072921793099823, 'x16': -24.53793542294437, 'x17': -32.404588569374084, 'x18': -14.072970292320498, 'x19': 13.622305730139187}",15.019500952010276,21.426
"{'x0': -2.886763323248029, 'x1': 0.2401073597811702, 'x2': -30.751114166836, 'x3': 32.71859139065165, 'x4': -29.528536010809415, 'x5': -19.028349920184127, 'x6': 4.450417465198086, 'x7': -13.213397403527786, 'x8': 0.3323669909098825, 'x9': -11.680719888428843, 'x10': -23.05222585480256, 'x11': -9.626851101614609, 'x12': -18.012931707779696, 'x13': -25.71367354441057, 'x14': -7.671378794634563, 'x15': 17.738051079807676, 'x16': -1.618057796965754, 'x17': -24.56877965772449, 'x18': -8.236318120462222, 'x19': -1.0314830271128592}",20.032531806005863,21.19
"{'x0': 6.79920392239012, 'x1': 25.179492178374723, 'x2': 19.61289484347781, 'x3': -12.609769174890978, 'x4': 30.781086624893877, 'x5': 7.559003587574146, 'x6': -3.9694825363454953, 'x7': 28.06029695099353, 'x8': -27.1907216950898, 'x9': 7.638405080672804, 'x10': -8.451878147666633, 'x11': -31.102287002736617, 'x12': -11.470750609342986, 'x13': -6.390475937544725, 'x14': 8.737070236396704, 'x15': 27.92256750124082, 'x16': -4.5989438715681175, 'x17': -26.22681193284357, 'x18': -7.982604749731873, 'x19': 6.56292150575942}",25.03928503699717,21.283
"{'x0': -1.9, 'x1': 19.6, 'x2': -23.8, 'x3': 8.2, 'x4': 21.5, 'x5': -7.9, 'x6': -1.6, 'x7': -15.9, 'x8': 10.1, 'x9': -27.7, 'x10': 5.8, 'x11': -22.2, 'x12': 26.7, 'x13': 1.1, 'x14': 13.2, 'x15': -19.3, 'x16': -5.4, 'x17': 28.3, 'x18': -13.1, 'x19': 3.7}",58.86563289602054,20.913
"{'x0': -10.5, 'x1': 15.2, 'x2': -20.1, 'x3': 25.7, 'x4': -5.3, 'x5': 10.8, 'x6': -28.3, 'x7': 8.1, 'x8': -18.9, 'x9': 22.5, 'x10': -12.7, 'x11': 3.2, 'x12': 17.6, 'x13': -21.4, 'x14': -7.9, 'x15': 11.1, 'x16': -1.3, 'x17': 21.8, 'x18': -15.5, 'x19': 6.4}",63.88007012900198,20.995
"{'x0': -17.4, 'x1': -7.2, 'x2': -3.1, 'x3': -23.9, 'x4': 31.8, 'x5': 20.9, 'x6': 17.8, 'x7': 7.4, 'x8': -11.9, 'x9': -6.5, 'x10': 27.3, 'x11': -15.8, 'x12': 1.8, 'x13': -21.7, 'x14': 16.2, 'x15': -3.9, 'x16': 29.1, 'x17': -4.8, 'x18': 10.2, 'x19': -26.7}",68.89283955699648,20.947
"{'x0': 23.1, 'x1': -1.1, 'x2': -27.8, 'x3': 6.7, 'x4': 10.5, 'x5': 16.3, 'x6': -19.9, 'x7': -11.5, 'x8': 30.1, 'x9': -8.4, 'x10': 2.1, 'x11': -24.7, 'x12': -14.6, 'x13': 7.1, 'x14': 25.9, 'x15': 13.6, 'x16': 1.7, 'x17': -5.3, 'x18': -1.2, 'x19': 27.1}",73.90472419300932,20.984
"{'x0': -30.2, 'x1': 15.1, 'x2': 4.8, 'x3': -1.9, 'x4': 28.1, 'x5': -18.7, 'x6': -11.9, 'x7': 14.7, 'x8': 21.3, 'x9': -23.6, 'x10': 12.5, 'x11': 6.2, 'x12': -7.3, 'x13': 29.7, 'x14': -5.1, 'x15': -26.7, 'x16': -8.4, 'x17': -15.7, 'x18': 26.5, 'x19': 0.7}",107.80501029000152,21.239
"{'x0': -20.3, 'x1': 12.7, 'x2': -25.9, 'x3': 28.4, 'x4': -15.1, 'x5': 5.2, 'x6': 18.7, 'x7': -8.3, 'x8': -22.6, 'x9': 29.5, 'x10': -18.2, 'x11': 1.7, 'x12': 11.9, 'x13': -27.3, 'x14': -1.4, 'x15': 3.9, 'x16': 14.5, 'x17': 24.8, 'x18': -11.2, 'x19': 8.6}",112.83785006499966,21.277
"{'x0': -5.9, 'x1': -24.7, 'x2': 28.3, 'x3': 13.3, 'x4': 6.8, 'x5': -10.5, 'x6': -16.5, 'x7': 23.7, 'x8': -2.2, 'x9': 15.7, 'x10': -14.1, 'x11': 1.9, 'x12': -30.7, 'x13': 8.4, 'x14': -8.6, 'x15': 22.9, 'x16': -19.1, 'x17': 4.5, 'x18': 20.8, 'x19': -7.8}",117.84237765701256,21.063
"{'x0': 16.7, 'x1': 11.4, 'x2': -27.1, 'x3': -16.3, 'x4': 7.1, 'x5': -21.2, 'x6': 22.3, 'x7': 9.6, 'x8': -25.3, 'x9': -6.9, 'x10': -9.5, 'x11': 24.1, 'x12': 5.9, 'x13': -1.7, 'x14': -18.8, 'x15': 19.5, 'x16': 30.2, 'x17': -3.2, 'x18': -22.8, 'x19': 13.9}",122.85623166902224,21.074
"{'x0': 11.6, 'x1': -12.1, 'x2': -29.4, 'x3': 5.3, 'x4': 17.9, 'x5': 13.2, 'x6': -18.3, 'x7': -13.7, 'x8': 27.6, 'x9': -5.1, 'x10': 2.9, 'x11': -20.8, 'x12': -12.6, 'x13': 8.2, 'x14': 26.3, 'x15': 15.8, 'x16': 0.5, 'x17': -9.1, 'x18': -0.3, 'x19': 21.9}",156.6335867489979,20.895
"{'x0': 25.3, 'x1': -4.7, 'x2': -19.6, 'x3': 7.2, 'x4': 16.1, 'x5': 18.7, 'x6': -12.9, 'x7': -5.5, 'x8': 23.1, 'x9': -9.2, 'x10': 7.1, 'x11': -25.1, 'x12': -6.3, 'x13': 13.5, 'x14': 23.9, 'x15': 14.6, 'x16': 6.5, 'x17': -1.4, 'x18': 3.8, 'x19': 27.5}",161.65137160400627,20.968
"{'x0': -18.7, 'x1': -2.3, 'x2': 26.1, 'x3': 15.1, 'x4': -11.5, 'x5': -5.7, 'x6': -14.2, 'x7': 20.3, 'x8': 2.1, 'x9': 12.4, 'x10': -17.2, 'x11': 6.1, 'x12': -28.9, 'x13': 10.9, 'x14': -11.1, 'x15': 25.4, 'x16': -16.3, 'x17': 8.1, 'x18': 18.5, 'x19': -4.6}",166.66376943400246,20.801
"{'x0': -6.3, 'x1': -24.1, 'x2': 29.8, 'x3': 14.7, 'x4': 8.5, 'x5': -9.1, 'x6': -13.4, 'x7': 22.1, 'x8': 0.1, 'x9': 19.9, 'x10': -16.8, 'x11': 2.3, 'x12': -30.3, 'x13': 9.9, 'x14': -5.8, 'x15': 23.5, 'x16': -18.2, 'x17': 7.8, 'x18': 21.6, 'x19': -5.5}",171.66739734599832,21.012
