configs,runtime_traj,F1
"{'x0': -30.413465834901924, 'x1': -12.147375303670348, 'x2': 26.58508585065097, 'x3': -32.31208279677745, 'x4': -4.928739162426879, 'x5': 2.992176084368793, 'x6': 32.246184175823586, 'x7': 5.152269865668977, 'x8': -1.2893072545687687, 'x9': 24.48491241580971, 'x10': -28.47898662935709, 'x11': 12.83738847996419, 'x12': 9.246176490816277, 'x13': 4.7868640719078, 'x14': -31.01849829299942, 'x15': 31.84573128104292, 'x16': 22.37658439625384, 'x17': -18.754126531770524, 'x18': -19.22039111021971, 'x19': 4.925409442322653}",5.104118126000685,21.341
"{'x0': -3.175931983456781, 'x1': 10.991473261521191, 'x2': 25.744064154955453, 'x3': -10.133516487516845, 'x4': 3.5160633202128864, 'x5': -25.7657135806982, 'x6': -22.315728347094453, 'x7': 28.30400790902841, 'x8': -1.312400611712082, 'x9': 13.105708633795487, 'x10': 15.20050585050494, 'x11': -27.330547024577275, 'x12': 7.691100460661275, 'x13': 5.382576548340609, 'x14': 30.763081262296467, 'x15': 28.06022464871959, 'x16': -18.20279716572384, 'x17': 1.1108265668554864, 'x18': 25.61534040326644, 'x19': 13.982449674607018}",10.108095870000398,21.149
"{'x0': 30.529466901197992, 'x1': -22.02327968631913, 'x2': -4.5296225966272985, 'x3': 22.28808681734735, 'x4': 31.59843958797262, 'x5': 19.68270072900916, 'x6': -10.131766678495282, 'x7': 7.918461324640567, 'x8': 9.895310820658324, 'x9': -10.6342647005235, 'x10': 22.79767003087257, 'x11': 19.191368184958336, 'x12': -0.0489723929438099, 'x13': -23.076902662479363, 'x14': 14.256787259178694, 'x15': 20.42934968941993, 'x16': -25.088714566323688, 'x17': 31.403751759455066, 'x18': -31.988174910408546, 'x19': 5.012312708959172}",15.11120247299914,21.236
"{'x0': -19.797928422487796, 'x1': 28.75764283869998, 'x2': -3.258440829088176, 'x3': 3.06192200757215, 'x4': 10.369103004161865, 'x5': 21.663249624078688, 'x6': -30.736599761740862, 'x7': -28.72856877816741, 'x8': 14.920145318473573, 'x9': -4.083709206114335, 'x10': -28.23202109116722, 'x11': -9.9307273736176, 'x12': -16.279557101690415, 'x13': -29.170365917933115, 'x14': 28.777442512694165, 'x15': 17.061834522789894, 'x16': -16.2158857728531, 'x17': -23.16271773700144, 'x18': -14.515995872478126, 'x19': 2.657002895186409}",20.125082030999693,21.179
"{'x0': 7.554561428620758, 'x1': -23.192923819319255, 'x2': -24.64465485094431, 'x3': -10.263670239452892, 'x4': 12.804691550371174, 'x5': 24.65695177991305, 'x6': -31.720812729693645, 'x7': -24.52124041332002, 'x8': 5.133751686161361, 'x9': 24.94014105937509, 'x10': -9.825105846058293, 'x11': 5.412323342980791, 'x12': 32.07611986183504, 'x13': 15.373356747266754, 'x14': 1.4516103740425592, 'x15': 3.29086847836232, 'x16': -18.08427755774658, 'x17': 28.950737778374453, 'x18': -24.3200498661217, 'x19': 4.396348718341308}",25.128199090000635,21.395
"{'x0': 21.45, 'x1': -28.12, 'x2': 8.67, 'x3': -14.33, 'x4': 27.55, 'x5': -11.66, 'x6': 17.09, 'x7': -6.21, 'x8': 23.88, 'x9': -21.55, 'x10': 5.12, 'x11': -19.44, 'x12': -3.92, 'x13': 13.77, 'x14': -25.87, 'x15': 9.03, 'x16': 20.17, 'x17': -1.88, 'x18': -16.31, 'x19': 18.54}",47.126751845999024,21.095
"{'x0': 8.91, 'x1': 22.66, 'x2': -13.44, 'x3': -21.88, 'x4': 1.77, 'x5': -8.55, 'x6': 26.11, 'x7': 11.33, 'x8': -27.22, 'x9': -1.99, 'x10': 19.55, 'x11': 3.11, 'x12': -17.44, 'x13': -1.11, 'x14': 14.77, 'x15': 24.33, 'x16': -10.77, 'x17': -29.66, 'x18': -5.88, 'x19': 7.0}",52.13986997699976,20.915
"{'x0': -10.23, 'x1': 15.78, 'x2': -20.11, 'x3': 25.93, 'x4': -5.01, 'x5': 10.87, 'x6': -28.34, 'x7': 18.22, 'x8': -12.56, 'x9': 2.71, 'x10': -18.99, 'x11': 8.45, 'x12': 14.12, 'x13': -22.76, 'x14': 21.33, 'x15': -7.89, 'x16': 11.05, 'x17': -25.44, 'x18': 6.39, 'x19': -15.21}",57.143764669999655,20.862
"{'x0': -23.66, 'x1': 5.11, 'x2': 18.22, 'x3': 1.0, 'x4': -11.55, 'x5': -14.88, 'x6': -6.33, 'x7': 29.77, 'x8': 9.22, 'x9': 27.11, 'x10': -4.44, 'x11': 16.88, 'x12': -24.11, 'x13': 2.55, 'x14': -2.77, 'x15': -12.99, 'x16': 18.33, 'x17': 7.66, 'x18': -21.0, 'x19': -8.11}",62.14700264000021,20.69
"{'x0': -20.5, 'x1': 5.7, 'x2': 17.2, 'x3': -1.3, 'x4': -10.8, 'x5': -15.2, 'x6': -7.1, 'x7': 28.9, 'x8': 8.5, 'x9': 26.3, 'x10': -3.9, 'x11': 17.5, 'x12': -23.6, 'x13': 2.8, 'x14': -1.8, 'x15': -13.5, 'x16': 19.1, 'x17': 7.9, 'x18': -20.2, 'x19': -7.5}",83.24781227499989,20.83
