configs,runtime_traj,F1
"{'x0': 6.682719953552223, 'x1': -5.160625623186256, 'x2': 16.860978041901483, 'x3': 11.984961633170464, 'x4': -22.27556246344736, 'x5': 10.516102889543646, 'x6': -32.14657014243437, 'x7': 15.988449703692872, 'x8': 12.141161482902746, 'x9': 8.226314323773849, 'x10': -0.9190869941421268, 'x11': 19.753843272108263, 'x12': -2.5152552441266103, 'x13': -6.382470192190755, 'x14': -23.976976051895807, 'x15': 5.0319465619998525, 'x16': -20.613748664614207, 'x17': -16.085728996106884, 'x18': 31.154968920606017, 'x19': -10.670691729217848}",5.002784529991914,20.734
"{'x0': -20.95825166954077, 'x1': -27.88396410486448, 'x2': -18.21177889676688, 'x3': -28.230570281178743, 'x4': 4.359903827596398, 'x5': -23.26781909731309, 'x6': -15.20379702686754, 'x7': -12.972975953435324, 'x8': 0.3939701788696794, 'x9': -12.30110811151129, 'x10': 7.930292657996581, 'x11': 10.366478799722366, 'x12': 1.163330977446904, 'x13': -24.784605583812883, 'x14': -28.148345821057895, 'x15': -30.1177206543873, 'x16': 23.713960552731574, 'x17': 5.849411807318205, 'x18': 21.876251893288703, 'x19': -8.97012728084744}",10.009687055979157,20.916
"{'x0': 18.299411799760527, 'x1': 31.29733662220781, 'x2': 6.3801571378786335, 'x3': 21.15686834237384, 'x4': -24.080193041655534, 'x5': -31.76148949721756, 'x6': 0.4180796509201983, 'x7': -11.22042147090497, 'x8': -22.82587113086769, 'x9': 15.065089585682829, 'x10': -29.704294965067778, 'x11': 6.329599069304692, 'x12': 9.428262025841311, 'x13': 24.842529785258613, 'x14': -4.217008451945176, 'x15': 1.045396431261743, 'x16': 30.647321114944, 'x17': -11.681975443768868, 'x18': -32.47334711209472, 'x19': 15.30749904461672}",15.01398821498151,21.446
"{'x0': -26.225971741014718, 'x1': -10.564771984563937, 'x2': 18.240341769107047, 'x3': 27.046779924522205, 'x4': -15.38150341647448, 'x5': 11.218692752837796, 'x6': -1.606162410294267, 'x7': -4.532967690038596, 'x8': -10.301839237376177, 'x9': 15.33057857021852, 'x10': -11.723778045019536, 'x11': 12.89018989697069, 'x12': -16.206006039541133, 'x13': 0.2366357769869651, 'x14': 25.802862955384303, 'x15': 6.544077813695118, 'x16': 20.46273604951353, 'x17': 5.466572102240718, 'x18': 1.0045588127299965, 'x19': 11.826296838144929}",20.02928790298756,20.848
"{'x0': 15.384038224897182, 'x1': -19.71022683497293, 'x2': 0.0860824741364254, 'x3': 13.8605641168701, 'x4': -15.897628143403658, 'x5': 25.2188902222836, 'x6': 29.941836370565383, 'x7': -18.567154652345764, 'x8': -20.844197449868304, 'x9': -19.991545804073017, 'x10': -11.563445580376968, 'x11': -25.413528669177797, 'x12': -14.779688680626911, 'x13': -31.60741311605331, 'x14': 1.9355753920229544, 'x15': 24.89502558266559, 'x16': -8.49512575135632, 'x17': -8.468964608407092, 'x18': 30.606415264544367, 'x19': -0.0398509715554808}",25.03401600298821,21.269
"{'x0': -22.14, 'x1': 13.07, 'x2': 21.63, 'x3': -8.51, 'x4': -1.22, 'x5': -26.19, 'x6': 7.58, 'x7': 15.11, 'x8': -29.03, 'x9': 18.44, 'x10': 5.33, 'x11': -19.55, 'x12': -3.88, 'x13': 8.96, 'x14': 24.12, 'x15': 2.75, 'x16': -23.61, 'x17': 7.13, 'x18': -14.89, 'x19': 27.57}",45.54504723698483,21.041
"{'x0': -10.23, 'x1': 20.56, 'x2': -25.87, 'x3': 5.12, 'x4': 18.91, 'x5': -15.43, 'x6': 12.78, 'x7': -2.34, 'x8': 8.01, 'x9': -21.65, 'x10': 28.32, 'x11': -7.99, 'x12': 1.05, 'x13': -11.87, 'x14': 15.67, 'x15': -29.12, 'x16': -5.41, 'x17': 22.09, 'x18': -18.33, 'x19': 3.76}",50.56457116297679,20.849
"{'x0': -15.76, 'x1': -5.89, 'x2': 10.32, 'x3': -18.21, 'x4': 23.55, 'x5': -8.12, 'x6': -2.44, 'x7': 27.88, 'x8': -13.99, 'x9': -3.11, 'x10': 14.55, 'x11': -21.77, 'x12': 6.88, 'x13': 20.11, 'x14': -16.54, 'x15': 3.22, 'x16': -10.66, 'x17': 18.76, 'x18': 25.31, 'x19': -28.45}",55.579695938999066,21.023
"{'x0': 28.11, 'x1': -12.94, 'x2': 7.25, 'x3': -26.44, 'x4': -5.78, 'x5': 21.33, 'x6': -19.87, 'x7': 11.54, 'x8': -3.69, 'x9': 25.02, 'x10': -17.11, 'x11': 0.86, 'x12': -22.55, 'x13': 14.21, 'x14': -9.33, 'x15': 8.47, 'x16': 16.22, 'x17': -24.98, 'x18': 5.93, 'x19': -14.07}",60.5971840150014,20.86
"{'x0': -5.0, 'x1': 20.0, 'x2': -15.0, 'x3': 5.0, 'x4': 10.0, 'x5': -25.0, 'x6': 0.0, 'x7': 15.0, 'x8': -10.0, 'x9': 20.0, 'x10': -5.0, 'x11': 5.0, 'x12': 10.0, 'x13': -25.0, 'x14': 0.0, 'x15': 15.0, 'x16': -10.0, 'x17': 20.0, 'x18': -5.0, 'x19': 10.0}",80.53326262100018,18.707
"{'x0': -25.0, 'x1': 15.0, 'x2': -10.0, 'x3': 20.0, 'x4': -5.0, 'x5': -20.0, 'x6': 10.0, 'x7': -15.0, 'x8': 5.0, 'x9': -25.0, 'x10': 15.0, 'x11': -10.0, 'x12': 0.0, 'x13': 20.0, 'x14': -15.0, 'x15': 5.0, 'x16': -20.0, 'x17': 10.0, 'x18': -5.0, 'x19': 0.0}",85.54610564399627,18.916
"{'x0': -15.0, 'x1': 5.0, 'x2': 25.0, 'x3': -20.0, 'x4': 10.0, 'x5': -5.0, 'x6': 15.0, 'x7': -10.0, 'x8': 20.0, 'x9': -15.0, 'x10': 5.0, 'x11': 25.0, 'x12': -20.0, 'x13': 10.0, 'x14': -5.0, 'x15': 15.0, 'x16': -10.0, 'x17': 20.0, 'x18': -15.0, 'x19': 5.0}",90.55107349698665,19.004
"{'x0': 10.0, 'x1': -20.0, 'x2': 5.0, 'x3': -10.0, 'x4': 0.0, 'x5': 15.0, 'x6': -5.0, 'x7': 20.0, 'x8': -10.0, 'x9': 10.0, 'x10': -20.0, 'x11': 5.0, 'x12': -15.0, 'x13': 0.0, 'x14': 15.0, 'x15': -5.0, 'x16': 20.0, 'x17': -15.0, 'x18': 10.0, 'x19': -10.0}",95.55501282098705,18.407
"{'x0': 12.0, 'x1': -22.0, 'x2': 3.0, 'x3': -10.0, 'x4': -1.0, 'x5': 17.0, 'x6': -8.0, 'x7': 24.0, 'x8': -13.0, 'x9': 9.0, 'x10': -20.0, 'x11': 4.0, 'x12': -15.0, 'x13': -2.0, 'x14': 18.0, 'x15': -4.0, 'x16': 22.0, 'x17': -17.0, 'x18': 7.0, 'x19': -9.0}",123.15777140698629,18.732
"{'x0': -18.0, 'x1': 7.0, 'x2': 27.0, 'x3': -22.0, 'x4': 12.0, 'x5': -6.0, 'x6': 16.0, 'x7': -11.0, 'x8': 21.0, 'x9': -16.0, 'x10': 6.0, 'x11': 26.0, 'x12': -21.0, 'x13': 11.0, 'x14': -7.0, 'x15': 14.0, 'x16': -9.0, 'x17': 19.0, 'x18': -12.0, 'x19': 4.0}",128.17639414797304,19.143
"{'x0': -11.7, 'x1': 23.4, 'x2': -18.2, 'x3': 6.8, 'x4': 14.1, 'x5': -27.1, 'x6': 3.9, 'x7': -12.5, 'x8': 20.3, 'x9': -8.7, 'x10': 9.2, 'x11': -24.6, 'x12': 1.5, 'x13': 16.9, 'x14': -14.3, 'x15': 5.6, 'x16': -20.8, 'x17': 11.4, 'x18': -3.0, 'x19': -1.2}",133.18342297899653,20.737
"{'x0': -21.0, 'x1': 14.0, 'x2': -9.0, 'x3': 26.0, 'x4': -4.0, 'x5': -25.0, 'x6': 11.0, 'x7': -14.0, 'x8': 5.0, 'x9': -23.0, 'x10': 16.0, 'x11': -10.0, 'x12': 3.0, 'x13': 20.0, 'x14': -18.0, 'x15': 7.0, 'x16': -19.0, 'x17': 13.0, 'x18': -1.0, 'x19': 2.0}",138.18943395497627,19.03
"{'x0': 0.0, 'x1': -10.0, 'x2': 10.0, 'x3': -10.0, 'x4': 10.0, 'x5': -10.0, 'x6': 0.0, 'x7': 10.0, 'x8': -10.0, 'x9': 10.0, 'x10': -10.0, 'x11': 10.0, 'x12': 0.0, 'x13': -10.0, 'x14': 0.0, 'x15': 10.0, 'x16': -10.0, 'x17': 10.0, 'x18': 0.0, 'x19': 0.0}",165.99351816397393,16.248
"{'x0': 20.0, 'x1': -10.0, 'x2': 5.0, 'x3': -20.0, 'x4': 10.0, 'x5': 10.0, 'x6': -20.0, 'x7': 5.0, 'x8': -10.0, 'x9': 20.0, 'x10': -10.0, 'x11': 5.0, 'x12': -10.0, 'x13': 10.0, 'x14': -5.0, 'x15': 15.0, 'x16': -20.0, 'x17': 5.0, 'x18': -0.659, 'x19': -10.0}",171.01225979498122,18.576
"{'x0': 5.0, 'x1': -15.0, 'x2': 10.0, 'x3': -5.0, 'x4': 15.0, 'x5': 5.0, 'x6': -10.0, 'x7': 15.0, 'x8': -5.0, 'x9': 10.0, 'x10': -15.0, 'x11': 5.0, 'x12': -15.0, 'x13': 10.0, 'x14': -5.0, 'x15': 15.0, 'x16': -10.0, 'x17': 15.0, 'x18': -0.659, 'x19': -5.0}",176.03067164198728,17.805
"{'x0': -25.0, 'x1': 10.0, 'x2': -15.0, 'x3': 20.0, 'x4': -5.0, 'x5': -20.0, 'x6': 10.0, 'x7': -10.0, 'x8': 5.0, 'x9': -25.0, 'x10': 15.0, 'x11': -10.0, 'x12': 0.0, 'x13': 20.0, 'x14': -15.0, 'x15': 5.0, 'x16': -20.0, 'x17': 10.0, 'x18': -2.0, 'x19': 0.0}",181.05344391599647,18.86
"{'x0': 1.0, 'x1': -1.0, 'x2': 1.0, 'x3': -1.0, 'x4': 1.0, 'x5': -1.0, 'x6': 1.0, 'x7': 1.0, 'x8': -1.0, 'x9': 1.0, 'x10': -1.0, 'x11': 1.0, 'x12': 1.0, 'x13': -1.0, 'x14': 1.0, 'x15': -1.0, 'x16': 1.0, 'x17': -1.0, 'x18': 1.0, 'x19': -1.0}",216.72257760798675,3.625
"{'x0': -5.0, 'x1': 5.0, 'x2': -5.0, 'x3': 5.0, 'x4': -5.0, 'x5': 5.0, 'x6': -5.0, 'x7': 5.0, 'x8': -5.0, 'x9': 5.0, 'x10': -5.0, 'x11': 5.0, 'x12': -5.0, 'x13': 5.0, 'x14': -5.0, 'x15': 5.0, 'x16': -5.0, 'x17': 5.0, 'x18': -0.659, 'x19': 5.0}",221.74994148898983,12.659
"{'x0': 5.0, 'x1': -17.0, 'x2': 12.0, 'x3': -7.0, 'x4': 14.0, 'x5': 6.0, 'x6': -13.0, 'x7': 16.0, 'x8': -8.0, 'x9': 11.0, 'x10': -18.0, 'x11': 7.0, 'x12': -16.0, 'x13': 13.0, 'x14': -6.0, 'x15': 17.0, 'x16': -12.0, 'x17': 15.0, 'x18': -0.659, 'x19': -9.0}",226.76639408699705,18.419
"{'x0': 10.5, 'x1': -18.5, 'x2': 7.2, 'x3': -8.1, 'x4': 12.8, 'x5': 3.7, 'x6': -11.2, 'x7': 13.9, 'x8': -6.3, 'x9': 8.9, 'x10': -15.7, 'x11': 4.6, 'x12': -13.1, 'x13': 9.4, 'x14': -4.1, 'x15': 14.2, 'x16': -9.8, 'x17': 12.5, 'x18': -0.659, 'x19': -7.0}",231.77081982197703,19.276
