configs,runtime_traj,F1
"{'x0': -20.638460924840714, 'x1': 28.28146218245238, 'x2': 29.34247335709101, 'x3': -0.9994831931797884, 'x4': -11.761324057453706, 'x5': -22.647493552417664, 'x6': 13.032665341440904, 'x7': -24.906921240403, 'x8': -0.9715115884632476, 'x9': 8.699099912662994, 'x10': 20.855306410713908, 'x11': 11.99479156961911, 'x12': -0.0942951593856875, 'x13': 5.68832675021477, 'x14': 14.401813371745677, 'x15': -15.827069407238632, 'x16': 3.028242917107825, 'x17': -6.074673903046154, 'x18': -21.16913570329811, 'x19': 30.77782934826469}",5.0997880700006135,20.775
"{'x0': -13.302604948590574, 'x1': -13.902229283143395, 'x2': -25.15315473802201, 'x3': -20.858336851972677, 'x4': -0.3742257828392112, 'x5': 4.3099835087949145, 'x6': -18.229810494655432, 'x7': 17.53030137710264, 'x8': 5.066461596594863, 'x9': -21.769531509869395, 'x10': -8.68539638586757, 'x11': -2.0530079880826584, 'x12': 10.109988517123938, 'x13': 19.207929445916363, 'x14': 10.68641766938118, 'x15': 7.407514059393279, 'x16': 32.16847635742391, 'x17': -24.937444256690146, 'x18': -23.031658349242026, 'x19': 23.08708982644096}",5.099652181000238,20.852
"{'x0': 0.6242878418009568, 'x1': -18.52899810082029, 'x2': 32.3266998738348, 'x3': -12.104664273855407, 'x4': -15.811662877174829, 'x5': 20.26211154138049, 'x6': -9.589530382539465, 'x7': -2.1074743478495286, 'x8': -14.799781272586806, 'x9': 19.542860617289136, 'x10': 20.587375040085405, 'x11': 29.366053889815625, 'x12': 21.16056779826684, 'x13': 0.9921574249389806, 'x14': -18.2846650257801, 'x15': 16.163235960535758, 'x16': -4.486740689870917, 'x17': 25.4478745087168, 'x18': 28.914044419228667, 'x19': 0.1974110352823928}",5.099675510999987,21.313
"{'x0': 13.241027149324765, 'x1': 13.535936896953054, 'x2': -1.2437582181516404, 'x3': 30.167120748546505, 'x4': -4.848187732389228, 'x5': -11.608115548523305, 'x6': 17.16584426058543, 'x7': 28.352745597242887, 'x8': 13.84233322331783, 'x9': 1.1423425312502076, 'x10': 25.19673062672916, 'x11': 3.514947392453493, 'x12': 4.826234563911072, 'x13': -6.951187582023007, 'x14': 27.954167840208527, 'x15': -32.404640928119846, 'x16': 14.974877447762369, 'x17': -9.453330177048375, 'x18': -18.813207387993756, 'x19': -9.0421715904859}",5.0996257410006365,20.948
"{'x0': 24.79228761013229, 'x1': -8.957074383690422, 'x2': 0.2101686462516667, 'x3': 17.530110594274312, 'x4': 27.16307100337199, 'x5': 21.38885368694917, 'x6': -5.783785375499072, 'x7': 8.574904771929049, 'x8': -10.360481390245994, 'x9': -7.753371429072992, 'x10': 30.307750508690283, 'x11': 9.634724481640504, 'x12': 30.00537385620722, 'x13': 19.88703867902136, 'x14': -17.734961710569614, 'x15': 24.85138410343844, 'x16': 6.0618416315826735, 'x17': 18.75458406761578, 'x18': 2.106618106275498, 'x19': 30.68989100488679}",5.099797939999917,21.169
"{'x0': 4.912154850563574, 'x1': -1.517590396036809, 'x2': -5.168276001573307, 'x3': 6.486751854778149, 'x4': -25.783662332350964, 'x5': -8.610936415606492, 'x6': -18.624911660908868, 'x7': 20.133389449260044, 'x8': 19.544184251092723, 'x9': 3.5742989569231085, 'x10': 25.896271442341536, 'x11': 28.124112509636447, 'x12': 31.30218190439038, 'x13': 27.37561406662215, 'x14': -30.145823327026456, 'x15': 15.258254699005455, 'x16': 25.97675838706648, 'x17': 22.14006278869988, 'x18': 2.3890295357744904, 'x19': -11.710065162154413}",5.099778010000591,21.385
"{'x0': -6.733562158437199, 'x1': -14.585743532318777, 'x2': 28.589951751282783, 'x3': -2.3761644967855773, 'x4': 23.087609020536743, 'x5': -18.82407763171385, 'x6': -32.7599005716017, 'x7': -26.67995053946665, 'x8': -21.291572662457742, 'x9': 0.9738101051211104, 'x10': 24.90304750183388, 'x11': 18.664123151818544, 'x12': 1.9543604910174464, 'x13': -14.821761488569408, 'x14': -31.03888840356601, 'x15': 24.22922453374664, 'x16': -14.716903814204247, 'x17': -23.25149411676364, 'x18': 0.3546568516202413, 'x19': -10.807236014008094}",5.099580542000695,21.259
"{'x0': -22.171128339127662, 'x1': -18.39661236809283, 'x2': 22.054020613966024, 'x3': 14.440728389528829, 'x4': -29.393670091298585, 'x5': 8.078775780705818, 'x6': -14.007058578492405, 'x7': 20.49847765115919, 'x8': 3.0063138206188995, 'x9': -31.570655230682373, 'x10': -31.712197738969984, 'x11': 28.510501639226035, 'x12': -7.1705768604580165, 'x13': 26.912719752061875, 'x14': 20.936482453937337, 'x15': -26.845487283446687, 'x16': -9.290363088305298, 'x17': -31.523790689244613, 'x18': -3.2750487314320798, 'x19': -30.777786193229275}",5.099710851000054,21.471
"{'x0': -15.050082308403764, 'x1': -32.59874823259695, 'x2': -4.342027690221322, 'x3': 5.713048640261022, 'x4': 32.24268015315427, 'x5': -4.225707300774069, 'x6': -9.0159593715577, 'x7': 24.453273156917614, 'x8': -0.9795163844852296, 'x9': 15.981741947078843, 'x10': 16.658002698111936, 'x11': -11.55509763553263, 'x12': 15.423988849814007, 'x13': -20.605191186412515, 'x14': -24.1112345175922, 'x15': -32.114481065630905, 'x16': -8.32038145649268, 'x17': -32.06015063340882, 'x18': 22.836806131224414, 'x19': -16.831821615296043}",5.099843800000599,21.27
"{'x0': 11.798266348368244, 'x1': 11.609030150573233, 'x2': 25.2855848915232, 'x3': -22.70392020778318, 'x4': 29.274546312834232, 'x5': -13.517210720424352, 'x6': 15.505852888548375, 'x7': -1.603078120874823, 'x8': -21.963267077538376, 'x9': 21.45998288107934, 'x10': 2.601635303778288, 'x11': -9.556956219742291, 'x12': 22.41316029455993, 'x13': -30.683635644119956, 'x14': -28.328903618977456, 'x15': 8.400484338819133, 'x16': 8.843657993297953, 'x17': 17.677482381208307, 'x18': -3.841154930535041, 'x19': 23.49258129942209}",5.099687191000157,21.595
