configs,runtime_traj,F1
"{'x0': 0.2993102158993711, 'x1': 0.2025936552379914, 'x2': 0.3861034402434667}",5.91709440399427,-0.62
"{'x0': 0.8518193540622541, 'x1': 0.9868084720290042, 'x2': 0.6404884280376556}",10.937995765008964,-0.513
"{'x0': 0.4299858280029243, 'x1': 0.4043517341576575, 'x2': 0.7651201319278412}",15.958403608994558,-2.691
"{'x0': 0.633036911127869, 'x1': 0.7671859147315071, 'x2': 0.921623671946812}",20.965911803010385,-2.18
"{'x0': 0.7156911337477204, 'x1': 0.4704564524233714, 'x2': 0.6048434594775495}",25.969924022007035,-0.955
"{'x0': 0.15, 'x1': 0.6, 'x2': 0.95}",38.94953509201878,-2.94
"{'x0': 0.6, 'x1': 0.95, 'x2': 0.15}",43.96470439201221,-0.011
"{'x0': 0.4, 'x1': 0.1, 'x2': 0.7}",48.9699170870008,-0.463
"{'x0': 0.1, 'x1': 0.7, 'x2': 0.4}",53.97595182599616,-1.109
"{'x0': 0.95, 'x1': 0.95, 'x2': 0.95}",64.75871668400941,-0.636
"{'x0': 0.05, 'x1': 0.05, 'x2': 0.05}",69.76487018002081,-0.171
"{'x0': 0.1, 'x1': 0.2, 'x2': 0.8}",74.7767575350008,-1.232
"{'x0': 0.2, 'x1': 0.1, 'x2': 0.8}",79.7915674020187,-0.609
"{'x0': 0.01, 'x1': 0.99, 'x2': 0.01}",90.5879737510113,-0.0
"{'x0': 0.25, 'x1': 0.75, 'x2': 0.25}",95.6025894159975,-0.167
"{'x0': 0.55, 'x1': 0.0, 'x2': 0.45}",100.607204800006,-0.299
"{'x0': 0.45, 'x1': 0.55, 'x2': 0.0}",105.61994111200327,-0.018
"{'x0': 0.1, 'x1': 0.2, 'x2': 0.9}",116.36259376100496,-1.076
"{'x0': 0.3, 'x1': 0.05, 'x2': 0.9}",121.373374650022,-0.318
"{'x0': 0.7, 'x1': 0.5, 'x2': 0.8}",126.38058391201776,-3.365
"{'x0': 0.5, 'x1': 0.8, 'x2': 0.7}",131.38409158500144,-1.84
"{'x0': 0.11, 'x1': 0.11, 'x2': 0.77}",142.98817778201192,-0.635
"{'x0': 0.2, 'x1': 0.2, 'x2': 0.6}",148.0011097160168,-0.425
"{'x0': 0.1, 'x1': 0.1, 'x2': 0.8}",153.00922899201396,-0.607
"{'x0': 0.2, 'x1': 0.6, 'x2': 0.2}",158.0268791349954,-0.11
"{'x0': 0.1, 'x1': 0.3, 'x2': 0.2}",169.2321896670037,-0.505
"{'x0': 0.77, 'x1': 0.23, 'x2': 0.07}",174.2457315720094,-0.169
"{'x0': 0.12, 'x1': 0.85, 'x2': 0.03}",179.24940387302195,-0.001
