configs,runtime_traj,F1
"{'x0': 0.5007353665799922, 'x1': 0.8937741384217743, 'x2': 0.3708098535764591}",5.002498918009223,-0.687
"{'x0': 0.2363872316783456, 'x1': 0.4359426993719056, 'x2': 0.0973544534998011}",10.010976616002154,-0.145
"{'x0': 0.4550207490802763, 'x1': 0.568436416430432, 'x2': 0.3889562954977321}",15.014837650000118,-0.457
"{'x0': 0.4520097258265109, 'x1': 0.3413125900578607, 'x2': 0.2101084874985229}",20.026776182989124,-0.54
"{'x0': 0.0465443678951684, 'x1': 0.6013686274809186, 'x2': 0.8257456501176279}",25.037917131994615,-3.719
"{'x0': 0.05, 'x1': 0.6, 'x2': 0.01}",43.0392587390088,-0.01
"{'x0': 0.8, 'x1': 0.9, 'x2': 0.8}",48.05181832698872,-1.067
"{'x0': 0.9, 'x1': 0.2, 'x2': 0.9}",53.06046581300325,-1.018
"{'x0': 0.2, 'x1': 0.75, 'x2': 0.4}",58.08652745099971,-1.244
"{'x0': 0.01, 'x1': 0.9, 'x2': 0.9}",76.43680932599818,-1.239
"{'x0': 0.9, 'x1': 0.0, 'x2': 0.2}",81.4449150589935,-0.327
"{'x0': 0.95, 'x1': 0.48, 'x2': 0.3}",86.45116851601051,-0.106
"{'x0': 0.9, 'x1': 0.0, 'x2': 0.455}",91.46339211400482,-0.139
"{'x0': 0.01, 'x1': 0.95, 'x2': 0.95}",108.6948163229972,-0.712
"{'x0': 0.95, 'x1': 0.7, 'x2': 0.9}",113.70812839700376,-2.757
"{'x0': 0.49, 'x1': 0.2, 'x2': 0.9}",118.71174227600568,-1.064
"{'x0': 0.01, 'x1': 0.01, 'x2': 0.9}",123.72151849401416,-0.214
"{'x0': 0.7, 'x1': 0.95, 'x2': 0.9}",140.85032171700732,-0.805
"{'x0': 0.98, 'x1': 0.82, 'x2': 0.62}",145.86441416700836,-0.562
"{'x0': 0.85, 'x1': 0.9, 'x2': 0.65}",150.87144079999416,-0.694
"{'x0': 0.9, 'x1': 0.6, 'x2': 0.65}",155.88340784900356,-1.262
"{'x0': 0.6, 'x1': 0.7, 'x2': 0.9}",173.13483181298943,-2.917
"{'x0': 0.9, 'x1': 0.5, 'x2': 0.8}",178.15982788600377,-3.259
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.8}",183.170899869001,-3.457
"{'x0': 0.7, 'x1': 0.6, 'x2': 0.8}",188.1826803740114,-3.31
"{'x0': 0.55, 'x1': 0.475, 'x2': 0.8}",205.1623876960075,-3.351
"{'x0': 0.6, 'x1': 0.65, 'x2': 1.0}",210.1758659130137,-1.894
"{'x0': 0.75, 'x1': 0.5, 'x2': 0.65}",215.1800889520091,-1.424
"{'x0': 0.59, 'x1': 0.7, 'x2': 0.9}",220.21133757699863,-2.921
"{'x0': 0.55, 'x1': 0.75, 'x2': 0.92}",237.60263170400867,-2.367
"{'x0': 0.55, 'x1': 0.7, 'x2': 0.93}",242.6168525340036,-2.668
"{'x0': 0.5, 'x1': 0.6, 'x2': 0.9}",247.62228765001052,-3.513
"{'x0': 0.59, 'x1': 0.65, 'x2': 0.95}",252.6373767539917,-2.692
"{'x0': 0.75, 'x1': 0.575, 'x2': 0.7}",269.9255696029868,-2.051
"{'x0': 0.545, 'x1': 0.675, 'x2': 1.0}",274.9552767339919,-1.818
"{'x0': 0.6, 'x1': 0.575, 'x2': 0.7}",279.9593192579923,-2.202
"{'x0': 0.58, 'x1': 0.65, 'x2': 0.55}",284.97579129599035,-1.199
"{'x0': 0.6, 'x1': 0.71, 'x2': 0.82}",302.57118380299653,-2.858
"{'x0': 0.58, 'x1': 0.68, 'x2': 0.9}",307.5875897310034,-3.075
"{'x0': 0.57, 'x1': 0.675, 'x2': 0.92}",312.59218883200083,-2.938
"{'x0': 0.59, 'x1': 0.72, 'x2': 0.85}",317.6095790799882,-2.879
"{'x0': 0.5, 'x1': 0.7, 'x2': 0.8}",335.14813904400216,-2.885
"{'x0': 0.7, 'x1': 0.58, 'x2': 0.8}",340.1652525140089,-3.368
"{'x0': 0.59, 'x1': 0.7125, 'x2': 0.925}",345.16949644399574,-2.615
