configs,runtime_traj,F1
"{'x0': 0.9971848109388686, 'x1': 0.9325573593386588, 'x2': 0.1281244479293567}",10.055998889999955,-0.001
"{'x0': 0.9990405153241448, 'x1': 0.236088976951976, 'x2': 0.3965807272960261}",10.05603581899993,-0.173
"{'x0': 0.3879107411620074, 'x1': 0.66974603680348, 'x2': 0.9355390708060318}",10.056059859000015,-2.841
"{'x0': 0.8463109166860171, 'x1': 0.3132735169322751, 'x2': 0.5245481595728714}",10.056016150000003,-0.268
"{'x0': 0.4434528937795566, 'x1': 0.2295772137298255, 'x2': 0.534413908947017}",10.056012299999908,-0.309
"{'x0': 0.9139620245792328, 'x1': 0.4572048079869882, 'x2': 0.4306985671847084}",10.056071068999929,-0.143
"{'x0': 0.9391277894236256, 'x1': 0.7783892363365335, 'x2': 0.7159705159683643}",10.055992739999963,-1.251
"{'x0': 0.8027575039373649, 'x1': 0.0928008086407379, 'x2': 0.518152548941889}",10.056023600000003,-0.147
"{'x0': 0.8650202519789834, 'x1': 0.8291469073671416, 'x2': 0.8296033593941836}",10.05607914899997,-1.671
"{'x0': 0.2730499742167473, 'x1': 0.0592432013015634, 'x2': 0.6705280400689455}",10.056027709999968,-0.287
"{'x0': 0.5930655182980569, 'x1': 0.6716540974221343, 'x2': 0.411787878969053}",10.056019969999966,-0.572
"{'x0': 0.1975508979847812, 'x1': 0.2896296405458124, 'x2': 0.1421201354749569}",10.05607527899997,-0.425
"{'x0': 0.7833144726948862, 'x1': 0.4125388415030261, 'x2': 0.034171311185839}",10.056067288999998,-0.049
"{'x0': 0.6240299864773533, 'x1': 0.6606357302380029, 'x2': 0.2984952947530447}",10.056048148999936,-0.163
"{'x0': 0.446134506086106, 'x1': 0.2221245475353748, 'x2': 0.0733641717425995}",10.056052119000014,-0.285
"{'x0': 0.4692385264381431, 'x1': 0.0961722604454616, 'x2': 0.9033701664788674}",10.056082808999918,-0.473
"{'x0': 0.1194904679807168, 'x1': 0.5247993768704455, 'x2': 0.0836230045470262}",10.055982709999968,-0.058
"{'x0': 0.9168613345297284, 'x1': 0.9104483817931016, 'x2': 0.2989301122097161}",10.056003479999958,-0.06
"{'x0': 0.5843891207379291, 'x1': 0.5659120274641931, 'x2': 0.6139383177960557}",10.05600781999999,-1.332
"{'x0': 0.9565356566705222, 'x1': 0.2609789796155568, 'x2': 0.2310154222125889}",10.056086098999913,-0.278
"{'x0': 0.5334484906051753, 'x1': 0.9499381385326396, 'x2': 0.4930595935447459}",10.056044128999927,-1.484
"{'x0': 0.540600508823644, 'x1': 0.7654851044408709, 'x2': 0.0453457285746532}",10.05603199899997,-0.004
"{'x0': 0.1399661191917144, 'x1': 0.7924035857960191, 'x2': 0.0298013581823932}",10.056055979000009,-0.002
"{'x0': 0.8831254758194231, 'x1': 0.5407881896009646, 'x2': 0.4479801814204182}",10.056063598999913,-0.196
"{'x0': 0.892135872001881, 'x1': 0.3775843411510946, 'x2': 0.5384246942799851}",10.05604004899999,-0.345
