configs,runtime_traj,F1
"{'x0': 0.5928446182250183, 'x1': 0.8442657485810173, 'x2': 0.8579456176227568, 'x3': 0.8472517387841254, 'x4': 0.6235636967859723, 'x5': 0.3843817072926998}",10.105135299999802,-0.151
"{'x0': 0.2975346065444723, 'x1': 0.0567129773174431, 'x2': 0.2726562945801132, 'x3': 0.4776651173213498, 'x4': 0.8121687287754932, 'x5': 0.4799771723750573}",10.10519795999994,-0.098
"{'x0': 0.3927847961008297, 'x1': 0.8360787635373775, 'x2': 0.3373961604172684, 'x3': 0.6481718720511972, 'x4': 0.3682415398405479, 'x5': 0.9571551589530464}",10.105146979999972,-0.073
"{'x0': 0.1403507804126451, 'x1': 0.8700872583584364, 'x2': 0.4736080452737105, 'x3': 0.8009107519796442, 'x4': 0.5204774795512048, 'x5': 0.6788795301189603}",10.105122089999895,-0.036
"{'x0': 0.7206326547259168, 'x1': 0.5820197920751071, 'x2': 0.5373732294490107, 'x3': 0.7586156243223572, 'x4': 0.1059076071877921, 'x5': 0.4736004193466574}",10.105163609999863,-0.049
"{'x0': 0.1863323433267599, 'x1': 0.7369181771289581, 'x2': 0.2165503544243718, 'x3': 0.135218173405452, 'x4': 0.3241410077932141, 'x5': 0.1496748671836831}",10.105231099999855,-0.229
"{'x0': 0.2223213882515876, 'x1': 0.3864889811258619, 'x2': 0.9025984755294046, 'x3': 0.4499499899112276, 'x4': 0.6130634578841324, 'x5': 0.9023485831739844}",10.105225729999802,-0.282
"{'x0': 0.0992803503589738, 'x1': 0.9698090677467488, 'x2': 0.6531400357979377, 'x3': 0.1709095851360451, 'x4': 0.358152166969525, 'x5': 0.7506861412184562}",10.105128960000002,-0.247
"{'x0': 0.6078306687154678, 'x1': 0.3250472290083525, 'x2': 0.0384254264727347, 'x3': 0.634274057957335, 'x4': 0.9589492686245203, 'x5': 0.6527903170054908}",5.10079235499984,-0.001
"{'x0': 0.6350588736035638, 'x1': 0.9952995676778876, 'x2': 0.5818503294385343, 'x3': 0.4143685882263688, 'x4': 0.4746975022884129, 'x5': 0.6235101011318682}",10.105115079999903,-0.082
"{'x0': 0.3380076148388917, 'x1': 0.6747523222590207, 'x2': 0.3172017420692961, 'x3': 0.778345482025909, 'x4': 0.949571053450742, 'x5': 0.6625268669500443}",10.105152319999888,-0.019
"{'x0': 0.0135716356121098, 'x1': 0.6228460955466695, 'x2': 0.6736596308357894, 'x3': 0.9719450024996658, 'x4': 0.878193471347177, 'x5': 0.5096243767199001}",10.10521891999997,-0.015
"{'x0': 0.0557146937016063, 'x1': 0.4511592145209281, 'x2': 0.0199876654087587, 'x3': 0.4417109212488453, 'x4': 0.9795867288127283, 'x5': 0.3594444639693215}",10.105180119999886,-0.018
"{'x0': 0.4808935308361628, 'x1': 0.6886611828057704, 'x2': 0.8804758892525955, 'x3': 0.9182354663621448, 'x4': 0.2168221376275428, 'x5': 0.5651888666048753}",10.105140929999834,-0.056
"{'x0': 0.865102561305385, 'x1': 0.5089689606670145, 'x2': 0.9167229540194608, 'x3': 0.9211576102371998, 'x4': 0.0831124926306023, 'x5': 0.2777185612810324}",10.105158070000016,-0.005
"{'x0': 0.0093567048565326, 'x1': 0.842342079667731, 'x2': 0.6471741401875555, 'x3': 0.8413861191973544, 'x4': 0.2647301642834496, 'x5': 0.397820752758629}",10.105242549999955,-0.036
"{'x0': 0.5528214798875715, 'x1': 0.1649404602418841, 'x2': 0.36980809274834, 'x3': 0.1464417627291122, 'x4': 0.5696184059233067, 'x5': 0.7037372792899163}",10.105189999999991,-0.613
"{'x0': 0.2884764370485286, 'x1': 0.433288061982044, 'x2': 0.7561066938650409, 'x3': 0.3960982754233623, 'x4': 0.896038387509077, 'x5': 0.6389210762313129}",10.105174719999924,-0.195
"{'x0': 0.8915544372256771, 'x1': 0.6800555694634123, 'x2': 0.449197738218372, 'x3': 0.978570928420717, 'x4': 0.1162019096123944, 'x5': 0.7670237035587267}",10.10509535999995,-0.023
"{'x0': 0.4118201389648447, 'x1': 0.675439081200236, 'x2': 0.249796275654978, 'x3': 0.3132183319459509, 'x4': 0.965416220519927, 'x5': 0.5884650850687494}",10.10510838999994,-0.046
"{'x0': 0.6596684120694128, 'x1': 0.5332062539166482, 'x2': 0.2305330235063298, 'x3': 0.3948692934502291, 'x4': 0.6188085645913571, 'x5': 0.474867515408942}",10.105207189999874,-0.148
"{'x0': 0.4701321892557651, 'x1': 0.7160745312286432, 'x2': 0.2879910043632805, 'x3': 0.3834622250349478, 'x4': 0.7491698371527247, 'x5': 0.878452190276042}",10.105185029999802,-0.03
"{'x0': 0.1028633586934382, 'x1': 0.0923738894608982, 'x2': 0.3540466620838102, 'x3': 0.5518162591332588, 'x4': 0.033625093498832, 'x5': 0.9689617652602736}",10.105168839999806,-0.22
"{'x0': 0.3209972413734975, 'x1': 0.2212626851837827, 'x2': 0.1412639049258967, 'x3': 0.0972599270631738, 'x4': 0.9840422413641464, 'x5': 0.2603409275874047}",10.10521349999999,-0.019
"{'x0': 0.5370225213757797, 'x1': 0.4479261718707299, 'x2': 0.099569089110811, 'x3': 0.352311661200533, 'x4': 0.4692491739902421, 'x5': 0.8411401297855995}",10.105236829999969,-0.703
"{'x0': 0.0089312650059013, 'x1': 0.0902329794896907, 'x2': 0.6191827996155763, 'x3': 0.3824400994297641, 'x4': 0.0965628785567387, 'x5': 0.984933308210826}",16.81481359899999,-0.688
"{'x0': 0.0984528449705927, 'x1': 0.2551578077826194, 'x2': 0.3374181032242199, 'x3': 0.124198343629556, 'x4': 0.4643007667287661, 'x5': 0.7657314014730423}",16.80663793199983,-1.498
"{'x0': 0.1021050838875717, 'x1': 0.027585494510343, 'x2': 0.131466743141754, 'x3': 0.3102871503092005, 'x4': 0.1080290697532536, 'x5': 0.7673250750077457}",16.814823558999933,-1.194
"{'x0': 0.0409671338903824, 'x1': 0.1211234372867195, 'x2': 0.7111234376412575, 'x3': 0.075079590069463, 'x4': 0.0105889394245665, 'x5': 0.8609106038957395}",16.814791918999845,-0.622
"{'x0': 0.1760766768271157, 'x1': 0.1895002904760139, 'x2': 0.016263241034751, 'x3': 0.1125026664139103, 'x4': 0.1579558459377952, 'x5': 0.7787776371678173}",16.814832689000013,-1.12
"{'x0': 0.1960547702455991, 'x1': 0.1967765691257483, 'x2': 0.92896307279203, 'x3': 0.2819679683782727, 'x4': 0.3881949071950091, 'x5': 0.7211034264595028}",16.814849788999936,-1.61
"{'x0': 0.1495121454881862, 'x1': 0.2229556279701157, 'x2': 0.5881352547058398, 'x3': 0.1649088616813938, 'x4': 0.2224395761080082, 'x5': 0.9753608474569692}",16.814841058999946,-1.34
"{'x0': 0.0486362303607879, 'x1': 0.3353099340448233, 'x2': 0.7046870883449953, 'x3': 0.1334291295907956, 'x4': 0.3119396912954181, 'x5': 0.7771296369548591}",18.34259061099988,-1.941
"{'x0': 0.0206992863335125, 'x1': 0.27229083144996, 'x2': 0.3735238232850522, 'x3': 0.1469686419890089, 'x4': 0.4012155966644996, 'x5': 0.8889544673719784}",18.342579950999838,-1.329
"{'x0': 0.2786675008302993, 'x1': 0.3406445688671652, 'x2': 0.0249918896368128, 'x3': 0.1120799580617302, 'x4': 0.261343252604873, 'x5': 0.8889367855161767}",18.342568340999836,-1.036
"{'x0': 0.0410041357343299, 'x1': 0.1802275607429138, 'x2': 0.8372274301679256, 'x3': 0.3215238242531636, 'x4': 0.3661335592013933, 'x5': 0.9683853185941548}",18.34254846099998,-1.222
"{'x0': 0.1545232203923797, 'x1': 0.3983364355812824, 'x2': 0.4675211187351977, 'x3': 0.23655943074409, 'x4': 0.0851875268492385, 'x5': 0.8698255765729443}",18.34260123099989,-0.935
"{'x0': 0.2108235785217693, 'x1': 0.4035153381880921, 'x2': 0.6435874138598292, 'x3': 0.3234698164057388, 'x4': 0.3417950714051634, 'x5': 0.9722113597557024}",19.506960692999883,-1.444
"{'x0': 0.2759095202009293, 'x1': 0.1267841441548048, 'x2': 0.5175123145036942, 'x3': 0.2522048753752327, 'x4': 0.0266266152598371, 'x5': 0.9651950341783152}",21.675469283999973,-0.53
"{'x0': 0.0379672731772208, 'x1': 0.2007113642664302, 'x2': 0.0441642576381308, 'x3': 0.1880012170251475, 'x4': 0.4714658043943301, 'x5': 0.9624591876593136}",19.50694931299995,-0.627
"{'x0': 0.2603420403055529, 'x1': 0.2093756479571706, 'x2': 0.4432279217529237, 'x3': 0.3535651828808545, 'x4': 0.2471018793581636, 'x5': 0.8776151381715981}",19.506928262999963,-2.008
"{'x0': 0.2460528771275001, 'x1': 0.1431907675776822, 'x2': 0.114573547206453, 'x3': 0.2280100280452824, 'x4': 0.2135077541484561, 'x5': 0.7802599847034403}",23.46935327899996,-2.061
"{'x0': 0.1092162149427561, 'x1': 0.352348554449196, 'x2': 0.4432293895965132, 'x3': 0.2475758210673709, 'x4': 0.3120682889084167, 'x5': 0.8960820600024256}",23.46932258899983,-1.788
"{'x0': 0.0913887209353032, 'x1': 0.3327810548469458, 'x2': 0.5473401036364792, 'x3': 0.1245687850520337, 'x4': 0.3487518569166445, 'x5': 0.8141204811607071}",23.469334188999937,-1.946
"{'x0': 0.0868522989257216, 'x1': 0.2737734896808439, 'x2': 0.9605224404242644, 'x3': 0.0260001061912927, 'x4': 0.0177807807573275, 'x5': 0.8083423913506127}",23.4693440489998,-0.578
"{'x0': 0.0953524297678862, 'x1': 0.1536070682122455, 'x2': 0.0356476119322183, 'x3': 0.2144767739367011, 'x4': 0.4620015124270259, 'x5': 0.9630314288834184}",26.045514538999896,-0.731
"{'x0': 0.017783596895898, 'x1': 0.1894140827464593, 'x2': 0.8696954136139792, 'x3': 0.3517917726814609, 'x4': 0.0824138524589958, 'x5': 0.8992864408470713}",21.67549979299997,-1.071
"{'x0': 0.0827190480523698, 'x1': 0.3904019931419157, 'x2': 0.6247760971705579, 'x3': 0.0497815860595383, 'x4': 0.2616759862182494, 'x5': 0.707109717254119}",26.045578218999932,-1.624
"{'x0': 0.1828415786849776, 'x1': 0.1241649362088598, 'x2': 0.7558452777904983, 'x3': 0.016119540917361, 'x4': 0.282057431376273, 'x5': 0.842293862314323}",23.469302608999897,-1.259
"{'x0': 0.0366611525483451, 'x1': 0.4345898801250463, 'x2': 0.8508966464299158, 'x3': 0.0651417097238945, 'x4': 0.2041497655543572, 'x5': 0.788301025080971}",21.675513013,-1.231
"{'x0': 0.2318667671287054, 'x1': 0.0167741823436746, 'x2': 0.6242496636747362, 'x3': 0.1982164943062616, 'x4': 0.8937651108576408, 'x5': 0.7794667107326879}",23.469361988999932,-0.519
"{'x0': 0.2843156976361564, 'x1': 0.0067019732999319, 'x2': 0.8376000696121172, 'x3': 0.0527699468945157, 'x4': 0.5121430013546958, 'x5': 0.931091282383888}",26.04553621899981,-0.41
"{'x0': 0.0101279860873478, 'x1': 0.1511269748413692, 'x2': 0.942900235859592, 'x3': 0.1385467409622471, 'x4': 0.7913339838587553, 'x5': 0.8576834920638228}",26.045547458999863,-0.059
"{'x0': 0.0879559045762966, 'x1': 0.0616220191363, 'x2': 0.5477160401909364, 'x3': 0.3671806831569751, 'x4': 0.5062248717069173, 'x5': 0.8440844591386969}",26.04556790899983,-1.257
"{'x0': 0.1171042258210416, 'x1': 0.0588968735264702, 'x2': 0.0807181162482955, 'x3': 0.2079682999669987, 'x4': 0.1001389037091853, 'x5': 0.8553584999263514}",26.045588888999877,-0.856
"{'x0': 0.5056715856457157, 'x1': 0.0360143579280267, 'x2': 0.2498940017872656, 'x3': 0.029805055055715, 'x4': 0.3817431131471136, 'x5': 0.8775834612315532}",26.04559751900001,-0.75
"{'x0': 0.3170089188445484, 'x1': 0.1366112188659777, 'x2': 0.2164628889101091, 'x3': 0.0900095127304534, 'x4': 0.0748714654094128, 'x5': 0.902906544068056}",28.960170867999977,-0.515
"{'x0': 0.1675934959373544, 'x1': 0.209382986876256, 'x2': 0.9463296799091846, 'x3': 0.1959994967043626, 'x4': 0.1814628662888415, 'x5': 0.7962919035664572}",26.045557428999928,-1.347
"{'x0': 0.169704938760444, 'x1': 0.3159724280039574, 'x2': 0.8568581934457615, 'x3': 0.2085590289238948, 'x4': 0.6508808531137867, 'x5': 0.8782774504804112}",28.969479483999976,-0.31
"{'x0': 0.1280948134932541, 'x1': 0.1812635422934462, 'x2': 0.1120498537356382, 'x3': 0.1748576017270821, 'x4': 0.6644079373587324, 'x5': 0.910911581421074}",28.96943791399985,-0.17
