configs,runtime_traj,F1
"{'x0': 0.2395506274061144, 'x1': 0.6771144715886313, 'x2': 0.9491934197685438, 'x3': 0.3832111930100426, 'x4': 0.5782233008102186, 'x5': 0.0905701992657187}",10.119140620000053,-0.951
"{'x0': 0.7862635378304327, 'x1': 0.2302799784053815, 'x2': 0.4810093527512139, 'x3': 0.8249878301248026, 'x4': 0.93643192230702, 'x5': 0.0847656349331914}",10.11915351000016,-0.004
"{'x0': 0.9782969455435548, 'x1': 0.4541650995150821, 'x2': 0.0698965710592982, 'x3': 0.5619882687402104, 'x4': 0.2130908679760955, 'x5': 0.1444960567719881}",10.119257629999993,-0.019
"{'x0': 0.318749669203762, 'x1': 0.3703059663191906, 'x2': 0.3865453704322182, 'x3': 0.0820383296130563, 'x4': 0.4171827020631458, 'x5': 0.5822047814993431}",10.119223300000158,-1.507
"{'x0': 0.9217913368676602, 'x1': 0.5143814979955363, 'x2': 0.7126141911317425, 'x3': 0.5441204835572246, 'x4': 0.0813589894353633, 'x5': 0.1600765598363625}",10.119179970000005,-0.02
"{'x0': 0.8181168148653705, 'x1': 0.6461132476985484, 'x2': 0.9095048010267788, 'x3': 0.4180649891040128, 'x4': 0.9152910738285626, 'x5': 0.33252482579825}",10.119173240000237,-0.025
"{'x0': 0.4737495159278391, 'x1': 0.563056219822946, 'x2': 0.6923952589440899, 'x3': 0.860735304182641, 'x4': 0.3537754099494175, 'x5': 0.8946610521037175}",10.119198620000134,-0.377
"{'x0': 0.620182620013578, 'x1': 0.9044111027901498, 'x2': 0.4829243443056972, 'x3': 0.6333439550477922, 'x4': 0.9857402887230972, 'x5': 0.0875691094480263}",10.11916723000013,-1.242
"{'x0': 0.6622654227666975, 'x1': 0.3019994843630019, 'x2': 0.6789669953270578, 'x3': 0.2619235908276254, 'x4': 0.3817824460973124, 'x5': 0.6436225996305265}",10.11924067000018,-1.276
"{'x0': 0.7652631047106964, 'x1': 0.5225493525765179, 'x2': 0.940547746078868, 'x3': 0.9010323553021988, 'x4': 0.0773816212046905, 'x5': 0.2315998608330821}",10.119284860000334,-0.026
"{'x0': 0.5332130506871193, 'x1': 0.877625427014401, 'x2': 0.4948660063945729, 'x3': 0.8749148098360611, 'x4': 0.4239599075334297, 'x5': 0.9642417773848748}",10.119234950000193,-0.013
"{'x0': 0.7996681139595734, 'x1': 0.5131067897186457, 'x2': 0.3446753725853683, 'x3': 0.6770264901214587, 'x4': 0.512162014859639, 'x5': 0.9769144802702432}",10.119204670000272,-0.04
"{'x0': 0.6591149524730612, 'x1': 0.8117762486586927, 'x2': 0.0651076797434867, 'x3': 0.1997507240989496, 'x4': 0.3902970145106236, 'x5': 0.743664568908487}",10.119273910000176,-0.25
"{'x0': 0.3546629430923432, 'x1': 0.825431684255677, 'x2': 0.0886331091715285, 'x3': 0.7987480461206197, 'x4': 0.3215012070584264, 'x5': 0.077919636451363}",10.119267900000068,-1.706
"{'x0': 0.6336733563171275, 'x1': 0.6466735728163203, 'x2': 0.3814699871836944, 'x3': 0.1193239946627088, 'x4': 0.7899114661345322, 'x5': 0.3602931991952196}",10.119229240000095,-0.044
"{'x0': 0.1229442158709226, 'x1': 0.1388469046069248, 'x2': 0.4130393279792314, 'x3': 0.1695329000970691, 'x4': 0.062396887139175, 'x5': 0.2819171903374112}",10.119210920000114,-0.397
"{'x0': 0.9747794082480536, 'x1': 0.0617270000963244, 'x2': 0.0458225684014079, 'x3': 0.1406721761309807, 'x4': 0.8427583198853088, 'x5': 0.2551421926510451}",10.11921738000001,-0.001
"{'x0': 0.3087612768063098, 'x1': 0.4187074966859341, 'x2': 0.3951095691845256, 'x3': 0.5796989344249434, 'x4': 0.5104377581185939, 'x5': 0.4676985490134394}",10.119290150000325,-0.476
"{'x0': 0.8239553756083551, 'x1': 0.9409572664436078, 'x2': 0.1956935515573007, 'x3': 0.9050062732086532, 'x4': 0.2340468347694996, 'x5': 0.5939857679428413}",10.119246170000224,-0.003
"{'x0': 0.2437795345360325, 'x1': 0.939431301590126, 'x2': 0.9098793378097956, 'x3': 0.1943109654861187, 'x4': 0.0845858477519013, 'x5': 0.3791258945555226}",10.119262619999972,-0.138
"{'x0': 0.6884486557096662, 'x1': 0.0385596800361923, 'x2': 0.545492739882005, 'x3': 0.4712632205644899, 'x4': 0.9421443377019516, 'x5': 0.7879554711941475}",10.119160360000024,-0.016
"{'x0': 0.1330783608888316, 'x1': 0.9405718768676952, 'x2': 0.7485646156231754, 'x3': 0.7796956764360726, 'x4': 0.7393388375851757, 'x5': 0.2221876770867934}",10.119186040000386,-0.352
"{'x0': 0.1059673701827037, 'x1': 0.3424213779354753, 'x2': 0.2839221185929341, 'x3': 0.5588100082485187, 'x4': 0.951915439875916, 'x5': 0.3307795615124081}",10.119279000000006,-0.071
"{'x0': 0.4973093081772943, 'x1': 0.6686581770629588, 'x2': 0.4254728388488152, 'x3': 0.6120957644637094, 'x4': 0.1763771420687013, 'x5': 0.831690338423792}",10.119191980000323,-0.229
"{'x0': 0.0469037798908048, 'x1': 0.0855731532319594, 'x2': 0.3948366353599483, 'x3': 0.4369284982288164, 'x4': 0.8620267438375543, 'x5': 0.0974243849098467}",10.119251720000191,-0.047
"{'x0': 0.5357189076087655, 'x1': 0.5156112005980835, 'x2': 0.7701637941538049, 'x3': 0.1189713198323573, 'x4': 0.3012783216560464, 'x5': 0.0566275589230207}",21.353165966000237,-0.146
"{'x0': 0.5357189076087655, 'x1': 0.5156112005980835, 'x2': 0.7701637941538049, 'x3': 0.1189713198323573, 'x4': 0.3012783216560464, 'x5': 0.0566275589230207}",21.35304087700024,-0.146
"{'x0': 0.5658746231557069, 'x1': 0.5769891853047256, 'x2': 0.8706629413622116, 'x3': 0.0558655403042109, 'x4': 0.9720864019480182, 'x5': 0.036314926336248}",21.35305531700033,-0.063
"{'x0': 0.6321966615322372, 'x1': 0.7015515430820515, 'x2': 0.7155967453504704, 'x3': 0.4986323901302001, 'x4': 0.3072177498532438, 'x5': 0.0473285822253917}",21.353087976000097,-0.974
"{'x0': 0.5357189076087655, 'x1': 0.5156112005980835, 'x2': 0.7701637941538049, 'x3': 0.1189713198323573, 'x4': 0.3012783216560464, 'x5': 0.0566275589230207}",21.353093746000013,-0.146
"{'x0': 0.6321966615322372, 'x1': 0.7015515430820515, 'x2': 0.7155967453504704, 'x3': 0.4986323901302001, 'x4': 0.3072177498532438, 'x5': 0.0473285822253917}",21.353082417000223,-0.974
"{'x0': 0.8521300693707635, 'x1': 0.3555493320452805, 'x2': 0.631869983783519, 'x3': 0.0423459734691976, 'x4': 0.1463090878498978, 'x5': 0.8679745007557614}",21.353139056000146,-0.629
"{'x0': 0.5357189076087655, 'x1': 0.5156112005980835, 'x2': 0.7701637941538049, 'x3': 0.1189713198323573, 'x4': 0.3012783216560464, 'x5': 0.0566275589230207}",15.598408538000058,-0.146
"{'x0': 0.5486606091940143, 'x1': 0.3380139362130739, 'x2': 0.753148629011172, 'x3': 0.2919149260944249, 'x4': 0.0845836507607892, 'x5': 0.0429185540821421}",21.35309906600014,-0.126
"{'x0': 0.2718695792906084, 'x1': 0.62266282807319, 'x2': 0.9245377407721456, 'x3': 0.2016117050397426, 'x4': 0.53239356917807, 'x5': 0.0111716559767057}",21.35307561700029,-0.346
"{'x0': 0.5357189076087655, 'x1': 0.5156112005980835, 'x2': 0.7701637941538049, 'x3': 0.1189713198323573, 'x4': 0.3012783216560464, 'x5': 0.0566275589230207}",21.353155316000084,-0.146
"{'x0': 0.5658746231557069, 'x1': 0.5769891853047256, 'x2': 0.8706629413622116, 'x3': 0.0558655403042109, 'x4': 0.9720864019480182, 'x5': 0.036314926336248}",15.596066258000064,-0.063
"{'x0': 0.5357189076087655, 'x1': 0.5156112005980835, 'x2': 0.7701637941538049, 'x3': 0.1189713198323573, 'x4': 0.3012783216560464, 'x5': 0.0566275589230207}",21.353144506000262,-0.146
"{'x0': 0.5357189076087655, 'x1': 0.5156112005980835, 'x2': 0.7701637941538049, 'x3': 0.1189713198323573, 'x4': 0.3012783216560464, 'x5': 0.0566275589230207}",21.353068737000285,-0.146
"{'x0': 0.4563374076638191, 'x1': 0.9940001193349718, 'x2': 0.8000784841166682, 'x3': 0.293452166544354, 'x4': 0.0191020800591155, 'x5': 0.0515864696743798}",21.353160736000063,-1.256
"{'x0': 0.410001247540568, 'x1': 0.4897216904003385, 'x2': 0.276019660716546, 'x3': 0.3292743591816717, 'x4': 0.4306470673867048, 'x5': 0.0198243948491595}",21.35313349600028,-0.545
