configs,runtime_traj,F1
"{'x0': 0.6502565185968451, 'x1': 0.7734042533182625, 'x2': 0.2175161258778929, 'x3': 0.9116779781588434, 'x4': 0.2861220193985399, 'x5': 0.8711982533429226}",5.00374210299924,-0.007
"{'x0': 0.9740371636076602, 'x1': 0.1812849083007075, 'x2': 0.3320194498635027, 'x3': 0.3006694949777202, 'x4': 0.2970737114317313, 'x5': 0.8094433555016822}",10.00954376498703,-0.493
"{'x0': 0.6409952983677895, 'x1': 0.0817146288856587, 'x2': 0.0383787218442709, 'x3': 0.9831768540188944, 'x4': 0.0342942973812999, 'x5': 0.5905114802399509}",15.012640064989682,-0.003
"{'x0': 0.2967555894718711, 'x1': 0.0853694343088885, 'x2': 0.4511174396471115, 'x3': 0.3497568490797441, 'x4': 0.9457324154790764, 'x5': 0.5272793261592016}",20.020279736985685,-0.394
"{'x0': 0.256565070066989, 'x1': 0.0532568321326671, 'x2': 0.9635343753956924, 'x3': 0.351486053328199, 'x4': 0.2063989750608079, 'x5': 0.777706312565983}",25.02380355299101,-1.259
"{'x0': 0.1, 'x1': 0.9, 'x2': 0.4, 'x3': 0.01, 'x4': 0.3, 'x5': 0.9}",41.36154142499436,-0.155
"{'x0': 0.1, 'x1': 0.01, 'x2': 0.01, 'x3': 0.9, 'x4': 0.5, 'x5': 0.1}",46.38030652599991,-0.003
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.25, 'x3': 0.5, 'x4': 0.75, 'x5': 0.25}",51.38571363198571,-0.418
"{'x0': 0.1, 'x1': 0.1, 'x2': 0.51, 'x3': 0.1, 'x4': 0.1, 'x5': 0.1}",56.39342018798925,-0.128
"{'x0': 0.5, 'x1': 0.0, 'x2': 1.0, 'x3': 0.49, 'x4': 0.0, 'x5': 0.5}",78.30547652198584,-0.127
"{'x0': 0.95, 'x1': 0.95, 'x2': 0.95, 'x3': 0.99, 'x4': 0.95, 'x5': 0.99}",83.31842448399402,-0.0
"{'x0': 0.45, 'x1': 0.6, 'x2': 0.3, 'x3': 0.4, 'x4': 0.8, 'x5': 0.6}",88.32338539601187,-0.07
"{'x0': 0.8, 'x1': 0.1, 'x2': 0.8, 'x3': 0.4, 'x4': 0.7, 'x5': 0.2}",93.33683094600563,-0.01
"{'x0': 0.2, 'x1': 0.7, 'x2': 0.8, 'x3': 0.3, 'x4': 0.2, 'x5': 0.9}",115.5410744289984,-0.83
"{'x0': 0.5, 'x1': 0.1, 'x2': 0.05, 'x3': 0.4, 'x4': 0.05, 'x5': 0.9}",120.55659138498596,-0.389
"{'x0': 0.5, 'x1': 0.4, 'x2': 0.7, 'x3': 0.2, 'x4': 0.8, 'x5': 0.1}",125.56161856700784,-0.116
"{'x0': 0.7, 'x1': 0.55, 'x2': 0.55, 'x3': 0.2, 'x4': 0.8, 'x5': 0.3}",130.57478975399863,-0.042
"{'x0': 0.05, 'x1': 0.05, 'x2': 0.75, 'x3': 0.95, 'x4': 0.65, 'x5': 0.05}",152.648470087006,-0.003
"{'x0': 0.2, 'x1': 0.1, 'x2': 0.45, 'x3': 0.45, 'x4': 0.8, 'x5': 0.1}",157.66649690299528,-0.07
"{'x0': 0.01, 'x1': 0.3, 'x2': 0.8, 'x3': 0.8, 'x4': 0.05, 'x5': 0.7}",162.66994737301138,-0.336
"{'x0': 0.15, 'x1': 0.2, 'x2': 0.7, 'x3': 0.8, 'x4': 0.5, 'x5': 0.25}",167.67308326499187,-0.057
"{'x0': 0.02, 'x1': 0.02, 'x2': 0.02, 'x3': 0.02, 'x4': 0.02, 'x5': 0.02}",190.5489987769979,-0.009
"{'x0': 0.01, 'x1': 0.48, 'x2': 0.55, 'x3': 0.9, 'x4': 0.8, 'x5': 0.1}",195.5652598880115,-0.025
"{'x0': 0.1, 'x1': 0.8, 'x2': 0.05, 'x3': 0.4, 'x4': 0.2, 'x5': 0.1}",200.5705733729992,-0.453
"{'x0': 0.2, 'x1': 0.25, 'x2': 0.85, 'x3': 0.15, 'x4': 0.5, 'x5': 0.9}",205.57568348399943,-0.822
"{'x0': 0.4, 'x1': 0.5, 'x2': 0.1, 'x3': 0.4, 'x4': 0.1, 'x5': 0.9}",228.19615454701125,-0.446
"{'x0': 0.2, 'x1': 0.8, 'x2': 0.2, 'x3': 0.2, 'x4': 0.4, 'x5': 0.2}",233.209871094994,-0.342
"{'x0': 0.1, 'x1': 0.6, 'x2': 0.7, 'x3': 0.2, 'x4': 0.9, 'x5': 0.4}",238.21506071600012,-0.279
"{'x0': 0.3, 'x1': 0.2, 'x2': 0.8, 'x3': 0.1, 'x4': 0.9, 'x5': 0.05}",243.2206262800028,-0.032
"{'x0': 0.4, 'x1': 0.6, 'x2': 0.05, 'x3': 0.3, 'x4': 0.1, 'x5': 0.55}",266.05472061201,-0.526
"{'x0': 0.9, 'x1': 0.1, 'x2': 0.55, 'x3': 0.05, 'x4': 0.05, 'x5': 0.9}",271.08298699499574,-0.187
"{'x0': 0.498, 'x1': 0.99, 'x2': 0.4, 'x3': 0.05, 'x4': 0.8, 'x5': 0.02}",276.0867337590025,-0.153
"{'x0': 0.15, 'x1': 0.85, 'x2': 0.1, 'x3': 0.2, 'x4': 0.4, 'x5': 0.7}",281.0912724029913,-0.368
"{'x0': 0.25, 'x1': 0.01, 'x2': 0.497, 'x3': 0.5, 'x4': 0.01, 'x5': 0.99}",303.5682292759884,-0.232
"{'x0': 0.2, 'x1': 0.55, 'x2': 0.9, 'x3': 0.01, 'x4': 0.9, 'x5': 0.1}",308.5851946359908,-0.036
"{'x0': 0.9, 'x1': 0.6, 'x2': 0.01, 'x3': 0.1, 'x4': 0.1, 'x5': 0.5}",313.5884555109951,-0.088
"{'x0': 0.25, 'x1': 0.75, 'x2': 0.05, 'x3': 0.25, 'x4': 0.6, 'x5': 0.7}",318.60172341999714,-0.162
"{'x0': 0.1, 'x1': 0.7, 'x2': 0.1, 'x3': 0.6, 'x4': 0.2, 'x5': 0.8}",341.04760813098983,-0.237
"{'x0': 0.3, 'x1': 0.05, 'x2': 0.4, 'x3': 0.05, 'x4': 0.2, 'x5': 0.9}",346.08494698500726,-0.986
"{'x0': 0.35, 'x1': 0.25, 'x2': 0.6, 'x3': 0.2, 'x4': 0.3, 'x5': 0.7}",351.0902404160006,-2.658
