configs,runtime_traj,F1
"{'x0': 9.943696218777372, 'x1': 8.651147186773176, 'x2': -7.437511041412865, 'x3': 9.980810306482894, 'x4': -5.278220460960479, 'x5': -2.0683854540794773, 'x6': -2.241785176759852, 'x7': 3.3949207360696008, 'x8': 8.710781416120636, 'x9': 6.926218333720343}",10.076191579000124,201.357
"{'x0': -3.7345296613544976, 'x1': 0.4909631914574284, 'x2': -1.1309421244088664, 'x3': -5.408455725403489, 'x4': 0.6882781789403403, 'x5': 8.279240491584659, 'x6': -0.8559038402602344, 'x7': -1.3860286563058306, 'x8': 8.782555788472514, 'x9': 5.567784726730668}",10.076132399000016,62.37
"{'x0': 4.319410319367286, 'x1': 6.055150078747296, 'x2': -8.143983827185242, 'x3': 0.36305097883778, 'x4': 7.300405039579665, 'x5': 6.58293814734283, 'x6': 6.592067187883671, 'x7': -4.539000515665053, 'x8': -8.815135973968731, 'x9': 3.41056080137891}",10.076111199000024,77.041
"{'x0': 1.8613103659611383, 'x1': 3.4330819484426875, 'x2': -1.76424242061894, 'x3': -6.048982040304376, 'x4': -4.207407189083751, 'x5': -7.157597290500862, 'x6': 5.666289453897724, 'x7': -1.7492231699394782, 'x8': -9.31657377628322, 'x9': 2.480599729547066}",10.0761776490001,131.412
"{'x0': 3.212714604760059, 'x1': -4.030094104939106, 'x2': -1.0773098782778785, 'x3': -5.557509049292504, 'x4': -8.532716565148009, 'x5': -0.6152294712371376, 'x6': -8.076554791090766, 'x7': 8.067403329577346, 'x8': -7.610190640385664, 'x9': 0.4959875374089115}",10.07620405900002,63.122
"{'x0': -8.327539909059476, 'x1': 8.33722669059457, 'x2': 8.208967635862031, 'x3': -4.021397755805678, 'x4': 1.6877824147585834, 'x5': 1.3182405492838625, 'x6': 2.278766355921114, 'x7': 9.130713133410444, 'x8': -4.780420407688864, 'x9': -5.37969155574822}",10.076138909000065,73.626
"{'x0': 0.668969812103505, 'x1': 8.998762770652792, 'x2': -0.1388081291050813, 'x3': 0.8120101764728798, 'x4': 5.309702088817419, 'x5': -9.093085428506935, 'x6': -7.200677616165711, 'x7': 5.848071715920382, 'x8': -9.403972836352136, 'x9': 7.662509516388461}",10.07610377900005,169.33
"{'x0': 0.8157637920192933, 'x1': -1.040396371591637, 'x2': 7.842717440037621, 'x3': -2.4483131769781075, 'x4': 0.7684938855997014, 'x5': 3.0459776412708437, 'x6': -2.77477959576758, 'x7': 1.4201712237018498, 'x8': 2.756729681193528, 'x9': -7.473702299102234}",5.071455984000068,29.555
"{'x0': 3.804091755102903, 'x1': 2.9549879954669507, 'x2': -2.921218224033961, 'x3': 5.264661054302437, 'x4': -2.869365528838901, 'x5': 5.055767063512084, 'x6': 7.62683659268022, 'x7': -9.766616126382129, 'x8': -0.0378186074352697, 'x9': -8.524159771986907}",10.07622816900016,118.741
"{'x0': 5.739029489381499, 'x1': -8.718653403235654, 'x2': -2.893792751671434, 'x3': 8.83673897506845, 'x4': -2.4039342646260597, 'x5': 5.258401468899773, 'x6': 5.431899960887353, 'x7': -3.972790091802132, 'x8': 5.454782935551542, 'x9': -6.941403548919425}",10.076215979000152,114.452
