configs,runtime_traj,F1
"{'x0': 1.856892364500366, 'x1': 6.885314971620346, 'x2': 7.158912352455136, 'x3': 6.945034775682508, 'x4': 2.471273935719447, 'x5': -2.3123658541460035, 'x6': -4.049307869110555, 'x7': -8.865740453651137, 'x8': -4.546874108397736, 'x9': -0.4466976535730023}",10.070106510000189,59.563
"{'x0': 6.243374575509865, 'x1': -0.4004565524988539, 'x2': -2.144304077983405, 'x3': 6.72157527074755, 'x4': -3.2520767916546323, 'x5': 2.9634374410239435, 'x6': -2.63516920318904, 'x7': 9.143103179060926, 'x8': -7.192984391747097, 'x9': 7.401745167168727}",10.070123760000117,121.285
"{'x0': -0.52783909452579, 'x1': 6.018215039592885, 'x2': 0.4095495910240956, 'x3': 3.577590602379207, 'x4': 4.412653094518335, 'x5': 1.6403958415021425, 'x6': 0.747464588980213, 'x7': 5.172312486447144, 'x8': -7.881847856244157, 'x9': -0.5279916130668525}",10.070040820000033,40.763
"{'x0': -6.2733531334648, 'x1': 4.738363542579162, 'x2': -5.668992911512563, 'x3': -7.295636531890959, 'x4': -3.5171798441357183, 'x5': -7.006502656326337, 'x6': -5.553572234968247, 'x7': -2.2702203774827616, 'x8': 8.051969510588094, 'x9': -1.0010002017754474}",10.069998290000058,163.783
"{'x0': 2.261269157682648, 'x1': 8.046971663479685, 'x2': -8.014392992820522, 'x3': 9.396181354934974, 'x4': 3.062800715958753, 'x5': -6.581808297279097, 'x6': -2.8369566606095, 'x7': 5.013722824369125, 'x8': 2.156613374309355, 'x9': -3.499055419832951}",10.07004859000017,117.132
"{'x0': -9.231491470545306, 'x1': 2.6854811591467005, 'x2': 9.178985372490406, 'x3': 3.0558063401098163, 'x4': 2.701177472071276, 'x5': 9.905991353557752, 'x6': 1.6370065887706868, 'x7': -1.712628235472625, 'x8': -0.5060499542317416, 'x9': 2.4702020226373644}",10.070006729999932,138.428
"{'x0': -3.239847703222165, 'x1': 3.4950464451804137, 'x2': -3.6559651586140784, 'x3': 5.56690964051818, 'x4': 8.99142106901484, 'x5': 3.2505373390008856, 'x6': -9.728567287757803, 'x7': 2.4569219109333886, 'x8': 3.4731926167157887, 'x9': 9.438900049993316}",10.06998951000014,133.371
"{'x0': 7.56386942694354, 'x1': 0.192487534398003, 'x2': -8.885706125967873, 'x3': -0.9768157095814374, 'x4': -9.600246691824823, 'x5': -1.165781575023093, 'x6': 9.59173457625457, 'x7': -2.81111072061357, 'x8': -0.3821293832767445, 'x9': 3.773223656115407}",10.07007896999994,144.769
"{'x0': 7.60951778505191, 'x1': 8.364709327242895, 'x2': -5.663557247449143, 'x3': 1.303777332097507, 'x4': 7.3020512261077, 'x5': 0.1793792133402902, 'x6': 8.334459080389216, 'x7': 8.423152204743996, 'x8': -8.337750147387952, 'x9': -4.445628774379351}",10.07003257999986,76.633
"{'x0': -9.812865902869348, 'x1': 6.846841593354618, 'x2': 2.9434828037511096, 'x3': 6.827722383947087, 'x4': -4.705396714331007, 'x5': -2.043584944827419, 'x6': 1.0564295977514284, 'x7': -6.701190795162317, 'x8': -2.6038381450331998, 'x9': -7.071164745417756}",10.070131500000116,154.512
"{'x0': 1.392368118466134, 'x1': 4.0747455857983255, 'x2': -4.230471259029427, 'x3': -1.3342387603591188, 'x4': 5.1221338773008185, 'x5': -2.0780344915327547, 'x6': 7.92076775018154, 'x7': 2.778421524626257, 'x8': 7.83108874451354, 'x9': 3.6011113892682456}",10.069944700000178,29.587
"{'x0': -1.0160452356325589, 'x1': 9.57141856841434, 'x2': -7.675961807752111, 'x3': 5.340474071174535, 'x4': -1.7635972207031063, 'x5': 3.508781624004719, 'x6': -5.004074486900438, 'x7': -3.735633361080981, 'x8': 9.30832441039854, 'x9': 1.7693017013749888}",10.070096610000292,138.793
"{'x0': 3.1933682413882565, 'x1': 0.6641250783329653, 'x2': -5.389339529873403, 'x3': -2.102614130995417, 'x4': 2.376171291827143, 'x5': -0.5026496918211603, 'x6': -0.5973562148846963, 'x7': 4.321490624572864, 'x8': -4.24017991273439, 'x9': -2.330755499301043}",10.070015210000292,32.446
"{'x0': 4.983396743054493, 'x1': 7.569043805520842, 'x2': -7.942732826131236, 'x3': -8.152522210782037, 'x4': -2.919066758323796, 'x5': 1.036325182665177, 'x6': -9.32749813002336, 'x7': 9.379235305205473, 'x8': -3.5800551725300505, 'x9': -5.574746296324344}",10.069915691000006,130.406
"{'x0': -7.174721901482066, 'x1': -8.054801458736522, 'x2': 9.680844827282929, 'x3': -4.793181448251906, 'x4': 0.7404504275155936, 'x5': -1.0414765625854017, 'x6': -8.008618217783779, 'x7': -2.95376677598934, 'x8': -0.615016520195157, 'x9': 6.822802595711991}",10.070115299999998,111.192
"{'x0': 8.09295488419027, 'x1': -9.248812323437194, 'x2': 0.1663089715778181, 'x3': -6.663049739030007, 'x4': 5.581020392180713, 'x5': 7.298665912049852, 'x6': -1.772065524890909, 'x7': -7.200548290135966, 'x8': -9.335552294676454, 'x9': 9.65149919650387}",10.07008717000008,184.397
"{'x0': -2.534184984334904, 'x1': -1.5984926041877865, 'x2': -8.988237698915256, 'x3': -2.6900778747317933, 'x4': -9.667440525322654, 'x5': -5.385153291864087, 'x6': 5.2982339799371445, 'x7': 8.882470388709091, 'x8': 4.999984975402008, 'x9': -3.2119236110096283}",10.070023889999902,173.934
"{'x0': -0.2090212621781262, 'x1': -3.220297664404434, 'x2': -6.410194781642886, 'x3': -6.58026802633737, 'x4': -0.7309804523103409, 'x5': 7.491459152899932, 'x6': 8.882395018351271, 'x7': 2.165057317080258, 'x8': 1.933108125901061, 'x9': 5.672884906037769}",10.070056410000234,118.47
"{'x0': 0.0005259545860276, 'x1': -8.992598864849125, 'x2': 3.981961494370223, 'x3': 9.847927977772652, 'x4': -4.654749242370436, 'x5': 3.581812312548278, 'x6': 7.285628853724894, 'x7': 5.016884912568632, 'x8': 9.289795355788616, 'x9': 1.0848487016888058}",10.069954179999968,139.056
"{'x0': -5.752190022193828, 'x1': -5.551135512263626, 'x2': -5.625012525264563, 'x3': 1.39147069149476, 'x4': -0.9578192993314864, 'x5': 9.404733661922013, 'x6': 3.610893823855591, 'x7': -8.294088682825988, 'x8': -8.871633345720674, 'x9': -0.2432459128207149}",10.069962980000128,144.348
"{'x0': 7.620091244033496, 'x1': 9.52808773186085, 'x2': 2.353158321917604, 'x3': 0.8499755002079485, 'x4': 7.09227160621429, 'x5': 4.876690906195755, 'x6': -0.4280734876249976, 'x7': 3.541631480541706, 'x8': 2.140901222329033, 'x9': 4.293938724747141}",10.070071109999844,70.647
"{'x0': -0.6100563381765802, 'x1': -0.8797075356426554, 'x2': 8.128361741203424, 'x3': -7.2555915980561085, 'x4': -5.415613538268412, 'x5': 7.631707984211616, 'x6': 8.08849951378463, 'x7': 2.915691970037983, 'x8': -3.506340558670693, 'x9': 0.3942238731655241}",10.069971639999949,67.467
"{'x0': -9.99889286269983, 'x1': -3.7627955863562175, 'x2': -1.4909692409564812, 'x3': 7.706753192191712, 'x4': 3.5975891281353896, 'x5': -0.8774045575427607, 'x6': -0.3318276680249461, 'x7': 5.77478855064073, 'x8': -5.411163310579092, 'x9': 7.605952062300091}",10.069933781000143,129.211
"{'x0': -3.7261521498394057, 'x1': 9.149017113179074, 'x2': -0.564968582143976, 'x3': 4.231676341216277, 'x4': -6.92611389984407, 'x5': 4.608843531335886, 'x6': 2.925288746293697, 'x7': -5.702385264988436, 'x8': -6.27083561021323, 'x9': 6.151605377175748}",10.06998022000016,147.736
"{'x0': 4.9415894027846825, 'x1': 3.496946918573842, 'x2': -4.46212498365818, 'x3': -6.5018225138098495, 'x4': 4.08948516786988, 'x5': -0.7369960001973368, 'x6': 6.808570650708649, 'x7': -5.902684756391086, 'x8': -6.700822638264854, 'x9': -7.50333885019828}",10.070063590000244,134.442
"{'x0': 4.441613248054972, 'x1': -9.390940701167994, 'x2': 4.9398848039900685, 'x3': -8.14807669762973, 'x4': -5.650990145888564, 'x5': 4.9850883412647935, 'x6': 4.633875129293809, 'x7': -9.087707256982272, 'x8': -5.816859410383177, 'x9': -4.261699133987909}",20.312368720999984,160.026
"{'x0': 3.5452661067685387, 'x1': -8.739234206612466, 'x2': 1.1129848554029032, 'x3': -9.815198530269186, 'x4': 6.660761950187816, 'x5': 9.68658868696244, 'x6': 4.069895682694042, 'x7': -6.367375990159026, 'x8': 0.2478692659180748, 'x9': 1.6089427437626025}",20.31219866099991,189.348
"{'x0': 5.750843119100518, 'x1': 2.129509201371514, 'x2': -5.631942903761544, 'x3': -0.8966236961332541, 'x4': 7.577394835549416, 'x5': -0.1546351698968262, 'x6': 4.311223149180796, 'x7': -0.2768087937760466, 'x8': 4.170963000400061, 'x9': -0.0371954898505997}",20.31230995099986,47.972
"{'x0': 6.891001589438847, 'x1': -6.113155541140336, 'x2': 5.466520192211398, 'x3': 9.485173277144655, 'x4': 7.246195547005662, 'x5': 5.60853302208027, 'x6': 9.700645577664716, 'x7': 5.07139213344326, 'x8': -9.919037872631474, 'x9': -4.610411320837646}",20.31223074099989,266.74
"{'x0': -1.7901572381108617, 'x1': -1.435523357671837, 'x2': -4.043163628898874, 'x3': -1.977353168827447, 'x4': -7.586860176277606, 'x5': 9.613993480480383, 'x6': -1.87759014037378, 'x7': 1.3842152018725091, 'x8': -3.1278899370380264, 'x9': 5.777455554389281}",15.248029836000114,98.93
"{'x0': -1.7725517192412426, 'x1': -2.814571658798286, 'x2': -2.010021793678196, 'x3': -3.9633824814496688, 'x4': 5.504395549332221, 'x5': 8.524258603526299, 'x6': -3.493793896820073, 'x7': 9.057413447736852, 'x8': -9.721032081331693, 'x9': 0.6693136350185789}",20.312293130999933,157.588
"{'x0': -3.9083593864818456, 'x1': 7.657199960875822, 'x2': -4.987545596122292, 'x3': 3.5482365894388845, 'x4': 6.208481825197815, 'x5': -1.3570390015036686, 'x6': 5.042690419758674, 'x7': 6.592044958554382, 'x8': -2.4193245579236367, 'x9': -8.069007803450837}",20.312375771000006,74.209
"{'x0': -4.877208451705755, 'x1': 1.8387031637689937, 'x2': -0.470455989003387, 'x3': -0.2413086202564613, 'x4': -0.8297089552669874, 'x5': 0.4918524150969574, 'x6': -1.1596936441025978, 'x7': 7.0526984756468, 'x8': -1.3312205106128836, 'x9': 6.537407365612829}",15.248056475999874,23.625
"{'x0': 0.1868413073637338, 'x1': -8.272460392587176, 'x2': 3.200797244458979, 'x3': -5.868107858494611, 'x4': 6.945506450147562, 'x5': 3.627182581934713, 'x6': -6.432653013793656, 'x7': -8.602819653213079, 'x8': -9.806236584064084, 'x9': 7.840993161626578}",15.24807257600014,169.699
"{'x0': -7.330695808372756, 'x1': 5.58383948502777, 'x2': 8.503268516750975, 'x3': 4.303574979274851, 'x4': -0.1836277429824413, 'x5': -0.6100339414424987, 'x6': 7.654185787858083, 'x7': -0.2317988011922018, 'x8': -1.708650297010939, 'x9': -6.517760955457355}",20.31238271100028,68.185
"{'x0': -0.4942111618276801, 'x1': 5.672959302425745, 'x2': 1.1285885438348124, 'x3': -6.802658358785885, 'x4': -7.123412686378881, 'x5': 2.989260595678701, 'x6': 0.7844719482750548, 'x7': -3.4863046716636914, 'x8': -7.059722102223976, 'x9': -6.802598657141495}",20.312361120999867,122.921
"{'x0': -7.411753251554973, 'x1': 1.578447750777892, 'x2': -8.154796591861334, 'x3': 8.210894447869272, 'x4': -8.34056504687608, 'x5': 6.007569242144768, 'x6': 7.542619317624766, 'x7': -8.130810871117653, 'x8': -1.4738823935352237, 'x9': -0.5355865210857917}",20.312240030999877,69.792
"{'x0': 1.6039421152651894, 'x1': 4.324883484360374, 'x2': -9.458620304456195, 'x3': 4.627946799996535, 'x4': 5.339270109018507, 'x5': -9.804671288074331, 'x6': -3.834276652460307, 'x7': -5.342690578380402, 'x8': 0.0685485587990513, 'x9': 9.074427613276637}",20.312325621000127,164.207
"{'x0': 1.1562260176574348, 'x1': -8.050626225490202, 'x2': 2.433569815121764, 'x3': 7.260452333206999, 'x4': -6.847354485266848, 'x5': 9.848590465713116, 'x6': -8.299978649703494, 'x7': -8.110841716990109, 'x8': 2.672157794003823, 'x9': 8.985949466036697}",20.312333481000223,118.323
"{'x0': 8.734929475789105, 'x1': -1.052434107857339, 'x2': 4.553926862632975, 'x3': 4.844759558633658, 'x4': -3.860278880747748, 'x5': -7.604573018048876, 'x6': -1.1224264865060327, 'x7': -2.164513615320846, 'x8': 0.6369835414338567, 'x9': 6.9071536364047965}",20.312266761000046,63.627
"{'x0': 0.7254908873575054, 'x1': 3.605403020920592, 'x2': 2.1835516311677594, 'x3': -8.030439932720583, 'x4': -8.159448287760856, 'x5': -8.880683433011043, 'x6': -8.26935019601224, 'x7': -5.256534127225772, 'x8': 6.790259336393266, 'x9': 0.4474106454262223}",20.312283991000182,64.237
"{'x0': 0.2614972634309094, 'x1': 2.9966394704690664, 'x2': 0.8918175476701524, 'x3': -9.350694086974723, 'x4': 1.603034325419543, 'x5': 5.421780963399295, 'x6': -2.4754685145562565, 'x7': -0.1795051819854549, 'x8': 9.63279360808138, 'x9': -5.106971714756458}",20.312354011000025,120.207
"{'x0': -2.513536067255586, 'x1': -9.086807160220433, 'x2': -3.798647200621006, 'x3': 6.630387997442742, 'x4': 6.140456719742019, 'x5': 2.800483105988768, 'x6': -2.6379519603693176, 'x7': -3.7449340845295143, 'x8': 6.036723001062644, 'x9': -8.591056281116812}",20.312257511000094,108.107
"{'x0': 3.671459207311953, 'x1': -2.3854151001478474, 'x2': 2.678619126358494, 'x3': 8.537581789092496, 'x4': 7.078802350772765, 'x5': -0.0464404292869868, 'x6': -1.4433124233705534, 'x7': 6.451189027216241, 'x8': 4.764531614610085, 'x9': -1.0571231900832745}",20.312218981000115,57.75
"{'x0': 9.378060821988718, 'x1': -2.736774843191072, 'x2': -2.0493301680673204, 'x3': 4.77365318426892, 'x4': -1.0183314459742083, 'x5': 8.745687278355131, 'x6': -4.855330290572133, 'x7': -2.3648038552743644, 'x8': 3.942832336567095, 'x9': 7.941402092062869}",20.312248811000245,110.355
"{'x0': -7.578802407978291, 'x1': -5.169086270120735, 'x2': -5.434727801992574, 'x3': -0.2098134233128128, 'x4': 7.8304535498351235, 'x5': -2.837850497697554, 'x6': -2.295251629001447, 'x7': 8.334540386603638, 'x8': -7.723667192202777, 'x9': 2.622510831421149}",15.241582557000129,91.134
"{'x0': -7.3437000246261235, 'x1': -2.515108380571577, 'x2': -3.5119027273672447, 'x3': 3.602310752541904, 'x4': 5.910694922782941, 'x5': 0.0786722375887105, 'x6': -4.075152232577146, 'x7': 7.719245380042359, 'x8': -2.962588781454889, 'x9': 4.767806753872252}",20.31230182099989,68.129
"{'x0': 1.1072252605234958, 'x1': -5.969645733535634, 'x2': 0.9703819255962074, 'x3': 0.3928565889909396, 'x4': -3.024346716588012, 'x5': -9.507600858870886, 'x6': -7.023413931136496, 'x7': -7.362959236740949, 'x8': 4.158349253508698, 'x9': 4.181442271302608}",20.312318160999894,151.138
"{'x0': 2.2349682886591573, 'x1': 3.43814032559912, 'x2': -1.0496825847795055, 'x3': 3.921543379320102, 'x4': -2.4334771030965747, 'x5': -7.999359014211887, 'x6': 9.205135687498135, 'x7': -8.551311050684054, 'x8': -9.61398787097858, 'x9': 9.591465037289794}",20.312347331000183,135.046
"{'x0': -7.030438245500563, 'x1': -4.825953558569975, 'x2': -5.689423768709103, 'x3': 1.5982479679701118, 'x4': 9.515033702798595, 'x5': -4.539821974121907, 'x6': 9.401501477020016, 'x7': -9.490053020654104, 'x8': 7.760874108354208, 'x9': 4.172176764962199}",20.312340271000267,216.993
"{'x0': -4.44452652736979, 'x1': 7.897263843561774, 'x2': -9.469548948020485, 'x3': 2.5127323468785683, 'x4': -3.409145783758349, 'x5': 9.342422613847038, 'x6': -6.628471903698103, 'x7': 8.029659726268427, 'x8': -3.401286982575728, 'x9': 7.784666434620004}",30.610072511999988,162.656
"{'x0': 0.2490331751817436, 'x1': 0.2125781387236003, 'x2': -2.263456928653349, 'x3': 0.6017787191844608, 'x4': 8.894149617929518, 'x5': 7.857244939345669, 'x6': 3.5422879966643617, 'x7': 2.780547689831625, 'x8': 0.9672267555050204, 'x9': -4.546337642717653}",30.61019945099997,43.88
"{'x0': -7.034627157047444, 'x1': 7.12605953667093, 'x2': 2.7011359796429897, 'x3': -4.007130115049467, 'x4': -0.7956058721722563, 'x5': -9.5094520553146, 'x6': 1.1613020184802192, 'x7': -2.776969657913664, 'x8': 0.0541908153805614, 'x9': -6.927449252558768}",30.61007933200017,109.172
