configs,runtime_traj,F1
"{'x0': 0.5340852113480068, 'x1': -1.47053092706434, 'x2': 1.2785192457040413, 'x3': -8.06767963649384, 'x4': 4.112781047067298, 'x5': -0.6615293531867135, 'x6': 2.349498362180517, 'x7': -4.273170482169569, 'x8': 4.28764841897487, 'x9': -4.615635176202728}",10.112130070000148,18.296
"{'x0': 9.944045645631803, 'x1': 2.8599299602237918, 'x2': 9.490595403168037, 'x3': 2.3387739727882817, 'x4': -8.186541265477121, 'x5': 7.425963115031347, 'x6': 2.574126554363275, 'x7': -7.166652834084701, 'x8': -6.032340871118683, 'x9': -3.566727908631212}",10.11214543999995,178.213
"{'x0': 5.354530395065552, 'x1': -8.142347347902643, 'x2': -2.4070400579119973, 'x3': -5.629883461736558, 'x4': 6.778741321460348, 'x5': -6.435687401949723, 'x6': 5.960155562557048, 'x7': 2.7337573898376366, 'x8': -0.223532180967279, 'x9': 4.459235192003877}",10.11206618999995,117.493
"{'x0': -5.531544965332726, 'x1': 7.505158771266334, 'x2': -3.1759825974589333, 'x3': -7.232270907325691, 'x4': 0.5210253996139986, 'x5': -2.1526332911518704, 'x6': 5.665550002804611, 'x7': 6.795735469796103, 'x8': 1.4947420456643885, 'x9': -0.8609954174774881}",10.11208957000008,93.304
"{'x0': 3.042085015656264, 'x1': -8.498022889940327, 'x2': 9.5993179817888, 'x3': 2.886311485639672, 'x4': -5.299718523879966, 'x5': 8.541286836315308, 'x6': -3.191321468326236, 'x7': 4.193494509380589, 'x8': 3.3050702679328143, 'x9': -4.472506946175443}",10.112020131000008,104.697
"{'x0': -2.4684763476471794, 'x1': 1.5548985881493582, 'x2': -0.746194213808753, 'x3': 3.4696372772060986, 'x4': 0.0061159790087614, 'x5': 3.889643639303184, 'x6': 0.896069722103336, 'x7': 9.485970961923355, 'x8': -9.0346842897641, 'x9': 1.0720431562644863}",10.1119902610003,84.308
"{'x0': 3.723655856308055, 'x1': -8.992360021716593, 'x2': 5.661766772705004, 'x3': -8.167438584886163, 'x4': 2.5363308624183567, 'x5': -7.954539749078089, 'x6': -0.1667707449038538, 'x7': 5.056681936483635, 'x8': 1.5693681977817704, 'x9': -5.957532421886973}",10.112122810000074,70.068
"{'x0': 2.5354350998479696, 'x1': -0.389535564860143, 'x2': 5.682625040781829, 'x3': 2.349759209643212, 'x4': 7.714102453102527, 'x5': -3.534484011692971, 'x6': 3.759875281305993, 'x7': -5.036414050186564, 'x8': -9.577623891028734, 'x9': 2.584616139125515}",10.112082040000132,94.397
"{'x0': 8.170252500896954, 'x1': -5.2822103314098445, 'x2': -9.21178114938396, 'x3': 3.17017245487866, 'x4': -3.057652793230876, 'x5': 4.022821157357965, 'x6': -3.145274805127426, 'x7': 9.40889203554108, 'x8': 1.594713692228746, 'x9': -5.709491216596152}",10.112165540000206,126.595
"{'x0': 5.175097239835793, 'x1': 4.216334175335479, 'x2': -8.579008872445828, 'x3': 8.578162613525041, 'x4': -8.309217060575008, 'x5': -6.751781794263714, 'x6': 3.733864410697056, 'x7': -0.504162736117614, 'x8': 1.840568449713352, 'x9': -8.729874658787473}",10.112028610999914,87.771
"{'x0': -5.324514584694981, 'x1': -7.802927796696406, 'x2': 1.9965562983326477, 'x3': 0.1323996894645525, 'x4': 0.4282884655483556, 'x5': 5.22298806677982, 'x6': -1.828886118253504, 'x7': -5.0848363124924205, 'x8': 2.712703807152097, 'x9': -4.9886587171662455}",10.112103800000114,58.318
"{'x0': 6.377592216108155, 'x1': 8.384116993601111, 'x2': -4.899508795437866, 'x3': -6.446128658289004, 'x4': 0.4573488811277855, 'x5': -9.052816216096389, 'x6': -7.117681392866313, 'x7': -1.818909032288019, 'x8': 3.5108496287418127, 'x9': -1.1982749202294674}",10.11207325000032,135.198
"{'x0': -5.974651045050821, 'x1': 7.9036383282039395, 'x2': -1.2986531912431225, 'x3': -3.885714502237114, 'x4': 2.874101205633554, 'x5': 1.3328277250086271, 'x6': -4.392857420235272, 'x7': 4.617331891162056, 'x8': -3.248146850328151, 'x9': -9.184216383184705}",10.11200140100027,62.071
"{'x0': -8.750334593813784, 'x1': -7.519841487647918, 'x2': -9.106147210698689, 'x3': 3.1664471510269383, 'x4': -5.887620162293268, 'x5': 1.5961652880996198, 'x6': 0.395113292464833, 'x7': 4.077891084612977, 'x8': 3.550306251039421, 'x9': -0.5702965922552785}",10.112137170000096,96.389
"{'x0': -0.5190594352534479, 'x1': 0.3257337424086959, 'x2': 7.544084751918945, 'x3': 4.082015363320801, 'x4': 5.786468982311522, 'x5': -5.385957826614733, 'x6': 8.00795895525863, 'x7': 4.035005458410952, 'x8': -6.784955377146646, 'x9': -4.788373246275206}",10.111950251000051,82.309
"{'x0': 4.148944591843904, 'x1': 8.881589674552778, 'x2': -1.550213568662329, 'x3': -9.980992642030111, 'x4': -5.45367959019782, 'x5': 1.028646228921934, 'x6': -2.578370755974335, 'x7': 1.8201162809143143, 'x8': 9.596567810243425, 'x9': -0.4540719486078508}",10.112096600000314,190.53
"{'x0': -2.9746508804399525, 'x1': 1.7180738122925696, 'x2': -5.526335215375687, 'x3': 5.6881296685068765, 'x4': -4.846662932435972, 'x5': 0.4448092213138608, 'x6': -7.977173494216414, 'x7': -3.9928796547893626, 'x8': -5.396012867094968, 'x9': -4.616916742221906}",10.112043270999948,81.401
"{'x0': 1.2173736683430736, 'x1': 7.26455940881878, 'x2': 0.444577443432852, 'x3': -2.0533668929641884, 'x4': -8.655578139017702, 'x5': 4.773756453179349, 'x6': -2.931905494787939, 'x7': 9.348735613349008, 'x8': 8.249987671261785, 'x9': 4.068309105379996}",10.112011171000177,90.662
"{'x0': 3.5064049431013835, 'x1': -5.057602515217566, 'x2': 1.6954589951861632, 'x3': -9.250172785968228, 'x4': 7.555780836928857, 'x5': -8.784677766126705, 'x6': 4.4246689639806895, 'x7': -4.459027226208104, 'x8': -9.675628104743495, 'x9': 1.9788438663534065}",10.112158570000249,137.03
"{'x0': 0.1508559895939338, 'x1': 7.424742510867052, 'x2': 9.963382839464458, 'x3': -1.5909827765925666, 'x4': -2.7471059792073333, 'x5': 6.438282448909071, 'x6': -6.795612637419454, 'x7': -9.218647531181288, 'x8': -6.570461800335893, 'x9': 5.289741967127291}",10.112035861000097,196.111
"{'x0': -2.555718385566637, 'x1': -8.466427491908506, 'x2': -1.4567556555187178, 'x3': -8.093826387899432, 'x4': -6.023942546656766, 'x5': -4.354029686119281, 'x6': -8.59439654318824, 'x7': 0.425479808534563, 'x8': 8.527204124884811, 'x9': 2.0702951099999574}",10.11215207000032,84.253
"{'x0': -2.47431261763718, 'x1': -7.51944286672503, 'x2': -8.279792468330916, 'x3': 7.8547868054102175, 'x4': -8.68203057035279, 'x5': -9.6119141397621, 'x6': -9.734689797128826, 'x7': 9.398774002489676, 'x8': 2.3954767374564216, 'x9': -6.106657420645536}",10.112110020000271,227.307
"{'x0': 8.64692348764239, 'x1': -2.4091585432153018, 'x2': 1.2114929071838496, 'x3': -2.229236254367919, 'x4': -5.8871872461257935, 'x5': 6.032441301525225, 'x6': 0.5837971734686409, 'x7': -7.945629021366454, 'x8': -6.73012254209114, 'x9': 9.421717189328948}",10.1121160900002,132.176
"{'x0': -4.263771435047927, 'x1': 6.463749166870766, 'x2': 9.153374613627903, 'x3': 2.9413154777710915, 'x4': 8.002324795719623, 'x5': -5.514329307441894, 'x6': -7.484977336699203, 'x7': -6.637329051387892, 'x8': -6.748771604629216, 'x9': -0.3974452792729508}",10.112050211000223,174.863
"{'x0': 2.408893590563661, 'x1': 3.2928459616865027, 'x2': 8.617035827897514, 'x3': -6.915134910965106, 'x4': 0.8755117934022572, 'x5': 1.133838133802907, 'x6': 6.996874574864634, 'x7': 5.891051544609912, 'x8': -9.462490069323437, 'x9': -2.513561529984112}",10.11205733099996,132.404
"{'x0': 7.547254424557064, 'x1': -1.4327267843699245, 'x2': 5.887205387344434, 'x3': 0.8012514653059437, 'x4': 9.241732772610256, 'x5': -0.2390973593127334, 'x6': -7.753835990337272, 'x7': -6.930382457203361, 'x8': 4.622486870745387, 'x9': -5.6207825847217885}",21.952567258000272,118.702
"{'x0': 0.2692858345946014, 'x1': 2.8250141689274866, 'x2': -4.583317784253023, 'x3': -3.45717977034176, 'x4': 1.8644265605386163, 'x5': 1.270249994623004, 'x6': -4.821140682868695, 'x7': -8.052905578634945, 'x8': 6.182025316565046, 'x9': -5.813377474303287}",21.95270389799998,45.2
"{'x0': 6.777715665236819, 'x1': 8.578413274743177, 'x2': -3.229437808445041, 'x3': -9.362442702665332, 'x4': 3.4000836165976764, 'x5': 8.550707266111992, 'x6': 0.765100338050221, 'x7': -5.353410489704553, 'x8': 4.8861913938192245, 'x9': -6.430805069067089}",21.95260830799998,128.326
"{'x0': 9.045011550282776, 'x1': -3.721198248239261, 'x2': 7.302338820692015, 'x3': -9.999295217489257, 'x4': 0.0905963009067605, 'x5': -1.6480248293321085, 'x6': -2.176728006954061, 'x7': -5.5301414068552734, 'x8': 4.05034708937472, 'x9': -5.982098501888887}",21.95271529799993,161.795
"{'x0': -5.064711426591133, 'x1': 9.584620361480706, 'x2': -5.883585418515196, 'x3': -4.888586669768708, 'x4': 7.3142318090009475, 'x5': -0.7231934308119357, 'x6': -5.538363185905992, 'x7': -8.199643545605031, 'x8': 7.17236205082768, 'x9': -7.0916597362815175}",15.607193304000248,141.043
"{'x0': 7.547254424557064, 'x1': -1.4327267843699245, 'x2': 5.887205387344434, 'x3': 0.8012514653059437, 'x4': 9.241732772610256, 'x5': -0.2390973593127334, 'x6': -7.753835990337272, 'x7': -6.930382457203361, 'x8': 4.622486870745387, 'x9': -5.6207825847217885}",21.952631838000343,118.702
"{'x0': -6.050362091183534, 'x1': 9.393712451960605, 'x2': 5.681628250803639, 'x3': -6.542860133932196, 'x4': -0.5165014096944276, 'x5': 8.349425458448177, 'x6': -1.8557671755351135, 'x7': -6.765559050808745, 'x8': 6.024867123674461, 'x9': -6.042380748254379}",21.95266815800005,206.675
"{'x0': 0.2692858345946014, 'x1': 2.8250141689274866, 'x2': -4.583317784253023, 'x3': -3.45717977034176, 'x4': 1.8644265605386163, 'x5': 1.270249994623004, 'x6': -4.821140682868695, 'x7': -8.052905578634945, 'x8': 6.182025316565046, 'x9': -5.813377474303287}",21.95279170799995,45.2
