configs,runtime_traj,F1
"{'x0': -3.5325252505437232, 'x1': 1.7491950756083805, 'x2': -2.013869390128036, 'x3': 8.81776784196824, 'x4': 1.264096946084825, 'x5': 1.830015154767352, 'x6': 5.381888642879883, 'x7': -9.332703516070142, 'x8': 6.8421457785425375, 'x9': -8.884534866435004}",5.807243443996413,110.549
"{'x0': 2.301067986574864, 'x1': 8.584384836631859, 'x2': -0.8573353652020455, 'x3': 1.0408088907475133, 'x4': 8.380851714061276, 'x5': 9.664532323385508, 'x6': -1.032085730577494, 'x7': -0.1663473490571441, 'x8': -2.7390574061174178, 'x9': -7.485989587396757}",10.81513333899784,99.351
"{'x0': 0.8786703665598488, 'x1': -9.352748353572212, 'x2': -6.257648941851189, 'x3': -8.861174276202437, 'x4': -9.825848973596068, 'x5': -7.577756186763347, 'x6': -3.180563843857572, 'x7': 7.039711729568509, 'x8': -5.357141524439715, 'x9': -1.4096697569262489}",15.836431610019645,220.587
"{'x0': 1.9677080397384472, 'x1': -4.942336079975654, 'x2': 4.109834511824674, 'x3': 0.96020251244844, 'x4': -5.416809995383174, 'x5': 2.692795043732634, 'x6': 1.2914446366996266, 'x7': 4.528370460267183, 'x8': -5.86471125915399, 'x9': 3.955261977669391}",20.846315878006862,63.521
"{'x0': 9.653304088649817, 'x1': 9.313307385118549, 'x2': -5.79973548140609, 'x3': -9.72320963083855, 'x4': -7.576496984922372, 'x5': -7.408920354786557, 'x6': 2.656280775152272, 'x7': 8.781983672456526, 'x8': 4.981277823904932, 'x9': 4.338523378535655}",25.859627302008448,262.554
"{'x0': -2.0, 'x1': -6.0, 'x2': 8.6, 'x3': -4.2, 'x4': 2.4, 'x5': 5.1, 'x6': 0.3, 'x7': 7.9, 'x8': -8.5, 'x9': -1.0}",44.93312721600523,80.085
"{'x0': 3.9, 'x1': -7.0, 'x2': 7.6, 'x3': -0.7, 'x4': 4.7, 'x5': -1.5, 'x6': -5.2, 'x7': 0.2, 'x8': 9.1, 'x9': 2.1}",49.96839976700721,94.096
"{'x0': -5.4, 'x1': 6.3, 'x2': 2.7, 'x3': -1.3, 'x4': -4.5, 'x5': 7.4, 'x6': -8.6, 'x7': 1.1, 'x8': 3.0, 'x9': 9.8}",54.98684934200719,64.326
"{'x0': 2.2, 'x1': 8.7, 'x2': -2.9, 'x3': 4.4, 'x4': -7.9, 'x5': 1.3, 'x6': -0.8, 'x7': 6.0, 'x8': -5.9, 'x9': 7.5}",60.01882656800444,94.233
"{'x0': -7.5, 'x1': 4.5, 'x2': -0.5, 'x3': 6.5, 'x4': -8.5, 'x5': 2.5, 'x6': -3.5, 'x7': 9.5, 'x8': -5.5, 'x9': 1.5}",79.00603046800825,120.064
"{'x0': -9.5, 'x1': 2.5, 'x2': -1.5, 'x3': 5.5, 'x4': -4.5, 'x5': 8.5, 'x6': -7.5, 'x7': 3.5, 'x8': -0.5, 'x9': 6.5}",84.01619144700817,112.052
"{'x0': -7.0, 'x1': 3.0, 'x2': -4.0, 'x3': 8.0, 'x4': -1.0, 'x5': 7.0, 'x6': -6.0, 'x7': 2.0, 'x8': -9.0, 'x9': 5.0}",89.03530427999794,108.277
"{'x0': -6.0, 'x1': 2.0, 'x2': -9.0, 'x3': 7.0, 'x4': -3.0, 'x5': 6.0, 'x6': -7.0, 'x7': 4.0, 'x8': -2.0, 'x9': 9.0}",94.05228210499628,134.404
"{'x0': 0.1, 'x1': -4.0, 'x2': 9.0, 'x3': -2.7, 'x4': 3.2, 'x5': -8.8, 'x6': 1.4, 'x7': 7.7, 'x8': -6.6, 'x9': -0.5}",113.2622946210031,100.606
