configs,runtime_traj,F1
"{'x0': 5.744224131696363, 'x1': 1.8883365062698925, 'x2': 4.151828120325938, 'x3': 6.91742870923845, 'x4': 0.9395452642708476, 'x5': -6.897313892532582, 'x6': -9.133241782917985, 'x7': 5.952477224002772, 'x8': -8.341646781076747, 'x9': -3.586892406588465}",5.001380809000693,117.395
"{'x0': 4.85148741992565, 'x1': -3.57489772225394, 'x2': -9.081876473608766, 'x3': -0.0205809949139901, 'x4': -9.822507143012944, 'x5': 7.54811249493385, 'x6': 6.358059511060507, 'x7': -4.336682184199281, 'x8': 3.920928130011813, 'x9': -6.834754674785952}",10.004311516000598,137.322
"{'x0': -9.830124823186049, 'x1': -8.619118096659546, 'x2': -7.465494488252833, 'x3': 1.927346304227264, 'x4': -3.829216603797507, 'x5': -2.653934977280992, 'x6': -9.646106430022304, 'x7': 9.76340593537086, 'x8': -4.97904243023195, 'x9': -2.600023072834034}",15.007290765999642,239.45
"{'x0': -1.4075124423786551, 'x1': -5.702687566639446, 'x2': -1.7324011951527505, 'x3': 9.663196619969018, 'x4': -9.466038496069793, 'x5': -4.178632683697603, 'x6': -5.791318459925785, 'x7': 1.1734604501583696, 'x8': 2.1607663016377128, 'x9': 9.171727610012969}",20.016232485999357,171.037
"{'x0': 9.233293672294018, 'x1': 8.33929331300634, 'x2': -6.19698211411869, 'x3': -2.0420084529993847, 'x4': -0.1354707420829619, 'x5': 9.405657946302489, 'x6': 3.274857063746646, 'x7': -1.5671432236644698, 'x8': -0.6420843305315849, 'x9': 9.600996641250916}",25.019486606999635,150.809
"{'x0': 9.5, 'x1': -7.2, 'x2': 2.8, 'x3': -4.9, 'x4': 5.6, 'x5': -8.1, 'x6': -0.7, 'x7': 6.3, 'x8': 1.9, 'x9': -3.2}",38.56391617900045,122.826
"{'x0': -5.0, 'x1': 4.0, 'x2': -8.2, 'x3': -7.0, 'x4': 1.3, 'x5': 6.7, 'x6': 3.8, 'x7': -0.3, 'x8': 9.7, 'x9': -1.8}",43.57383103900065,114.651
"{'x0': 3.1, 'x1': -9.6, 'x2': 0.5, 'x3': 8.8, 'x4': 2.4, 'x5': -5.9, 'x6': -2.7, 'x7': 7.5, 'x8': -4.2, 'x9': 9.3}",48.57691201799935,136.503
"{'x0': -8.7, 'x1': -1.1, 'x2': 7.1, 'x3': 0.9, 'x4': -3.5, 'x5': 4.6, 'x6': -6.2, 'x7': -9.9, 'x8': 8.3, 'x9': -5.7}",53.5801408440002,157.128
"{'x0': -2.5, 'x1': 3.7, 'x2': -5.1, 'x3': 1.2, 'x4': -7.8, 'x5': 0.6, 'x6': 8.9, 'x7': -0.1, 'x8': -6.3, 'x9': 4.2}",71.77457737400073,97.488
