configs,runtime_traj,F1
"{'x0': -2.8464147939866224, 'x1': 8.910558423481646, 'x2': 7.221914101962174, 'x3': 6.109552641318089, 'x4': 7.448015023935913, 'x5': -1.3292014480396084, 'x6': -4.398634257132876, 'x7': -6.652696185924958, 'x8': 9.869967240788087, 'x9': 6.812801331159342}",5.001355339001748,160.887
"{'x0': -7.296359883829218, 'x1': 2.098051496992884, 'x2': 3.460564270299738, 'x3': -3.225328917336732, 'x4': -6.959681180858633, 'x5': 2.8283911117987763, 'x6': 4.018547638498296, 'x7': -1.254761676749407, 'x8': 2.677566934058291, 'x9': 7.240490978717045}",10.004248666999048,74.326
"{'x0': -5.001022371819978, 'x1': -7.304475114992927, 'x2': -5.754488049682999, 'x3': 7.597172345003987, 'x4': -4.4919108901290805, 'x5': -4.3015051819365135, 'x6': 1.3059322904174238, 'x7': 0.4233405474959433, 'x8': 0.1840497486822219, 'x9': -8.940752988378334}",15.007158835003793,75.191
"{'x0': -9.095680322941163, 'x1': 1.8575146548814807, 'x2': 2.8912906048402505, 'x3': 6.362546922445418, 'x4': -1.6839564182938194, 'x5': -8.386367365202078, 'x6': 5.341619190422804, 'x7': 1.7931238773697462, 'x8': -4.072631038843539, 'x9': 4.7543392583916}",20.01593657599733,73.002
"{'x0': 6.241221349914319, 'x1': 1.1564930064928127, 'x2': -9.550120476907743, 'x3': -0.4028990919271908, 'x4': -2.841101988496213, 'x5': -0.6394182241178079, 'x6': -2.339139472865293, 'x7': 3.7290715987452767, 'x8': -6.2907084186764095, 'x9': 5.353661848250717}",25.019105767998557,128.356
"{'x0': -9.5, 'x1': -9.5, 'x2': -9.5, 'x3': -9.5, 'x4': -9.5, 'x5': -9.5, 'x6': -9.5, 'x7': -9.5, 'x8': -9.5, 'x9': -9.5}",38.20560565900087,491.411
"{'x0': 9.5, 'x1': 9.5, 'x2': 9.5, 'x3': 9.5, 'x4': 9.5, 'x5': 9.5, 'x6': 9.5, 'x7': 9.5, 'x8': 9.5, 'x9': 9.5}",43.2155390629996,441.212
"{'x0': -5.0, 'x1': 5.0, 'x2': -5.0, 'x3': 5.0, 'x4': -5.0, 'x5': 5.0, 'x6': -5.0, 'x7': 5.0, 'x8': -5.0, 'x9': 5.0}",48.21905355899799,78.415
"{'x0': 5.0, 'x1': -5.0, 'x2': 5.0, 'x3': -5.0, 'x4': 5.0, 'x5': -5.0, 'x6': 5.0, 'x7': -5.0, 'x8': 5.0, 'x9': -5.0}",53.22249748700415,77.927
"{'x0': -2.0, 'x1': 3.0, 'x2': -1.0, 'x3': 0.0, 'x4': 2.0, 'x5': -3.0, 'x6': 1.0, 'x7': -2.0, 'x8': -1.0, 'x9': 0.5}",71.2965777319987,24.158
"{'x0': 4.0, 'x1': -4.0, 'x2': 2.0, 'x3': -2.0, 'x4': 1.0, 'x5': -1.0, 'x6': 0.0, 'x7': -0.5, 'x8': -5.0, 'x9': 3.0}",76.30776394800341,20.504
"{'x0': 1.5, 'x1': -1.5, 'x2': 1.5, 'x3': -1.5, 'x4': 1.5, 'x5': -1.5, 'x6': 1.5, 'x7': -1.5, 'x8': 0.05, 'x9': -1.5}",81.3108493280015,13.592
"{'x0': 7.0, 'x1': -7.0, 'x2': 0.5, 'x3': -0.5, 'x4': 8.0, 'x5': -8.0, 'x6': 2.5, 'x7': -2.5, 'x8': -2.0, 'x9': -1.0}",86.31386696000118,69.655
