configs,runtime_traj,F1
"{'x0': 0.9507288906241876, 'x1': 3.5252812654696184, 'x2': 3.6653631244570297, 'x3': 3.5558578051494445, 'x4': 1.2652922550883572, 'x5': -1.1839313173227537, 'x6': -2.073245628984604, 'x7': -4.539259112269382, 'x8': -2.327999543499641, 'x9': -0.2287091986293772}",5.083675715000027,188.636
"{'x0': 3.19660778266105, 'x1': -0.2050337548794125, 'x2': -1.0978836879275038, 'x3': 3.4414465386227464, 'x4': -1.6650633173271716, 'x5': 1.5172799698042594, 'x6': -1.349206632032789, 'x7': 4.681268827679195, 'x8': -3.682808008574514, 'x9': 3.789693525590388}",5.083700995000072,201.807
"{'x0': -0.2702536163972047, 'x1': 3.081326100271556, 'x2': 0.2096893906043373, 'x3': 1.8317263884181532, 'x4': 2.2592783843933875, 'x5': 0.8398826708490965, 'x6': 0.3827018695578692, 'x7': 2.6482239930609373, 'x8': -4.035506102397009, 'x9': -0.2703317058902277}",5.083715745000063,127.548
"{'x0': -3.211956804333978, 'x1': 2.426042133800532, 'x2': -2.902524370694432, 'x3': -3.7353659043281713, 'x4': -1.8007960801974878, 'x5': -3.5873293600390843, 'x6': -2.8434289843037424, 'x7': -1.1623528332711737, 'x8': 4.122608389421104, 'x9': -0.5125121033090299}",5.083798354999999,178.109
"{'x0': 1.1577698087335158, 'x1': 4.120049491701599, 'x2': -4.103369212324108, 'x3': 4.8108448537267074, 'x4': 1.5681539665708817, 'x5': -3.3698858482068976, 'x6': -1.452521810232064, 'x7': 2.567026086076992, 'x8': 1.1041860476463905, 'x9': -1.7915163749544707}",5.083722365000085,184.892
"{'x0': -4.726523632919196, 'x1': 1.374966353483111, 'x2': 4.699640510715088, 'x3': 1.564572846136226, 'x4': 1.3830028657004938, 'x5': 5.07186757302157, 'x6': 0.8381473734505915, 'x7': -0.8768656565619839, 'x8': -0.2590975765666519, 'x9': 1.2647434355903302}",5.083812105000106,187.882
"{'x0': -1.6588020240497483, 'x1': 1.7894637799323725, 'x2': -1.871854161210408, 'x3': 2.8502577359453083, 'x4': 4.6036075873356, 'x5': 1.6642751175684536, 'x6': -4.981026451331996, 'x7': 1.2579440183978958, 'x8': 1.778274619758483, 'x9': 4.832716825596578}",5.083743065000135,181.522
"{'x0': 3.872701146595092, 'x1': 0.0985536176117776, 'x2': -4.549481536495551, 'x3': -0.5001296433056961, 'x4': -4.91532630621431, 'x5': -0.5968801664118235, 'x6': 4.910968103042339, 'x7': -1.439288688954148, 'x8': -0.1956502442376928, 'x9': 1.9318905119310887}",5.08374952500003,182.785
"{'x0': 3.896073105946578, 'x1': 4.282731175548363, 'x2': -2.899741310693961, 'x3': 0.6675339940339233, 'x4': 3.738650227767143, 'x5': 0.0918421572302286, 'x6': 4.267243049159279, 'x7': 4.312653928828925, 'x8': -4.268928075462632, 'x9': -2.276161932482228}",5.083660575000067,207.618
"{'x0': -5.024187342269106, 'x1': 3.505582895797565, 'x2': 1.5070631955205682, 'x3': 3.4957938605809096, 'x4': -2.409163117737476, 'x5': -1.0463154917516384, 'x6': 0.5408919540487318, 'x7': -3.4310096871231064, 'x8': -1.3331651302569982, 'x9': -3.6204363496538905}",5.083819854000012,235.811
