configs,runtime_traj,F1
"{'x0': -2.6670015753613883, 'x1': 1.813652189067584, 'x2': 4.599740618429888, 'x3': -1.195917383577164, 'x4': 0.8010066002966383, 'x5': -4.19256115951904, 'x6': 2.9313386273836306, 'x7': -2.7619330211288933, 'x8': -0.1944642278275692, 'x9': 3.3278753804779777}",5.086182319000272,169.164
"{'x0': 4.469062884423885, 'x1': -4.25199989828412, 'x2': 4.897760722366001, 'x3': -0.4693493809655589, 'x4': -4.404259112352786, 'x5': 0.634759871899754, 'x6': -2.9379495119247814, 'x7': -3.640360378654841, 'x8': -1.8560033873534767, 'x9': -1.3280669048914877}",5.086270568000145,231.407
"{'x0': -1.161775406774085, 'x1': -4.279927504762303, 'x2': -0.8480491308733873, 'x3': 0.841776962553273, 'x4': 4.319143289524841, 'x5': 0.147266539474292, 'x6': 2.177169317189043, 'x7': 0.4517937516259804, 'x8': -4.286883948181879, 'x9': -3.4808160272756483}",5.086243148000449,176.129
"{'x0': 3.2575161842213936, 'x1': 1.4961996564331352, 'x2': 4.193329162514215, 'x3': -0.8390145115749092, 'x4': 4.2525805960044805, 'x5': -1.7149457838259194, 'x6': -0.2688049568989274, 'x7': 0.6456956909869662, 'x8': 1.970127451587481, 'x9': 3.693929514830244}",5.086276788000305,175.103
"{'x0': -1.4973398021179651, 'x1': 4.041329173542068, 'x2': 1.2306700289390395, 'x3': 4.141169692571133, 'x4': -0.174854714309661, 'x5': 1.3654420996893917, 'x6': 4.973980556524515, 'x7': -4.22329231925221, 'x8': 1.6615979291309824, 'x9': -2.0275252801228603}",5.086205399000392,167.358
"{'x0': 1.8326220321490725, 'x1': -2.437902429925116, 'x2': -1.2105477519635213, 'x3': 1.4706954202165914, 'x4': 2.716294192237531, 'x5': 0.2309053703835433, 'x6': 4.511208919847609, 'x7': 4.106571318294516, 'x8': -4.327612198863969, 'x9': -2.748417425069239}",5.086173389000123,203.348
"{'x0': 0.340101639036102, 'x1': 3.8668843726274655, 'x2': -0.0525720945195731, 'x3': 3.839127652721266, 'x4': -0.7786505468576799, 'x5': 4.753835800421117, 'x6': 3.068601486946032, 'x7': 0.1342135267189315, 'x8': -1.590524184725829, 'x9': 1.812751258843737}",5.086250648000259,138.974
"{'x0': 0.1245390321627031, 'x1': 4.883604277967291, 'x2': 1.629337113324146, 'x3': 3.1925887862650137, 'x4': -4.453297359426696, 'x5': -3.0745525852267552, 'x6': -1.1233585714112144, 'x7': 2.495125185622907, 'x8': -1.488251462734405, 'x9': 3.3324204467781326}",5.086198059000253,194.041
"{'x0': -4.212396962083548, 'x1': 3.059179992275145, 'x2': -1.8278276397217132, 'x3': -4.3221029227380425, 'x4': 1.3688151686873855, 'x5': 1.5019373856391205, 'x6': -1.2137473312389693, 'x7': -3.898122294653862, 'x8': 2.9686934132176104, 'x9': -1.430597640240951}",5.086295588000212,174.573
"{'x0': -3.861051229481753, 'x1': -3.6982076968250897, 'x2': -0.8904772814926707, 'x3': -3.3839831030060123, 'x4': -4.481055875694848, 'x5': -2.233167970944909, 'x6': 4.861741140460068, 'x7': -4.4879155190136375, 'x8': -4.650776899569583, 'x9': -3.679516916418757}",5.086228118000236,263.859
"{'x0': 3.5098451956255614, 'x1': -2.507343947253298, 'x2': -1.9582845255033876, 'x3': -0.8324352339360352, 'x4': -1.0740780115504576, 'x5': 0.8161170885114197, 'x6': 0.1068826431344014, 'x7': -0.3307668581023799, 'x8': 3.317303046229555, 'x9': 4.515402408382545}",5.086163759000101,159.944
"{'x0': -3.1160980320532405, 'x1': 4.14726423765661, 'x2': -2.723360411960324, 'x3': 0.9624142637346952, 'x4': -2.623697566351027, 'x5': 4.499776528282889, 'x6': 4.197164419172307, 'x7': -3.1302557134221445, 'x8': -4.25384091902053, 'x9': -1.2377508397514485}",5.086190099000305,194.407
"{'x0': 1.929714234466981, 'x1': -4.72514887642939, 'x2': 0.465845656391731, 'x3': -0.2942646214196234, 'x4': 4.527558018067983, 'x5': 2.9486640250280702, 'x6': -3.757277584498364, 'x7': 4.511456019125199, 'x8': 2.5453016639813164, 'x9': 2.864083726705384}",5.086302618000445,222.641
"{'x0': 2.4508296968722, 'x1': -2.8447981866312357, 'x2': -4.034894129329114, 'x3': -1.6136050899407328, 'x4': -2.2126375056083543, 'x5': 0.602214484464831, 'x6': 4.627614104329379, 'x7': -1.7328172901129402, 'x8': -0.0275526842645055, 'x9': 1.7270597331246984}",5.086288708000211,172.656
"{'x0': -0.7631581301881321, 'x1': 1.1478606281083843, 'x2': -3.313898065216498, 'x3': 3.3965090654596297, 'x4': -4.6397052939181584, 'x5': -4.243730910904735, 'x6': -1.0768728539141297, 'x7': -0.64585217813692, 'x8': 3.707153856896556, 'x9': -4.1223742985231695}",5.086310728000171,200.022
"{'x0': 3.629912044789324, 'x1': 4.172102751532559, 'x2': 3.1555683653998647, 'x3': -4.41015958568439, 'x4': 0.094273826542933, 'x5': 0.7623328031246652, 'x6': -0.056981000489471, 'x7': 4.669175261026958, 'x8': 3.494307113813684, 'x9': -1.6113166310463125}",5.086331128000438,206.269
"{'x0': -1.6880077904932786, 'x1': -3.7772672447392655, 'x2': 4.010185715330784, 'x3': 4.218828333438217, 'x4': -4.038697901281172, 'x5': -0.7911375662755802, 'x6': 1.0395659322796806, 'x7': 0.7465684921827433, 'x8': -1.5809431180323337, 'x9': -0.2703829520193359}",5.086212999000054,150.584
"{'x0': 3.204250097449015, 'x1': -2.228786434989737, 'x2': 3.1428344361932323, 'x3': -2.574975078250493, 'x4': -3.962738076489459, 'x5': 0.3870297556784621, 'x6': 1.0076722587497002, 'x7': 4.845350592280549, 'x8': 5.005312681183679, 'x9': 1.747713698221791}",5.086263518000123,171.086
"{'x0': 0.8918735665409017, 'x1': 2.0479421979182657, 'x2': -2.6197470016985926, 'x3': 0.5439078274697913, 'x4': 0.1875480024810132, 'x5': 1.6891898340991718, 'x6': 4.211412146184421, 'x7': -1.312356394353437, 'x8': 0.4413082153408609, 'x9': 2.003321383859735}",5.086257258000387,138.948
"{'x0': 0.4625247921719895, 'x1': 2.4091245651439115, 'x2': 2.259381064555652, 'x3': 2.4087324893049047, 'x4': 2.3456009289192785, 'x5': -4.450358880411771, 'x6': 3.050505717837763, 'x7': 4.491083401015428, 'x8': -0.6837426122892989, 'x9': 1.7293656021029689}",5.086149069000385,223.283
"{'x0': 0.9895564009221678, 'x1': 2.934455431824138, 'x2': 4.924809851716407, 'x3': -2.686982726860248, 'x4': 2.1971869928205585, 'x5': 4.799970687375919, 'x6': -5.09607648342658, 'x7': 1.5345565647795922, 'x8': -3.1067291937596373, 'x9': -0.2496722037030041}",5.086317578000035,170.111
"{'x0': 3.177992322831904, 'x1': 3.893495798547773, 'x2': 3.314693939748497, 'x3': 2.211707288997923, 'x4': -2.949721453248833, 'x5': 1.3832439497574027, 'x6': 4.386101058251355, 'x7': 1.1313191654141646, 'x8': -3.5856718660894504, 'x9': -3.79154624095284}",5.086235818000205,193.548
"{'x0': -2.408696251345575, 'x1': 3.386049393166874, 'x2': -0.5509321245407515, 'x3': 0.4173130173610913, 'x4': 3.1164391875249544, 'x5': -0.3436399981834483, 'x6': -1.880665649709215, 'x7': 0.8730501480513242, 'x8': 4.782918107362071, 'x9': -0.8205966796786912}",5.086282618000041,167.002
"{'x0': -4.836716360099493, 'x1': 0.6991748801593385, 'x2': -2.46733107174382, 'x3': 0.1860983369122584, 'x4': 4.57468490447862, 'x5': -0.349688921321575, 'x6': -2.7366245119220163, 'x7': -1.3427536350488958, 'x8': -0.3160047640455943, 'x9': -4.999858335565405}",5.086220689000129,204.437
"{'x0': -0.3580377205706107, 'x1': 3.674587406429205, 'x2': 1.908804676818857, 'x3': -4.455910422875119, 'x4': 0.5382706465203793, 'x5': 4.166711934246689, 'x6': 3.455087089081993, 'x7': 1.2357962644163036, 'x8': 0.5630249216735264, 'x9': 1.2306126641163333}",5.08632427800012,203.574
"{'x0': 4.389524152452675, 'x1': -2.527676357502859, 'x2': -3.1341371779126894, 'x3': -1.2040319658339254, 'x4': 4.3920609055457644, 'x5': 1.8198259256498783, 'x6': 1.4707104116303684, 'x7': 1.819509128763912, 'x8': -0.8937286370135178, 'x9': 2.4753723574626365}",10.582098029000008,191.133
"{'x0': 1.6971895582526972, 'x1': -2.11854580436612, 'x2': -3.306401341346774, 'x3': -1.7445065352984055, 'x4': 1.838239155964163, 'x5': 0.9231105081149682, 'x6': 5.075745976408572, 'x7': -0.1784386501818771, 'x8': -4.8575117727330985, 'x9': 1.9165933046323804}",10.582026879000296,136.094
"{'x0': -1.266243578232296, 'x1': -2.652017972999022, 'x2': -2.8408306926720743, 'x3': 2.4011209013095893, 'x4': 1.2192904073624744, 'x5': 1.899102594982942, 'x6': -4.785630643377492, 'x7': 1.2189302811149574, 'x8': -0.6443509503546752, 'x9': 3.445874832102919}",10.581996220000292,175.22
"{'x0': 4.389524152452675, 'x1': -2.527676357502859, 'x2': -3.1341371779126894, 'x3': -1.2040319658339254, 'x4': 4.3920609055457644, 'x5': 1.8198259256498783, 'x6': 1.4707104116303684, 'x7': 1.819509128763912, 'x8': -0.8937286370135178, 'x9': 2.4753723574626365}",10.582011159000103,191.133
"{'x0': 1.6971895582526972, 'x1': -2.11854580436612, 'x2': -3.306401341346774, 'x3': -1.7445065352984055, 'x4': 1.838239155964163, 'x5': 0.9231105081149682, 'x6': 5.075745976408572, 'x7': -0.1784386501818771, 'x8': -4.8575117727330985, 'x9': 1.9165933046323804}",10.58213963900016,136.094
"{'x0': 2.116607455488606, 'x1': -1.401323741499659, 'x2': -3.0200913400614047, 'x3': 3.063761111812025, 'x4': 4.43360624930899, 'x5': -1.3013752226870987, 'x6': 3.0716690641053264, 'x7': 2.9920555723823705, 'x8': 1.3514395481652146, 'x9': 1.95754224501314}",10.582091349000166,141.552
"{'x0': 4.389524152452675, 'x1': -2.527676357502859, 'x2': -3.1341371779126894, 'x3': -1.2040319658339254, 'x4': 4.3920609055457644, 'x5': 1.8198259256498783, 'x6': 1.4707104116303684, 'x7': 1.819509128763912, 'x8': -0.8937286370135178, 'x9': 2.4753723574626365}",10.582158559000163,191.133
"{'x0': 2.116607455488606, 'x1': -1.401323741499659, 'x2': -3.0200913400614047, 'x3': 3.063761111812025, 'x4': 4.43360624930899, 'x5': -1.3013752226870987, 'x6': 3.0716690641053264, 'x7': 2.9920555723823705, 'x8': 1.3514395481652146, 'x9': 1.95754224501314}",10.58217041900025,141.552
"{'x0': -1.20311766541893, 'x1': 4.369940778999395, 'x2': -4.523223202227051, 'x3': -4.529132105517268, 'x4': 2.15039150038675, 'x5': -0.1449682449329632, 'x6': 1.499049025087162, 'x7': -1.200474147290314, 'x8': -4.950855383493908, 'x9': 3.8330835419585183}",10.58210507900003,213.156
"{'x0': 1.6971895582526972, 'x1': -2.11854580436612, 'x2': -3.306401341346774, 'x3': -1.7445065352984055, 'x4': 1.838239155964163, 'x5': 0.9231105081149682, 'x6': 5.075745976408572, 'x7': -0.1784386501818771, 'x8': -4.8575117727330985, 'x9': 1.9165933046323804}",10.582047459000025,136.094
"{'x0': 4.519373366304172, 'x1': 2.007951994892525, 'x2': -3.2146313760615604, 'x3': -1.3639619501819404, 'x4': 4.085300886717026, 'x5': -0.2125939355681865, 'x6': -3.314900792560136, 'x7': 1.8937846701348269, 'x8': -2.5201326638617227, 'x9': 2.0246557302170336}",10.582062549000057,167.934
"{'x0': 2.116607455488606, 'x1': -1.401323741499659, 'x2': -3.0200913400614047, 'x3': 3.063761111812025, 'x4': 4.43360624930899, 'x5': -1.3013752226870987, 'x6': 3.0716690641053264, 'x7': 2.9920555723823705, 'x8': 1.3514395481652146, 'x9': 1.95754224501314}",10.582111329000329,141.552
"{'x0': 4.803454358342328, 'x1': -2.231536408365198, 'x2': -2.915166189674643, 'x3': 2.543712921401802, 'x4': 3.109864340035247, 'x5': -3.3216674868377005, 'x6': 1.4458149814035348, 'x7': -0.4667999983600905, 'x8': 2.7097805566898554, 'x9': 3.9543503824302375}",10.582054919000257,194.333
"{'x0': -1.266243578232296, 'x1': -2.652017972999022, 'x2': -2.8408306926720743, 'x3': 2.4011209013095893, 'x4': 1.2192904073624744, 'x5': 1.899102594982942, 'x6': -4.785630643377492, 'x7': 1.2189302811149574, 'x8': -0.6443509503546752, 'x9': 3.445874832102919}",10.582084379000207,175.22
