configs,runtime_traj,F1
"{'x0': 2.316000124349008, 'x1': 0.7104937294469913, 'x2': 1.7644640820331343, 'x3': 1.0021680690721677, 'x4': -1.8824177808710896, 'x5': -0.4044336965163788, 'x6': -1.30724610092483, 'x7': 0.5997294723994298, 'x8': 2.594958014434446, 'x9': 3.805457056285373}",5.10426811198704,149.892
"{'x0': 5.022176175567631, 'x1': -2.569874284965282, 'x2': -4.03910000035244, 'x3': 0.7192587682485501, 'x4': 1.841605450993101, 'x5': 1.967679097133173, 'x6': 2.668855319743645, 'x7': -4.9008570159495655, 'x8': 0.3164819680355775, 'x9': -1.6908417723321998}",10.109651798993582,170.6
"{'x0': 0.4215367724657035, 'x1': 0.8582233760098452, 'x2': 2.6096901862664232, 'x3': 4.517908313397391, 'x4': -3.1696499439606542, 'x5': -2.395703643980554, 'x6': 4.288955350885014, 'x7': 3.241833339090223, 'x8': 4.686579103495597, 'x9': 4.567412193237147}",15.120846892008558,253.826
"{'x0': -3.649311909782689, 'x1': -0.7693969790264292, 'x2': 3.7794717763005528, 'x3': 3.451875642781581, 'x4': 1.5591034085699782, 'x5': 1.6183626855566544, 'x6': 0.2716767118073573, 'x7': -3.559631913752884, 'x8': 4.261853427475242, 'x9': 4.393677426230073}",20.125582039006986,243.71
"{'x0': 0.7685883043743154, 'x1': -3.8964203425032906, 'x2': -4.381811983739584, 'x3': 0.2628777237640793, 'x4': 5.0164835321848456, 'x5': 1.7641842495819438, 'x6': 0.5646061590145495, 'x7': -1.0364052583416932, 'x8': 5.095993901505476, 'x9': -1.413793066875062}",25.129616104008164,180.679
"{'x0': 3.0, 'x1': -1.0, 'x2': -4.0, 'x3': 0.0, 'x4': 1.0, 'x5': 3.0, 'x6': -2.0, 'x7': 4.0, 'x8': -1.0, 'x9': 2.0}",44.3091802400013,61.0
"{'x0': 1.0, 'x1': 4.0, 'x2': -3.0, 'x3': -1.0, 'x4': 2.0, 'x5': -4.0, 'x6': 3.0, 'x7': -2.0, 'x8': 1.5, 'x9': -1.5}",49.3180037009879,104.5
"{'x0': 4.0, 'x1': -0.5, 'x2': -1.5, 'x3': 3.5, 'x4': 2.5, 'x5': -3.5, 'x6': -0.5, 'x7': 1.5, 'x8': 4.5, 'x9': -2.5}",54.32145895800204,258.25
"{'x0': 4.0, 'x1': -1.5, 'x2': 0.5, 'x3': -3.5, 'x4': 2.5, 'x5': -0.0, 'x6': 1.0, 'x7': -2.0, 'x8': 3.5, 'x9': -4.0}",59.3254683619889,170.25
"{'x0': -0.5, 'x1': -0.5, 'x2': -0.5, 'x3': -0.5, 'x4': -0.5, 'x5': -0.5, 'x6': -0.5, 'x7': -0.5, 'x8': -0.5, 'x9': -0.5}",79.24123519798741,202.5
"{'x0': -1.0, 'x1': 1.0, 'x2': -1.0, 'x3': 1.0, 'x4': -1.0, 'x5': 1.0, 'x6': -1.0, 'x7': 1.0, 'x8': -1.0, 'x9': 1.0}",84.2504873109865,10.0
"{'x0': 1.0, 'x1': -1.0, 'x2': 1.0, 'x3': -1.0, 'x4': 1.0, 'x5': -1.0, 'x6': 1.0, 'x7': -1.0, 'x8': 1.0, 'x9': -1.0}",89.2541234579985,10.0
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.5, 'x3': 0.5, 'x4': 0.5, 'x5': 0.5, 'x6': 0.5, 'x7': 0.5, 'x8': 0.5, 'x9': 0.5}",94.2587261860026,202.5
"{'x0': 4.9, 'x1': -3.1, 'x2': 0.5, 'x3': -2.2, 'x4': 1.6, 'x5': 3.2, 'x6': -0.9, 'x7': 4.2, 'x8': -1.4, 'x9': -4.7}",113.51309794999544,189.739
"{'x0': 4.5, 'x1': -2.8, 'x2': 0.2, 'x3': -3.1, 'x4': 1.9, 'x5': 2.7, 'x6': -1.4, 'x7': 3.3, 'x8': -0.9, 'x9': -4.0}",118.5235331270087,162.12
"{'x0': 4.1, 'x1': -1.3, 'x2': -3.9, 'x3': 2.2, 'x4': 0.7, 'x5': -2.5, 'x6': 3.5, 'x7': -0.1, 'x8': 4.8, 'x9': -1.7}",123.5371170520084,182.3
"{'x0': 3.5, 'x1': -0.7, 'x2': 1.8, 'x3': -4.1, 'x4': 2.9, 'x5': -1.2, 'x6': 0.4, 'x7': -3.3, 'x8': 4.7, 'x9': -2.1}",128.5411442439945,177.1
"{'x0': 1.2, 'x1': -4.7, 'x2': 3.1, 'x3': -1.8, 'x4': 0.2, 'x5': 2.1, 'x6': -2.7, 'x7': 0.8, 'x8': 3.6, 'x9': -3.3}",147.33389239900862,161.43
"{'x0': 1.7, 'x1': -4.2, 'x2': 3.3, 'x3': -1.6, 'x4': 0.4, 'x5': 2.3, 'x6': -2.4, 'x7': 0.9, 'x8': 3.8, 'x9': -3.1}",152.3442387190007,181.23
"{'x0': 1.5, 'x1': -4.5, 'x2': 3.5, 'x3': -1.5, 'x4': 0.0, 'x5': 2.5, 'x6': -2.5, 'x7': 1.0, 'x8': 4.0, 'x9': -3.0}",157.35899142400012,195.5
"{'x0': 4.5, 'x1': -2.2, 'x2': 0.6, 'x3': -3.9, 'x4': 1.4, 'x5': 2.7, 'x6': -1.3, 'x7': 3.5, 'x8': -0.9, 'x9': -4.2}",162.36268387798918,202.3
"{'x0': -2.5, 'x1': 3.7, 'x2': -3.2, 'x3': 1.1, 'x4': 2.4, 'x5': -1.4, 'x6': 2.7, 'x7': -2.1, 'x8': 1.7, 'x9': -4.0}",181.6946917169844,175.88
"{'x0': -2.8, 'x1': 3.9, 'x2': -3.5, 'x3': 0.9, 'x4': 2.6, 'x5': -1.3, 'x6': 2.9, 'x7': -2.4, 'x8': 1.5, 'x9': -4.2}",186.7070948019973,187.44
"{'x0': -1.5, 'x1': 4.2, 'x2': -3.8, 'x3': 0.5, 'x4': 2.3, 'x5': -1.1, 'x6': 3.1, 'x7': -2.7, 'x8': 1.8, 'x9': -4.6}",191.72067777600023,191.2
"{'x0': 2.0, 'x1': -3.0, 'x2': 1.9, 'x3': -1.9, 'x4': 3.7, 'x5': -0.4, 'x6': 4.8, 'x7': -1.1, 'x8': 0.7, 'x9': -3.1}",196.72653765100404,127.24
"{'x0': 2.2, 'x1': -3.8, 'x2': 1.1, 'x3': -2.7, 'x4': 3.4, 'x5': -0.7, 'x6': 4.7, 'x7': -1.2, 'x8': 0.3, 'x9': -3.7}",215.7539702960057,183.32
"{'x0': 2.5, 'x1': -3.5, 'x2': 1.6, 'x3': -2.2, 'x4': 3.2, 'x5': -0.6, 'x6': 4.5, 'x7': -1.4, 'x8': 0.5, 'x9': -3.5}",220.76837509899636,239.3
