configs,runtime_traj,F1
"{'x0': -2.091777153670415, 'x1': 2.3583470104734, 'x2': 0.2366687846198605, 'x3': -3.07420971649692, 'x4': -3.981284529979297, 'x5': -4.361646744192325, 'x6': 1.0831217520320413, 'x7': 3.7931001473121073, 'x8': 1.7264478605951288, 'x9': -2.8924572939357907}",5.001273341000342,148.221
"{'x0': 3.695449682929447, 'x1': -2.770912617719669, 'x2': -5.021991010935863, 'x3': -4.273779446418399, 'x4': -0.5383306187871151, 'x5': 5.013288028534656, 'x6': 0.9646605235710846, 'x7': 2.919337527555027, 'x8': -3.4657250029747937, 'x9': 2.316570392814562}",10.004114191000554,205.788
"{'x0': -4.2259153336449575, 'x1': -5.111866092850966, 'x2': -0.4452610879440373, 'x3': -2.1053278994269693, 'x4': -2.8622507576683565, 'x5': 0.0664208768120966, 'x6': 2.2590957019462783, 'x7': 2.231250009523788, 'x8': -3.649084375962576, 'x9': -2.6069331066353003}",15.007329798001592,176.921
"{'x0': 0.7558021740201699, 'x1': -2.931230180755849, 'x2': 0.94521777146078, 'x3': 4.111591182596944, 'x4': -1.4275663145701265, 'x5': 4.334284546807139, 'x6': 1.2431982320732144, 'x7': 2.5945275120417755, 'x8': 1.2682588289107466, 'x9': -2.304845696464142}",20.016526142000657,162.901
"{'x0': -1.845195357998597, 'x1': -3.614109954469839, 'x2': 2.8398488646549938, 'x3': 1.4313482355330098, 'x4': -3.616990819263373, 'x5': 3.92679898182321, 'x6': 2.893090515490953, 'x7': 0.3595278290457777, 'x8': -2.0928893103527946, 'x9': -3.298094029324666}",25.019570800999645,176.092
"{'x0': -4.0, 'x1': -1.0, 'x2': 3.0, 'x3': -2.0, 'x4': 4.0, 'x5': -3.0, 'x6': 0.0, 'x7': 2.0, 'x8': -4.0, 'x9': 1.0}",38.61883402600142,76.0
"{'x0': -2.7, 'x1': 2.7, 'x2': -0.7, 'x3': -4.7, 'x4': 1.7, 'x5': -1.7, 'x6': 3.7, 'x7': -3.7, 'x8': 0.7, 'x9': -2.7}",43.62932227000056,209.002
"{'x0': 1.5, 'x1': -4.5, 'x2': -1.5, 'x3': 3.5, 'x4': -2.5, 'x5': 0.5, 'x6': -1.0, 'x7': 4.0, 'x8': -3.0, 'x9': 2.5}",48.63231187000201,215.75
"{'x0': -3.2, 'x1': 1.8, 'x2': 4.2, 'x3': -1.2, 'x4': -3.8, 'x5': 2.8, 'x6': -0.2, 'x7': 0.8, 'x8': 3.2, 'x9': -2.2}",53.63606364500083,139.698
"{'x0': -3.1, 'x1': -1.7, 'x2': 2.8, 'x3': -0.5, 'x4': -4.2, 'x5': 0.2, 'x6': 3.5, 'x7': -2.1, 'x8': 1.1, 'x9': -4.9}",72.2050451469986,161.609
