configs,runtime_traj,F1
"{'x0': 0.5650555655058467, 'x1': 2.146902457182616, 'x2': 0.0034470582509387, 'x3': 4.486881368766496, 'x4': 2.1711821503752, 'x5': -0.4521821524042568, 'x6': -1.848399377891718, 'x7': 1.3368566587790864, 'x8': -0.3662668915093237, 'x9': 1.9163943861878088}",5.909265613998286,144.315
"{'x0': 0.1020913169102861, 'x1': 1.7260800234423117, 'x2': -4.286535681246009, 'x3': 2.6663520228495283, 'x4': 0.7425001676763427, 'x5': -3.7568812415658273, 'x6': -3.781500432697744, 'x7': 4.521479803676962, 'x8': 3.605922793577471, 'x9': 2.683427707119537}",10.916729744989423,218.773
"{'x0': -0.436266924175146, 'x1': 4.3775046497995005, 'x2': -2.2009031155422965, 'x3': -1.9682374913941167, 'x4': -0.5417794684883166, 'x5': 1.5353790012558877, 'x6': 1.850500119966978, 'x7': -4.178839490726467, 'x8': 1.042622684670806, 'x9': 2.257964520509128}",15.927721376996487,161.388
"{'x0': 3.239101275098398, 'x1': -0.0122511919484997, 'x2': -0.6885781332778347, 'x3': 3.8590197847854872, 'x4': 2.4408030508727947, 'x5': -3.4033191279788606, 'x6': 1.7808722671316408, 'x7': -0.6889250888502252, 'x8': 3.0328378633202027, 'x9': 2.793236489534534}",20.93433041498065,157.7
"{'x0': -2.5667291496435247, 'x1': 1.819757239392369, 'x2': -3.5234767933745093, 'x3': 0.9523170149915048, 'x4': -0.1813468616665474, 'x5': 1.5975668263917342, 'x6': -3.284031597968985, 'x7': 0.3653602247894376, 'x8': 2.9293581503563937, 'x9': -3.268776383334073}",25.93786057899706,166.114
"{'x0': 2.5, 'x1': -4.0, 'x2': 1.5, 'x3': 3.5, 'x4': -2.0, 'x5': -1.0, 'x6': 4.0, 'x7': -2.0, 'x8': 3.0, 'x9': -0.5}",39.12294788399595,151.0
"{'x0': 3.8, 'x1': 0.7, 'x2': -3.2, 'x3': 1.1, 'x4': 4.1, 'x5': -2.5, 'x6': -1.5, 'x7': 0.1, 'x8': -1.9, 'x9': -4.9}",44.134677961992566,155.779
"{'x0': -0.1, 'x1': 4.9, 'x2': -4.1, 'x3': 2.2, 'x4': -0.8, 'x5': 3.7, 'x6': 1.2, 'x7': -3.5, 'x8': -2.8, 'x9': 0.9}",49.14496582999709,150.709
"{'x0': -4.5, 'x1': 3.0, 'x2': -1.0, 'x3': -2.0, 'x4': 0.5, 'x5': 2.0, 'x6': -3.0, 'x7': -4.0, 'x8': 0.0, 'x9': 1.0}",54.15063585000462,104.5
"{'x0': 2.0, 'x1': 0.1, 'x2': -1.0, 'x3': -2.0, 'x4': 3.0, 'x5': -4.0, 'x6': 2.0, 'x7': -3.0, 'x8': 1.0, 'x9': -0.5}",75.90779893298168,70.17
