configs,runtime_traj,F1
"{'x0': -3.2247595195063616, 'x1': 4.418978466008185, 'x2': 4.58476146204547, 'x3': -0.1561692489343418, 'x4': -1.837706883977141, 'x5': -3.5386708675652594, 'x6': 2.0363539596001408, 'x7': -3.891706443812968, 'x8': -0.1517986856973827, 'x9': 1.359234361353593}",5.075151724000079,185.749
"{'x0': 3.258641626674048, 'x1': 1.874186182752986, 'x2': -0.014733618654013, 'x3': 0.8888010547210579, 'x4': 2.2502833393352617, 'x5': -2.4729795948810365, 'x6': 0.4731629557980978, 'x7': -0.9491677973509614, 'x8': -3.3076774536403297, 'x9': 4.809035835666358}",5.075160714000049,147.345
"{'x0': -2.078532023217277, 'x1': -2.172223325491156, 'x2': -3.93018042781594, 'x3': -3.25911513312073, 'x4': -0.0584727785686265, 'x5': 0.6734349232492063, 'x6': -2.848407889789911, 'x7': 2.739109590172287, 'x8': 0.7916346244679469, 'x9': -3.401489298417093}",5.075275323000028,137.135
"{'x0': -1.357093185291808, 'x1': -0.3207824981379152, 'x2': 1.5796857058006148, 'x3': 3.0012389759244327, 'x4': 1.669752760840809, 'x5': 1.1574240717802002, 'x6': 5.0263244308474855, 'x7': -3.8964756651078343, 'x8': -3.5986966170690664, 'x9': 3.6073577853813994}",5.075234683000076,190.756
"{'x0': 0.0975449752813997, 'x1': -2.89515595325317, 'x2': 5.051046855286686, 'x3': -1.891353792789908, 'x4': -2.470572324558567, 'x5': 3.1659549283407022, 'x6': -1.4983641222717914, 'x7': -0.3292928668514889, 'x8': -2.3124658238416886, 'x9': 3.0535719714514284}",5.07531110299999,151.252
"{'x0': 3.216777350013344, 'x1': 4.588445920283692, 'x2': 3.3063387184791937, 'x3': 0.1550245976467161, 'x4': -2.8569789102781407, 'x5': 2.525505618833712, 'x6': -0.7010532327923302, 'x7': 3.976230391987, 'x8': 4.517819440504479, 'x9': 0.0308454742628736}",5.075289322999993,194.789
"{'x0': 2.0689104920819945, 'x1': 2.1149901401489157, 'x2': -0.1943372215861938, 'x3': 4.713612616960391, 'x4': -0.7575293331858166, 'x5': -1.8137680544567665, 'x6': 2.682163165716473, 'x7': 4.430116499569201, 'x8': 2.162864566143411, 'x9': 0.1784910205078453}",5.075184224000054,147.928
"{'x0': 3.936989160426431, 'x1': 0.5492105300708578, 'x2': 0.754099150611105, 'x3': -1.0861230596910945, 'x4': 4.367838725032581, 'x5': -5.063225145018726, 'x6': 2.33982460121287, 'x7': -1.4770828401638083, 'x8': -2.939563654374024, 'x9': -1.412839311013422}",5.075199104000035,184.048
"{'x0': 3.8737949390831714, 'x1': -1.3995428724516286, 'x2': 0.0328388509768231, 'x3': 2.739079780355361, 'x4': 4.244229844276874, 'x5': 3.342008388585808, 'x6': -0.9037164649217296, 'x7': 1.3398288706139132, 'x8': -1.6188252172259363, 'x9': -1.2114642857926547}",5.07524709300003,159.473
"{'x0': 4.7355860169828565, 'x1': 1.5054257002563285, 'x2': 4.688339665032378, 'x3': 3.107349793597087, 'x4': -2.7710877672765024, 'x5': 3.883028766162256, 'x6': 0.9471627549347934, 'x7': 2.9304037605649667, 'x8': 0.3291590791055467, 'x9': 4.795295469513561}",5.075192044000005,193.25
"{'x0': 0.7675241954005578, 'x1': -0.2371234993807514, 'x2': -0.8075431252458296, 'x3': 1.0135549773090862, 'x4': -4.028697239429838, 'x5': -1.3454588149385145, 'x6': -2.9101424470170105, 'x7': 3.145842101446882, 'x8': 3.0537787892332373, 'x9': 0.558484212019235}",5.0752146140000605,114.129
"{'x0': 4.046292412865866, 'x1': 4.394392579630694, 'x2': 4.890965922560997, 'x3': 4.277439697909711, 'x4': -4.710284894847884, 'x5': 2.384102296719602, 'x6': 4.058868497979138, 'x7': 3.459384810734355, 'x8': 0.3732858649647639, 'x9': -1.8296976815866264}",5.075318053000046,242.45
"{'x0': -1.0521190872558126, 'x1': -2.2790224269248087, 'x2': 4.467179961137934, 'x3': -0.3712757026227464, 'x4': 3.6074389094588666, 'x5': -2.941262129955289, 'x6': -5.118734464312765, 'x7': -4.168742271791664, 'x8': -3.3268082285090226, 'x9': 0.1521578289251737}",5.0753250730000445,196.889
"{'x0': 3.891101172161544, 'x1': 2.916269242471647, 'x2': 0.3053688267214758, 'x3': -2.315900232588969, 'x4': -4.849826313057189, 'x5': 3.785816333397912, 'x6': -2.299516220969414, 'x7': -3.633045955744318, 'x8': 0.0554151330656624, 'x9': -1.6886306271887643}",5.075282113000071,175.359
"{'x0': -3.464238802988697, 'x1': -2.8744706825145045, 'x2': 3.4459407209321915, 'x3': 2.2563638108638795, 'x4': -4.592760951765404, 'x5': 1.2623087157352837, 'x6': -2.1886029028894383, 'x7': 3.2028871329936246, 'x8': 0.4697365344717026, 'x9': -4.9329148797941205}",5.075206974000025,215.185
"{'x0': -4.95503089671406, 'x1': 4.454765881129068, 'x2': -1.120402634446565, 'x3': 4.205112461259668, 'x4': 3.271325383427709, 'x5': -4.194607388038545, 'x6': -1.4516192325477029, 'x7': -4.925592295194471, 'x8': -0.511726364286262, 'x9': -4.809029092692074}",5.075168383999994,236.217
"{'x0': -2.351575360688088, 'x1': -5.093554411343273, 'x2': -0.6784418265970817, 'x3': 0.8926638500407842, 'x4': 5.037918773930355, 'x5': -0.6602667657459484, 'x6': -1.4087436518058905, 'x7': 3.820823930768378, 'x8': -0.1530494350758173, 'x9': 2.497147179231069}",5.075176524000085,179.561
"{'x0': 2.6028129215799902, 'x1': -1.805484005551973, 'x2': 2.409998257783439, 'x3': -3.2195611228769554, 'x4': -3.7673803933737817, 'x5': -5.017887666504829, 'x6': -1.3000596025769813, 'x7': -5.009398536470128, 'x8': 3.568250958003815, 'x9': -2.629972127390007}",5.075261753000063,221.151
"{'x0': 1.8434791169325375, 'x1': 1.813910961027068, 'x2': 3.9508726393005, 'x3': -3.547487532466122, 'x4': 4.574147861380349, 'x5': -2.1120641750663047, 'x6': 2.422789513835684, 'x7': -0.2504809563866912, 'x8': -3.431760480865371, 'x9': 3.3531223251686475}",5.075227933000065,205.119
"{'x0': 0.4065055162153577, 'x1': -1.4932744093347332, 'x2': 3.50205629602499, 'x3': -4.794318069393743, 'x4': -4.426391190465227, 'x5': 1.3125756779404902, 'x6': 1.3818215614528049, 'x7': 2.762106622063798, 'x8': -0.6001804578961005, 'x9': 3.6707158280347034}",5.075240653000037,240.149
"{'x0': -1.2117751689081708, 'x1': 4.7593538832718485, 'x2': 2.87029113805111, 'x3': -0.7580185380679145, 'x4': -1.5759549283312912, 'x5': 0.401230001568746, 'x6': -0.704369607728208, 'x7': 2.8941621278635425, 'x8': 1.7134302464417477, 'x9': 1.9724172928707784}",5.075137454000014,145.352
"{'x0': -1.5990794512924844, 'x1': 0.7759769539943386, 'x2': -0.8303891489692683, 'x3': -4.417544310874749, 'x4': -4.121107721909979, 'x5': -2.802727295507034, 'x6': 3.69692339698804, 'x7': -2.2439937157332976, 'x8': -3.837761855687596, 'x9': -4.3595693334074985}",5.075221603000045,204.503
"{'x0': -1.7833342585911818, 'x1': 2.631727503256241, 'x2': -0.9297956235188184, 'x3': 2.62656288476021, 'x4': -2.3533797373056498, 'x5': 3.749685702139561, 'x6': 4.853753526373384, 'x7': 2.621573248338475, 'x8': 4.581615045142176, 'x9': -3.2431637792200254}",5.075303843000029,217.561
"{'x0': 4.990001737202428, 'x1': -4.706101430454481, 'x2': -1.0730080239402584, 'x3': 1.0091149617266808, 'x4': -3.5790185993591885, 'x5': -3.33370544915916, 'x6': -3.5975544248617237, 'x7': -4.984452790306066, 'x8': -5.104222804632594, 'x9': -4.697404222046465}",5.075268803000085,240.193
"{'x0': -0.761454148993697, 'x1': 4.755424253971818, 'x2': -3.249291956160845, 'x3': 2.509191761740144, 'x4': -1.6418480917053806, 'x5': 1.5471840652835898, 'x6': 1.4450335881235947, 'x7': -2.835429169445512, 'x8': 2.562593441950626, 'x9': -0.4702381805389564}",5.075254313000073,210.138
"{'x0': -3.3213984040143893, 'x1': -2.508654292164696, 'x2': 2.3104519749283883, 'x3': -1.1164235278058268, 'x4': -1.1613853991308032, 'x5': 2.403177503641066, 'x6': 4.849165426577618, 'x7': -2.638463958824228, 'x8': -3.0042239815072165, 'x9': -0.7740481077719297}",10.138902878000067,173.755
"{'x0': 2.231652533521971, 'x1': 3.6011240933021997, 'x2': -1.5285909956554566, 'x3': -1.399862886383128, 'x4': -1.6763599614470253, 'x5': -0.9607328120984144, 'x6': -4.502450105046208, 'x7': -3.800628383414693, 'x8': 0.1896963102521009, 'x9': 3.927262045882229}",10.139012897000043,189.941
