configs,runtime_traj,F1
"{'x0': 5.091172464014014, 'x1': 4.429387359627866, 'x2': -3.808005653203387, 'x3': 5.110174876919243, 'x4': -2.7024488760117653, 'x5': -1.0590133524886929, 'x6': -1.1477940105010442, 'x7': 1.7381994168676351, 'x8': 4.459920085053766, 'x9': 3.5462237868648154}",5.158339634999948,228.39
"{'x0': -1.9120791866135027, 'x1': 0.2513731540262025, 'x2': -0.5790423676973395, 'x3': -2.7691293314065866, 'x4': 0.3523984276174543, 'x5': 4.238971131691346, 'x6': -0.4382227662132401, 'x7': -0.7096466720285859, 'x8': 4.496668563697928, 'x9': 2.850705780086103}",5.158503285000052,179.18
"{'x0': 2.21153808351605, 'x1': 3.100236840318616, 'x2': -4.169719719518843, 'x3': 0.1858821011649434, 'x4': 3.7378073802647895, 'x5': 3.3704643314395293, 'x6': 3.37513840019644, 'x7': -2.323968264020507, 'x8': -4.51334961867199, 'x9': 1.7462071303060016}",5.158356774999902,207.633
"{'x0': 0.9529909073721026, 'x1': 1.7577379576026555, 'x2': -0.9032921193568972, 'x3': -3.0970788046358404, 'x4': -2.154192480810881, 'x5': -3.664689812736441, 'x6': 2.901140200395635, 'x7': -0.895602263009013, 'x8': -4.770085773457009, 'x9': 1.2700670615280982}",5.15839423500006,122.989
"{'x0': 1.6449098776371498, 'x1': -2.063408181728822, 'x2': -0.5515826576782743, 'x3': -2.845444633237762, 'x4': -4.368750881355781, 'x5': -0.3149974892734146, 'x6': -4.135196053038473, 'x7': 4.130510504743602, 'x8': -3.89641760787746, 'x9': 0.2539456191533622}",5.158450184999992,174.335
"{'x0': -4.263700433438451, 'x1': 4.268660065584419, 'x2': 4.202991429561359, 'x3': -2.058955650972507, 'x4': 0.8641445963563941, 'x5': 0.6749391612333371, 'x6': 1.16672837423161, 'x7': 4.674925124306147, 'x8': -2.447575248736698, 'x9': -2.754402076543089}",5.158416024999951,192.802
"{'x0': 0.3425125437969951, 'x1': 4.60736653857423, 'x2': -0.0710697621018017, 'x3': 0.4157492103541145, 'x4': 2.718567469474518, 'x5': -4.655659739395551, 'x6': -3.686746939476844, 'x7': 2.9942127185512364, 'x8': -4.814834092212293, 'x9': 3.923204872390893}",5.158430275000001,213.238
"{'x0': 0.4176710615138779, 'x1': -0.532682942254918, 'x2': 4.015471329299262, 'x3': -1.253536346612791, 'x4': 0.3934688694270472, 'x5': 1.5595405523306711, 'x6': -1.420687153033001, 'x7': 0.7271276665353472, 'x8': 1.4114455967710864, 'x9': -3.826535577140344}",5.15834867500007,179.906
"{'x0': 1.9476949786126865, 'x1': 1.512953853679079, 'x2': -1.4956637307053882, 'x3': 2.695506459802848, 'x4': -1.4691151507655174, 'x5': 2.588552736518187, 'x6': 3.904940335452273, 'x7': -5.00050745670765, 'x8': -0.0193631270068577, 'x9': -4.364369803257297}",5.158379474999947,194.294
"{'x0': 2.9383830985633272, 'x1': -4.463950542456655, 'x2': -1.481621888855774, 'x3': 4.524410355235047, 'x4': -1.2308143434885426, 'x5': 2.6923015520766844, 'x6': 2.781132779974325, 'x7': -2.034068527002692, 'x8': 2.792848863002389, 'x9': -3.553998617046745}",5.1584232949999205,209.992
"{'x0': 0.8052114507338022, 'x1': -5.027758111118921, 'x2': 2.1405954252067376, 'x3': -0.300638129536809, 'x4': 2.709427919262704, 'x5': -0.3338989245741857, 'x6': -2.365429235119841, 'x7': 3.396532111427072, 'x8': 0.5255673978670385, 'x9': -4.402365480625877}",5.158364755000093,198.569
"{'x0': -0.2818556108752634, 'x1': 2.485911860091817, 'x2': -3.1543697588487123, 'x3': -0.3654502055358763, 'x4': -2.7610848422650878, 'x5': 0.08445478468904, 'x6': -2.984260488660848, 'x7': -4.6151245337276645, 'x8': 0.1931456088463559, 'x9': -3.355869673165884}",5.158401104999939,169.307
"{'x0': -1.0617519358664724, 'x1': -4.020579297767145, 'x2': 0.1004572483986718, 'x3': -4.074135218808904, 'x4': -2.1635293930945547, 'x5': -2.746793323301547, 'x6': 4.788919589388343, 'x7': -2.2700150967275, 'x8': -2.7277053620007576, 'x9': -4.182462037219294}",5.158443334999902,154.11
"{'x0': 0.7174826026608079, 'x1': -0.8404322386909326, 'x2': -1.3532852158624813, 'x3': 3.2050684967523706, 'x4': -2.152857571947154, 'x5': 2.226089996879973, 'x6': 1.1565884695328252, 'x7': -0.7484433850447205, 'x8': 2.57917921044324, 'x9': -0.7391986422546211}",5.158387055000048,128.715
"{'x0': -0.7333641711078478, 'x1': -1.4140985061708309, 'x2': -3.549813986103558, 'x3': 4.476828921856069, 'x4': 4.264037102317361, 'x5': 2.8872546558921317, 'x6': 1.1912083979026011, 'x7': -4.751365771505968, 'x8': 1.5802754221005229, 'x9': -3.791159204713877}",5.158476925000059,227.381
"{'x0': -2.1057589746645875, 'x1': -1.4252569146651877, 'x2': -2.3076336514821447, 'x3': -4.36255750638384, 'x4': -3.562115498060161, 'x5': -3.465026306501048, 'x6': 4.492407804974284, 'x7': -1.319588854216005, 'x8': -4.607814800504396, 'x9': 2.4673848907354543}",5.158469944999979,266.659
"{'x0': -2.061514320848869, 'x1': -3.027372770694297, 'x2': 4.933188005751107, 'x3': 4.024537212889968, 'x4': 2.6557316603527976, 'x5': 1.5474745231645306, 'x6': -4.713640938846963, 'x7': 3.2140939793647343, 'x8': 2.68874889899074, 'x9': -0.4579075380430302}",5.158325534999904,193.831
"{'x0': 0.3259028616803094, 'x1': -4.000398667927153, 'x2': -3.6246246810805385, 'x3': 0.0899966851004192, 'x4': -2.911741123555419, 'x5': 4.264383519686347, 'x6': -0.3875582683624614, 'x7': -3.7655831095630776, 'x8': 2.70583407364534, 'x9': -2.941606931326485}",5.158483454999896,171.893
"{'x0': -4.359593642412261, 'x1': -4.142906894473606, 'x2': -3.459015574147303, 'x3': -1.4698119155643394, 'x4': -4.144048019046436, 'x5': -3.652986816907176, 'x6': 4.413572436482306, 'x7': 0.784222375844597, 'x8': 3.477966989502561, 'x9': 1.26251123529791}",5.158372464999957,250.876
"{'x0': -1.7969408366423738, 'x1': 2.334839228444362, 'x2': 0.2328230874769614, 'x3': 2.4249494100811653, 'x4': -3.4262413839743, 'x5': 1.915476914516569, 'x6': -0.7494569981108032, 'x7': 2.340427750913875, 'x8': 2.6248744162762696, 'x9': -1.048460468278801}",5.158437094999954,157.332
"{'x0': 4.3540491147348925, 'x1': -3.0360543124689983, 'x2': -5.0380522429225, 'x3': 4.365831252289406, 'x4': -2.104201775665996, 'x5': -3.410415679602777, 'x6': -4.873199344669501, 'x7': -0.4915035304121842, 'x8': 3.1573887572275874, 'x9': -1.3478210147952576}",5.158408804999908,221.516
"{'x0': 1.1182795687303564, 'x1': -4.763159319003627, 'x2': -1.4891291712700263, 'x3': -4.315955571359318, 'x4': 1.978216438725445, 'x5': -4.989822309759155, 'x6': -0.4142562905906528, 'x7': 4.72388876549648, 'x8': -1.6979433429703543, 'x9': -0.2858657702486997}",5.158495845000061,200.638
"{'x0': -4.0407935842847005, 'x1': 0.031497278671023, 'x2': 3.949464173087363, 'x3': 0.3520239520825692, 'x4': -2.237677922049905, 'x5': -1.4890527662647877, 'x6': 4.057909765535887, 'x7': -2.647151195927853, 'x8': -4.875426871842018, 'x9': 4.769042469778463}",5.158457474999977,183.861
"{'x0': -0.7171287119791554, 'x1': -1.5740056000821243, 'x2': 0.7891725376677581, 'x3': -3.824372139720649, 'x4': 4.608443496636224, 'x5': -1.9086251056264287, 'x6': 4.636990706900131, 'x7': -2.8836533024844098, 'x8': -2.573309951220664, 'x9': 3.725330376834472}",5.158510385,206.432
"{'x0': -2.71085228783503, 'x1': 3.226624571064545, 'x2': 0.4495076892097618, 'x3': -3.161494843450224, 'x4': 0.9097209634423198, 'x5': -4.627079234778651, 'x6': -4.957460676559931, 'x7': -4.6109591919655735, 'x8': -1.029987417709216, 'x9': 0.7874965668031324}",5.158463985000026,187.315
"{'x0': 3.7633787518889728, 'x1': 2.930301313520837, 'x2': -2.5118437977765247, 'x3': -4.2777097622134335, 'x4': -3.504578565304123, 'x5': -2.974792894385414, 'x6': -0.8460001657046359, 'x7': -1.5596542140521037, 'x8': 2.046812483736674, 'x9': 2.022497234346142}",10.241076533000069,166.009
"{'x0': -4.354827281317609, 'x1': -4.746550235360552, 'x2': 2.9634544142194548, 'x3': 4.101412343176226, 'x4': -5.072247671304246, 'x5': -2.414558130585573, 'x6': -0.3340564383793696, 'x7': -1.435482148582249, 'x8': -2.660171477446644, 'x9': -4.882752197152743}",10.2411704430001,232.085
"{'x0': 0.3242814115435752, 'x1': -3.786806059118701, 'x2': 0.6293397087285815, 'x3': -3.401412584396204, 'x4': -0.8081944520720761, 'x5': 1.8912041624885465, 'x6': -2.3152606638564293, 'x7': -5.017602818043042, 'x8': -2.868569046200653, 'x9': -4.792768258667124}",10.241025262999983,182.886
"{'x0': 4.45309134703384, 'x1': 2.8886222582031094, 'x2': 0.1801624504248238, 'x3': -4.951421336947122, 'x4': -2.0602856556016595, 'x5': 0.4169681188747134, 'x6': 3.6852078096131207, 'x7': -3.224429506493491, 'x8': -4.264485417698477, 'x9': -4.666651648024627}",10.241164193000031,216.864
"{'x0': -0.575406206445015, 'x1': -4.922176012507784, 'x2': -4.433591807120524, 'x3': 3.192540309348213, 'x4': 1.3956158499305218, 'x5': 2.7939883711184823, 'x6': 2.106185079927526, 'x7': -2.6807202161547004, 'x8': -4.665160279723141, 'x9': -2.240338988353067}",10.24103249299992,214.28
"{'x0': 3.73851790427869, 'x1': -4.371217293669644, 'x2': 1.6417985969157725, 'x3': -3.201243350145612, 'x4': 0.2282144521240239, 'x5': 4.135723674405827, 'x6': -0.2544360179870644, 'x7': 3.553508193398428, 'x8': 3.4691011285606264, 'x9': -3.693772284217411}",10.241144802999996,227.495
"{'x0': 0.4127187278469479, 'x1': -0.3370464128785491, 'x2': -2.88068709481115, 'x3': -0.6059180303220577, 'x4': -0.2019514084179556, 'x5': -1.7071686761027784, 'x6': -5.028734191269345, 'x7': 0.0559506414820525, 'x8': 1.7730281716668603, 'x9': -4.552096525890448}",10.241040382999929,163.829
"{'x0': -3.5063846117641404, 'x1': 1.0762571131642256, 'x2': -1.8511483686853605, 'x3': 3.9988953030286414, 'x4': 2.9734248716080467, 'x5': -2.8928079870093053, 'x6': -3.0698598768763565, 'x7': 1.847706264038858, 'x8': -3.5203396107378127, 'x9': 0.1060965076099798}",10.241110252999988,130.074
"{'x0': 4.997782344934678, 'x1': -3.638354933010168, 'x2': -4.625407904102188, 'x3': 4.086415388892823, 'x4': 2.2049749009956683, 'x5': -1.9422429409513509, 'x6': -1.0962916661893942, 'x7': -4.292774593756897, 'x8': -1.5142777604339153, 'x9': -5.109623957320537}",10.241157832999988,212.449
"{'x0': 1.2762161216587824, 'x1': -3.0692207468866743, 'x2': 1.2811427195827818, 'x3': -1.82833327493718, 'x4': -4.635461299796729, 'x5': 2.287255073815687, 'x6': 2.6547404945557256, 'x7': -0.9594439087207602, 'x8': 2.092390673413941, 'x9': 0.8740783516112307}",10.241097082999886,135.128
"{'x0': 4.808340586221969, 'x1': -2.0082848922959604, 'x2': -1.9071449083656853, 'x3': -2.8010330480725623, 'x4': 1.7647059131849252, 'x5': 2.856163772322744, 'x6': 0.1296557957570057, 'x7': 1.1803129411887676, 'x8': -4.652429581415422, 'x9': -0.5519410476495112}",10.241116942999952,145.215
"{'x0': 4.792449580612627, 'x1': -1.4381024245217566, 'x2': 0.5532892258880135, 'x3': -0.907730791111728, 'x4': 4.772316790512421, 'x5': -3.040687637793502, 'x6': 5.04654407852713, 'x7': 1.630207635988306, 'x8': 3.164950953325492, 'x9': -0.4285350528179048}",10.24105448299997,194.312
"{'x0': 3.966034395310865, 'x1': 0.3474875763240952, 'x2': 0.7913415333280316, 'x3': 4.275182497436499, 'x4': -1.9031396204724824, 'x5': 2.315657643306446, 'x6': 3.1256149820463337, 'x7': -0.2041556021925252, 'x8': -0.1272384499636238, 'x9': 3.4960390046618857}",10.241090712999949,149.717
"{'x0': 0.5686019578229828, 'x1': -2.356415558643212, 'x2': -0.1357546078562759, 'x3': -2.29533803957116, 'x4': -2.812001551653056, 'x5': 1.5027600669992376, 'x6': 4.312407871778514, 'x7': -3.067138514943739, 'x8': 3.889695778542804, 'x9': -0.3501291494781382}",10.24117688299998,175.193
"{'x0': 2.303796447647418, 'x1': -2.0185976946005724, 'x2': -0.1125653055110156, 'x3': -3.0343748784307527, 'x4': -4.212569515698211, 'x5': -3.423338059920035, 'x6': 0.0306844901930469, 'x7': 2.9448295220292247, 'x8': 4.132883113170762, 'x9': -2.872073291058783}",10.241131332999885,131.745
"{'x0': 2.43846113616645, 'x1': -2.4800984167233997, 'x2': 0.6574975364217561, 'x3': -3.7639205577849215, 'x4': -1.3098221628151747, 'x5': -4.271560117993719, 'x6': 0.0586364949853521, 'x7': 1.990726171987454, 'x8': -0.4405462319474171, 'x9': -1.420546942976474}",10.24113816299996,180.436
