configs,runtime_traj,F1
"{'x0': 2.0364689856056053, 'x1': 1.7717549438511466, 'x2': -1.5232022612813547, 'x3': 2.044069950767697, 'x4': -1.080979550404706, 'x5': -0.423605340995477, 'x6': -0.4591176042004177, 'x7': 0.695279766747054}",5.083917261999886,5846.886
"{'x0': 1.7839680340215065, 'x1': 1.418489514745926, 'x2': -0.7648316746454011, 'x3': 0.1005492616104812, 'x4': -0.231616947078936, 'x5': -1.1076517325626347, 'x6': 0.1409593710469816, 'x7': 1.695588452676538}",5.084084141999938,1656.639
"{'x0': -0.1752891064852961, 'x1': -0.2838586688114342, 'x2': 1.798667425479171, 'x3': 1.140282312034441, 'x4': 0.8846152334064201, 'x5': 1.2400947361274466, 'x6': -1.6678878878075376, 'x7': 0.0743528404659774}",5.084047951999992,2553.756
"{'x0': 1.4951229521059155, 'x1': 1.348185732575812, 'x2': 1.350055360078576, 'x3': -0.9295873056082028, 'x4': -1.805339847468796, 'x5': 0.6984828521224009, 'x6': 0.3811963629488408, 'x7': 0.7030951830410621}",5.08405409199986,2271.223
"{'x0': -0.3613168477427588, 'x1': -1.2388315218543362, 'x2': -0.8616769923243524, 'x3': -1.4658759250945763, 'x4': 1.1604560801582535, 'x5': -0.3582409052036051, 'x6': -1.9080343093828036, 'x7': 0.5080268246112389}",5.084014891999914,3060.538
"{'x0': 0.6579639510548598, 'x1': -0.825363272691529, 'x2': -0.2206330630713096, 'x3': -1.1381778532951048, 'x4': -1.7475003525423125, 'x5': -0.1259989957093656, 'x6': -1.654078421215389, 'x7': 1.6522042018974408}",5.083987231999799,2739.266
"{'x0': -1.558567043150984, 'x1': 0.1015782476613447, 'x2': -1.7054801733753808, 'x3': 1.707464026233768, 'x4': 1.6811965718245436, 'x5': -0.8235822603890028, 'x6': 0.3456578385425577, 'x7': 0.2699756644933351}",5.08395649199997,2497.742
"{'x0': 0.4666913496926441, 'x1': 1.869970049722459, 'x2': -0.9790300994946792, 'x3': -1.1017608306172355, 'x4': 0.1370050175187982, 'x5': 1.842946615429692, 'x6': -0.0284279048407207, 'x7': 0.1662996841416455}",5.084028781999905,4337.063
"{'x0': 1.0874269877898075, 'x1': -1.8622638957582205, 'x2': -1.4746987757907375, 'x3': 1.1976850874204945, 'x4': -1.9259336368849167, 'x5': 1.5692819489563572, 'x6': 0.1670684246055511, 'x7': -0.2130731769019671}",5.083908841999801,5609.442
"{'x0': 1.6061885317197049, 'x1': -0.5014145386451163, 'x2': 0.1573875477708188, 'x3': 0.6238162209322686, 'x4': -0.5682748612132005, 'x5': 0.2908510666141386, 'x6': 0.5645782387084344, 'x7': -1.5306142308561377}",5.0840719419998095,1449.63
"{'x0': 0.7790779914450745, 'x1': 0.6051815414716315, 'x2': -0.5982654922821553, 'x3': 1.078202583921139, 'x4': -0.5876460603062068, 'x5': 1.0354210946072748, 'x6': 1.5619761341809095, 'x7': -2.00020298268306}",5.083944642000006,2499.777
"{'x0': -0.0077452508027433, 'x1': -1.7457479213029188, 'x2': 1.175353239425331, 'x3': -1.785580216982662, 'x4': -0.5926487555423097, 'x5': 1.8097641420940187, 'x6': -0.4923257373954171, 'x7': 1.076920620830674}",5.084059561999993,4811.495
"{'x0': 1.1124531119897303, 'x1': -0.8136274108010766, 'x2': 1.1171395452009558, 'x3': -1.421599446818698, 'x4': 0.322084580293521, 'x5': -2.0111032444475683, 'x6': 0.8562381700826949, 'x7': -0.1202552518147235}",5.08389525199982,2998.075
"{'x0': 1.0837711677050814, 'x1': -0.1335595698296743, 'x2': -0.9461716940479364, 'x3': 1.3586128445708288, 'x4': 0.2102269591468153, 'x5': -1.760946192250351, 'x6': -0.1127422443501053, 'x7': 0.9943647440367268}",5.083972811999956,2022.721
"{'x0': -1.261747903539485, 'x1': -0.1461800822143504, 'x2': -1.1044339369060348, 'x3': 0.0337819138756159, 'x4': -1.1937041954643393, 'x5': -1.846049813491066, 'x6': 0.0772582435385427, 'x7': -1.3423478692663533}",5.084021901999904,3098.895
"{'x0': -0.4247007743465887, 'x1': -1.6082317191068578, 'x2': 0.0401828993594683, 'x3': -1.6296540875235614, 'x4': -0.8654117572378217, 'x5': -1.098717329320619, 'x6': 1.9155678357553367, 'x7': -0.908006038691}",5.083965041999818,4986.435
"{'x0': -1.091082144800303, 'x1': -1.6729848148877178, 'x2': 0.2869930410643233, 'x3': -0.3361728954763729, 'x4': -0.5413140863449926, 'x5': 1.282027398700948, 'x6': -0.8611430287788617, 'x7': 0.8904359987519892}",5.0840352419998,2258.351
"{'x0': 0.4626353878131297, 'x1': -0.2993773540178881, 'x2': 1.031671684177296, 'x3': -0.2956794569018484, 'x4': -0.293345668443139, 'x5': -0.5656394024683322, 'x6': -1.419925594441423, 'x7': 1.7907315687424274}",5.084089641999981,678.476
"{'x0': 1.7056148409269447, 'x1': 1.1549018623568523, 'x2': 0.4764833591610404, 'x3': -1.9005463086023875, 'x4': 0.6321101688402093, 'x5': -1.5164636818855506, 'x6': -0.8423035898658351, 'x7': -0.5701027658660751}",5.084077741999863,3259.022
"{'x0': -0.9230534605928578, 'x1': -1.7450230025535358, 'x2': -1.4248461992240644, 'x3': -1.386010522600419, 'x4': 1.7969631219897133, 'x5': -0.527835541686402, 'x6': -1.8431259202017585, 'x7': 0.9869539562941818}",5.083979651999925,6317.454
"{'x0': -0.8246057283395476, 'x1': -1.210949108277719, 'x2': 1.9732752023004425, 'x3': 1.6098148851559873, 'x4': 1.0622926641411192, 'x5': 0.6189898092658122, 'x6': -1.885456375538785, 'x7': 1.285637591745894}",5.084041431999822,2212.367
"{'x0': 1.0754995595962962, 'x1': -0.1831630152172119, 'x2': 0.1303611446721237, 'x3': -1.6001594671708612, 'x4': -1.4498498724322153, 'x5': 0.0359986740401678, 'x6': -1.1646964494221674, 'x7': 1.705753407874539}",5.084001451999939,2645.831
"{'x0': -0.1550233073449844, 'x1': -1.506233243825231, 'x2': 1.082333629458136, 'x3': -1.176642772530594, 'x4': -1.7438374569649049, 'x5': -1.6571627577894423, 'x6': -1.383606229658921, 'x7': -0.5879247662257359}",5.084008321999818,6476.462
"{'x0': -1.6576192076185745, 'x1': -1.4611947267628702, 'x2': 1.7654289745929224, 'x3': 0.313688950337839, 'x4': 1.3911867958010244, 'x5': 0.5050044941191643, 'x6': -0.7187763346569496, 'x7': 0.9339356913777452}",5.083929191999914,3072.361
"{'x0': 0.0931292349907844, 'x1': 0.969979764032466, 'x2': -1.37049655358972, 'x3': 0.7661907658066274, 'x4': -0.2997827992443214, 'x5': 0.93617110036555, 'x6': 1.0499497665105078, 'x7': -0.4193841873115203}",5.084065111999962,1143.373
"{'x0': -0.609364452964759, 'x1': -0.8152138017220067, 'x2': 0.1720882365319984, 'x3': 0.9404391314829708, 'x4': -0.0162819480034897, 'x5': -2.007065357572225, 'x6': 0.3752121041302985, 'x7': 1.2984439650727109}",8.598206749999918,2217.638
"{'x0': 0.9277789080661916, 'x1': -0.78649125002257, 'x2': 0.1543160965313084, 'x3': 1.041797813166284, 'x4': 0.1953644475266442, 'x5': 1.6134227732942965, 'x6': 0.4670643191149839, 'x7': 1.655041491441546}",8.598223559999951,1391.846
"{'x0': 1.011179011308908, 'x1': -0.5608847212213768, 'x2': 1.371677089184233, 'x3': 1.0316150204904375, 'x4': -0.2458584917678354, 'x5': -0.0177046515114209, 'x6': 1.0546067794999603, 'x7': 1.6666935413783763}",8.598233989999926,753.989
"{'x0': 0.4448214570993229, 'x1': 1.3387892951775917, 'x2': 0.3074132770445477, 'x3': 1.620191358867619, 'x4': -0.1399828792527515, 'x5': 1.0465697443131718, 'x6': 0.6169265939068849, 'x7': 1.8263973063262404}",8.598243089999869,1688.095
"{'x0': 0.2951853786184761, 'x1': 0.1243912943005933, 'x2': 0.4631187009652904, 'x3': 0.7377432290214476, 'x4': -0.0173535845590961, 'x5': -0.1247793546714628, 'x6': 2.043057534151445, 'x7': 1.4728793852866215}",8.598253789999944,1226.394
"{'x0': 1.3153570538703256, 'x1': -1.0958022147092148, 'x2': 0.380185997402644, 'x3': 0.7396709063570075, 'x4': -0.1042758569330768, 'x5': -0.973410096882214, 'x6': 1.373119145221144, 'x7': 1.1130250140442923}",8.598263679999945,1128.651
"{'x0': 0.1048072969532798, 'x1': 0.5408550541253958, 'x2': 1.8655540677110836, 'x3': 0.6532633322826453, 'x4': -0.1758713736504686, 'x5': -0.2034637983827418, 'x6': 0.5726449346768727, 'x7': 1.7198144283751806}",8.59828084999981,1343.391
"{'x0': -1.015096652318548, 'x1': -0.4644606161866855, 'x2': 1.3700131487339808, 'x3': 1.6767894262333014, 'x4': -0.5234324700636062, 'x5': -0.9388203027837914, 'x6': 1.4505330053336305, 'x7': 1.760154285978754}",8.59827281999992,1677.362
"{'x0': 1.805917120957618, 'x1': -1.0324314506932455, 'x2': 1.804668454232194, 'x3': 0.6364522908965435, 'x4': 0.758295246226818, 'x5': -1.281869694189001, 'x6': 0.2835224092680746, 'x7': 1.937178404418668}",8.598290249000001,3483.111
"{'x0': 0.1940291400943339, 'x1': -0.3422281260864701, 'x2': 1.814698438857372, 'x3': 0.9278312110617412, 'x4': 1.9398431444583668, 'x5': -1.003972931167446, 'x6': 1.8465885467527683, 'x7': 1.2367736211739264}",8.598299458999918,3802.194
"{'x0': -1.6452024287616456, 'x1': 1.0784656280248353, 'x2': 1.865704125045883, 'x3': 0.9943593644202392, 'x4': 1.539317882112865, 'x5': -0.7899626836061393, 'x6': 2.0251243992588077, 'x7': 2.025404475419601}",8.598308648999819,2600.741
"{'x0': 1.9720675639295795, 'x1': -1.2242388514061195, 'x2': 0.5763590859891914, 'x3': 0.3481892279899568, 'x4': -0.1489761868053218, 'x5': -0.8892365253130101, 'x6': 1.1542514099187868, 'x7': 1.3898092852779895}",8.598317178999878,2815.007
"{'x0': 1.1422424951719496, 'x1': 1.3112874989305454, 'x2': 1.61442757995158, 'x3': 0.933873644917377, 'x4': 0.3042429413150946, 'x5': -0.6700359331669965, 'x6': 0.5139085510011161, 'x7': 1.308925107605721}",8.598325698999815,484.835
"{'x0': 1.2743896608242915, 'x1': -1.285722194491119, 'x2': 1.495850355376351, 'x3': 0.6265328226876363, 'x4': 0.1933531963617727, 'x5': -1.1743910343420263, 'x6': 1.518690563640522, 'x7': 1.1856679848245792}",8.598335068999859,1398.4
"{'x0': -0.6322620254362454, 'x1': -1.83901940062358, 'x2': 1.4393744179701229, 'x3': 1.788384011166253, 'x4': -0.2433583289538137, 'x5': -0.5688021435056907, 'x6': 0.7295396017791207, 'x7': 1.9513838812792548}",8.598343958999976,2344.078
"{'x0': -0.5233961188539311, 'x1': -0.5133805605539536, 'x2': 0.3326585620755136, 'x3': 0.6787045992772298, 'x4': 0.4414378526680487, 'x5': -0.5972693848296413, 'x6': 1.3055848838262567, 'x7': 1.0513658821641605}",8.598352988999977,298.331
"{'x0': -0.263477501645831, 'x1': -0.821946398156139, 'x2': 1.4215259337362047, 'x3': 2.044870093522163, 'x4': 0.0532770911838507, 'x5': -0.7791914421356319, 'x6': 1.194215542250599, 'x7': 1.6130370252862236}",10.8948069449998,1948.771
"{'x0': 0.4182593389826055, 'x1': 0.2534278815697544, 'x2': 1.0348677393234564, 'x3': 1.6386245500400485, 'x4': -0.2918035087234789, 'x5': 1.9625836410789412, 'x6': 0.6783143508811964, 'x7': 1.6888880386595733}",10.894827244999988,2527.774
"{'x0': -1.5400831250853777, 'x1': -0.5770494773941037, 'x2': 1.867294828931799, 'x3': 1.4588024684998362, 'x4': -0.255280254752372, 'x5': -1.0971080409244354, 'x6': 0.2399127097082427, 'x7': 1.7524253365040745}",10.894838704999984,2616.018
"{'x0': -1.939333658702641, 'x1': -1.0871864395572906, 'x2': 1.0098404466363493, 'x3': 0.8628751186225543, 'x4': 1.802568072267892, 'x5': -0.0540439975557442, 'x6': 1.9721070842669264, 'x7': 1.02080774814765}",10.894848974999832,4785.302
