configs,runtime_traj,F1
"{'x0': 0.1093806512840718, 'x1': -0.3011647338627767, 'x2': 0.2618407415201877, 'x3': -1.6522607895539387, 'x4': 0.8422975584393826, 'x5': -0.1354812115326389, 'x6': 0.48117726457457, 'x7': -0.8751453147483277}",5.081621102000099,892.122
"{'x0': 0.8781103962060532, 'x1': -0.9452820840863188, 'x2': 2.036540548225393, 'x3': 0.5857136558538323, 'x4': 1.9436739385688135, 'x5': 0.4789809096270403, 'x6': -1.6766036511697144, 'x7': 1.5208372459584196}",5.0815798120002,3581.439
"{'x0': 0.5271811183335986, 'x1': -1.4677305004205468, 'x2': -1.2354234104051065, 'x3': -0.7304658756876721, 'x4': 1.096607824909425, 'x5': -1.6675527368504612, 'x6': -0.4929618038603771, 'x7': -1.1530001329636472}",5.08160054200016,4108.692
"{'x0': 1.3882862226350796, 'x1': -1.3180287799193031, 'x2': 1.2206398592116834, 'x3': 0.559873513438748, 'x4': -0.0457793906620986, 'x5': 0.913251367322394, 'x6': -1.1328604089001424, 'x7': 1.5370565163553451}",5.081691492000118,1667.074
"{'x0': -0.6504412359595895, 'x1': -1.4811690818203016, 'x2': 0.1067060018409469, 'x3': -0.4408592980279031, 'x4': 1.1603046405743842, 'x5': 1.3917666242142417, 'x6': 0.3061231709520666, 'x7': -0.1763318614993896}",5.081703922000088,1197.889
"{'x0': 0.6230190112064027, 'x1': -1.740395087859779, 'x2': 1.9659403226703465, 'x3': 0.5911165922590049, 'x4': -1.085382353690617, 'x5': 1.7492555440773754, 'x6': -0.6535826367132131, 'x7': 0.8588276755211446}",5.081614252000236,3290.369
"{'x0': 0.6768783908726403, 'x1': -0.9159694225767308, 'x2': -0.5055439559981423, 'x3': 0.3184432308529885, 'x4': -0.1528205749880327, 'x5': 0.7105817143718092, 'x6': 0.0012525525009943, 'x7': 0.7965990173292923}",5.081710132000353,521.433
"{'x0': 0.1835150790867632, 'x1': 1.9427268530019035, 'x2': -1.8503033425436877, 'x3': 0.2195544384029668, 'x4': 0.7626047193718897, 'x5': -1.841635332447558, 'x6': 1.1595298350499847, 'x7': -1.6726914221846865}",5.08172949200025,6619.788
"{'x0': 0.5194405606232793, 'x1': -1.6290897406111926, 'x2': -0.0341546485563095, 'x3': 1.0356084605918483, 'x4': 0.3214066069057066, 'x5': -1.2201026400024522, 'x6': 0.5192571084488642, 'x7': -0.0797768836833574}",5.0816978120001295,1541.741
"{'x0': 1.1638016083521188, 'x1': 0.4812306861349298, 'x2': 1.5798481823953971, 'x3': -0.7238623255947205, 'x4': 0.7700224576114674, 'x5': -1.0314575974782083, 'x6': -1.961497372882685, 'x7': 0.5293293852929053}",5.081735862000187,3597.516
"{'x0': 1.673267712183696, 'x1': -1.0817966758727362, 'x2': -1.886572779393835, 'x3': 0.6492513187591493, 'x4': -0.6262072920536834, 'x5': 0.8238737730269112, 'x6': -0.6441522800900972, 'x7': 1.926941088878813}",5.081679142000212,3838.556
"{'x0': 0.3265973641684474, 'x1': -1.169303801158892, 'x2': 1.0598599147183705, 'x3': 0.8635052391087061, 'x4': -1.7569810170769056, 'x5': 1.7568077032499287, 'x6': -1.701727654005762, 'x7': -1.3827649114652083}",5.081685412000297,5126.181
"{'x0': 0.764695431310757, 'x1': -0.1032525283568874, 'x2': 0.3769484185012941, 'x3': -1.7878783301196746, 'x4': -1.0904605869455324, 'x5': -1.598039612763424, 'x6': 0.4088947298985261, 'x7': 0.0271154564023405}",5.0815928720003285,3530.755
"{'x0': 0.0877134777443036, 'x1': 1.0696679560765068, 'x2': -0.3745558770183175, 'x3': -1.0413744767984476, 'x4': 0.5555617397047494, 'x5': -1.0216773052756472, 'x6': 1.3061308858589502, 'x7': 1.7170671602895071}",5.08163850200026,706.186
