configs,runtime_traj,F1
"{'x0': -1.4612644505142958, 'x1': -0.6499958833710124, 'x2': -1.322454089825505, 'x3': 1.7369361950762112, 'x4': 1.9998988614637137, 'x5': -0.6609025655916598, 'x6': 0.8422917037229634, 'x7': 0.3149862456817045}",5.001747728005284,3406.25
"{'x0': 0.9647714273433112, 'x1': -0.2790326573656343, 'x2': -1.6790773767664724, 'x3': 1.0367982634344035, 'x4': -0.3682715319892067, 'x5': 1.783020612202992, 'x6': 0.2085330887988807, 'x7': 1.8419853596995548}",10.007179517997429,2470.312
"{'x0': 1.419493561667145, 'x1': 1.0806401002196244, 'x2': -0.4418063552317699, 'x3': -1.418133227028904, 'x4': -1.0696853075616373, 'x5': -1.557772852399089, 'x6': 0.9992084280194192, 'x7': -1.347389458368481}",15.023893031990156,3058.837
"{'x0': -1.9768622657183124, 'x1': -0.0787146032744572, 'x2': 0.3964671167611659, 'x3': 0.8260499166280666, 'x4': -1.621166437724319, 'x5': -0.8514166011331723, 'x6': 0.5201845610744327, 'x7': 0.5499161374670289}",20.0373340859951,3423.67
"{'x0': -0.7666305225613501, 'x1': -1.0221982047062643, 'x2': -1.905093487110261, 'x3': 0.1117477361603724, 'x4': 1.6578988516808235, 'x5': 1.6970804866615494, 'x6': -0.7924714046573063, 'x7': -0.8100101801440118}",25.05414043998462,4324.238
"{'x0': 0.5, 'x1': -0.5, 'x2': 0.5, 'x3': -0.5, 'x4': 0.5, 'x5': -0.5, 'x6': 0.5, 'x7': -0.5}",40.86539545501,251.5
"{'x0': 0.3, 'x1': -0.3, 'x2': 0.3, 'x3': -0.3, 'x4': 0.3, 'x5': -0.3, 'x6': 0.3, 'x7': -0.3}",45.87697515799664,81.1
"{'x0': 0.7, 'x1': -0.7, 'x2': 0.7, 'x3': -0.7, 'x4': 0.7, 'x5': -0.7, 'x6': 0.7, 'x7': -0.7}",50.88398392000818,588.7
"{'x0': -0.5, 'x1': 0.5, 'x2': -0.5, 'x3': 0.5, 'x4': -0.5, 'x5': 0.5, 'x6': -0.5, 'x7': 0.5}",55.89467301999685,203.5
"{'x0': -0.1, 'x1': 0.1, 'x2': -0.1, 'x3': 0.1, 'x4': -0.1, 'x5': 0.1, 'x6': -0.1, 'x7': 0.1}",72.19199867700809,14.14
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.1, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': 0.1, 'x7': -0.1}",77.20458686701022,14.14
"{'x0': 0.0, 'x1': -1.0, 'x2': 0.0, 'x3': 1.0, 'x4': 0.0, 'x5': -1.0, 'x6': 0.0, 'x7': 1.0}",82.20835010398878,712.0
"{'x0': 0.0, 'x1': 1.0, 'x2': 0.0, 'x3': -1.0, 'x4': 0.0, 'x5': 1.0, 'x6': 0.0, 'x7': -1.0}",87.22240699699614,708.0
"{'x0': 0.8, 'x1': -0.2, 'x2': -1.2, 'x3': 0.7, 'x4': -0.9, 'x5': 0.3, 'x6': -0.6, 'x7': 1.1}",103.24866404099156,613.74
"{'x0': 0.3, 'x1': -0.9, 'x2': 1.6, 'x3': -0.4, 'x4': -0.2, 'x5': 0.8, 'x6': -1.4, 'x7': 1.0}",108.26074035000056,1629.28
"{'x0': -0.5, 'x1': -1.8, 'x2': 0.2, 'x3': 1.7, 'x4': -0.1, 'x5': -0.7, 'x6': 0.9, 'x7': -1.3}",113.26453822400072,3041.74
"{'x0': -1.7, 'x1': 0.5, 'x2': -0.6, 'x3': 1.1, 'x4': 0.2, 'x5': -1.1, 'x6': 1.8, 'x7': -0.2}",118.27653892998931,2164.16
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0}",134.77989208098734,7.0
"{'x0': 0.15, 'x1': -0.15, 'x2': 0.15, 'x3': -0.15, 'x4': 0.15, 'x5': -0.15, 'x6': 0.15, 'x7': -0.15}",139.79187609799556,23.637
"{'x0': -0.15, 'x1': 0.15, 'x2': -0.15, 'x3': 0.15, 'x4': -0.15, 'x5': 0.15, 'x6': -0.15, 'x7': 0.15}",144.79595140001038,22.887
"{'x0': -0.2, 'x1': 0.2, 'x2': -0.2, 'x3': 0.2, 'x4': -0.2, 'x5': 0.2, 'x6': -0.2, 'x7': 0.2}",149.80829455298954,35.2
