configs,runtime_traj,F1
"{'x0': -0.2324635214985806, 'x1': 0.3390367064066826, 'x2': 0.1156469202057421, 'x3': 1.0377255059671109, 'x4': 1.1918046202238446, 'x5': -0.2546190362083262, 'x6': 0.2671910699339737, 'x7': -0.4435185486393216}",5.0013666759987245,430.437
"{'x0': 0.7434199349387245, 'x1': 1.3878921565962328, 'x2': -1.1194464539621458, 'x3': 0.5146239044173151, 'x4': 1.1433562089809026, 'x5': -1.791553479574736, 'x6': 1.1233632528686668, 'x7': -1.135466215766457}",10.004597447998094,3112.168
"{'x0': -0.1662111035333087, 'x1': 1.082818416294947, 'x2': 0.3541919655851195, 'x3': 0.3420746795059957, 'x4': 0.6447593809864558, 'x5': -1.858772046281434, 'x6': 1.3151793565298653, 'x7': 0.4210132239848736}",15.007796229998348,1367.956
"{'x0': -1.3641438209352192, 'x1': -1.6197770865222088, 'x2': -1.9717091137128029, 'x3': -1.5741757934283798, 'x4': 0.92054833759112, 'x5': -0.4213521020252186, 'x6': 1.4133063497684524, 'x7': 1.2838709805651596}",20.016491064001457,6943.688
"{'x0': 1.423331705340212, 'x1': -0.0636921167598756, 'x2': -1.6991849364420046, 'x3': -1.2629284515175605, 'x4': -1.1316520820724618, 'x5': 0.5648470992002061, 'x6': -1.7371377576496343, 'x7': 0.601343293274692}",25.01949427,4276.391
"{'x0': -0.5, 'x1': 0.5, 'x2': -0.5, 'x3': 0.5, 'x4': -0.5, 'x5': 0.5, 'x6': 1.0, 'x7': 0.0}",41.1711029850012,295.0
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': -0.2, 'x7': 0.0}",46.18128461800006,11.6
"{'x0': -0.5, 'x1': 0.5, 'x2': -0.5, 'x3': 0.5, 'x4': -0.5, 'x5': 0.5, 'x6': -0.8, 'x7': -0.5}",51.18432171400127,382.2
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0}",56.18735699199897,7.0
"{'x0': -0.2, 'x1': -0.3, 'x2': -0.2, 'x3': -0.2, 'x4': -0.2, 'x5': -0.2, 'x6': -0.16, 'x7': -0.2}",79.75002260900146,56.575
