configs,runtime_traj,F1
"{'x0': 0.2010811698540164, 'x1': 2.021886889726676, 'x2': -1.2966571451335265, 'x3': -1.382811599986178, 'x4': -1.1760858011753044, 'x5': -0.1515092879689541, 'x6': -2.01643680132054, 'x7': -0.1231890631391074}",5.002209522994235,7618.897
"{'x0': -0.0248963824321917, 'x1': 1.4478039675069616, 'x2': 1.711503143300679, 'x3': 1.4322611274384869, 'x4': 0.666650369422987, 'x5': -1.686638257137669, 'x6': 0.4732186818741155, 'x7': 0.3447472051270841}",10.005589769978542,1667.637
"{'x0': 1.7754113567228322, 'x1': 1.6884207364153698, 'x2': -1.979276634631995, 'x3': 0.0518683028264459, 'x4': -0.7299694569291868, 'x5': 0.7352968526133119, 'x6': -0.9054072304031466, 'x7': 1.097127253709829}",15.02185929499683,4333.625
"{'x0': -0.3276696442084668, 'x1': 1.6078724276384908, 'x2': 1.2617182250940542, 'x3': 1.0186593640305972, 'x4': 1.5078073312184777, 'x5': 1.5431569225468706, 'x6': 1.498567503367342, 'x7': -0.8545778394814421}",20.0356308860064,1550.736
"{'x0': -1.8094125122488416, 'x1': -1.9445919770942464, 'x2': 0.9447774499931558, 'x3': -1.5069353520633162, 'x4': 1.5673008818827592, 'x5': -0.3704222108819659, 'x6': -0.2672149323679995, 'x7': -1.8885249344191908}",25.043746037001256,5379.54
"{'x0': -0.5, 'x1': 0.02, 'x2': 0.0, 'x3': -0.1, 'x4': 0.0, 'x5': 0.5, 'x6': -1.5, 'x7': 1.5}",40.00626351599931,406.72
"{'x0': -1.5, 'x1': 1.2, 'x2': 0.2, 'x3': -0.2, 'x4': 1.0, 'x5': -1.0, 'x6': 0.0, 'x7': -0.8}",45.01717949399608,939.3
"{'x0': -0.5, 'x1': 1.8, 'x2': 0.8, 'x3': -0.8, 'x4': -0.2, 'x5': 0.2, 'x6': 1.2, 'x7': -1.2}",50.02105289199972,1955.9
"{'x0': 1.0, 'x1': -0.5, 'x2': 1.0, 'x3': -1.0, 'x4': 0.5, 'x5': -0.5, 'x6': 0.0, 'x7': -1.0}",55.034072505979566,878.5
"{'x0': -0.8, 'x1': 0.01, 'x2': -0.8, 'x3': 0.8, 'x4': 0.2, 'x5': -0.2, 'x6': -0.6, 'x7': 0.6}",73.5853140319814,190.246
"{'x0': 0.0, 'x1': -1.0, 'x2': -0.5, 'x3': 0.5, 'x4': 0.0, 'x5': 1.0, 'x6': -1.0, 'x7': 0.0}",78.602684966987,950.0
"{'x0': 1.5, 'x1': 0.5, 'x2': -0.5, 'x3': -1.0, 'x4': 1.0, 'x5': -0.5, 'x6': 0.0, 'x7': 1.0}",83.60863651600084,860.0
"{'x0': 1.0, 'x1': -0.5, 'x2': -1.0, 'x3': 1.0, 'x4': -0.5, 'x5': 0.5, 'x6': 0.0, 'x7': 1.0}",88.62969750299817,728.5
"{'x0': -0.2, 'x1': 0.01, 'x2': 0.2, 'x3': -0.2, 'x4': 0.0, 'x5': -0.1, 'x6': 0.0, 'x7': -0.15}",110.92513210399191,20.976
"{'x0': -0.2, 'x1': 0.01, 'x2': 0.2, 'x3': -0.2, 'x4': -0.2, 'x5': 0.2, 'x6': -1.0, 'x7': 1.0}",115.941697998991,136.906
"{'x0': 0.5, 'x1': -0.05, 'x2': -0.5, 'x3': 0.5, 'x4': 0.5, 'x5': -0.5, 'x6': 1.0, 'x7': -0.1}",120.94550068199167,286.603
"{'x0': 0.5, 'x1': -0.05, 'x2': 0.5, 'x3': -0.5, 'x4': -0.5, 'x5': 0.5, 'x6': -0.5, 'x7': -0.2}",125.9501009429805,237.603
"{'x0': -0.1, 'x1': 1.0, 'x2': 0.1, 'x3': -0.1, 'x4': 0.0, 'x5': -0.05, 'x6': 0.0, 'x7': -0.05}",152.55927794598392,187.063
"{'x0': 0.0, 'x1': 0.001, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': -0.24, 'x7': 0.5}",157.5705435719865,32.867
"{'x0': 0.0, 'x1': -0.01, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.5, 'x7': -0.1}",162.57618051799363,43.53
"{'x0': 0.2, 'x1': -0.02, 'x2': -0.2, 'x3': 0.2, 'x4': 0.0, 'x5': -0.1, 'x6': 0.7, 'x7': -0.5}",167.58262889098842,159.776
"{'x0': -0.1, 'x1': 0.005, 'x2': -0.1, 'x3': 0.1, 'x4': -0.1, 'x5': 0.1, 'x6': -0.05, 'x7': 0.05}",194.02307395398384,11.761
"{'x0': -0.1, 'x1': 0.01, 'x2': 0.1, 'x3': -0.1, 'x4': 0.0, 'x5': 0.0, 'x6': -0.249, 'x7': 0.05}",199.03613204698195,16.203
"{'x0': -0.1, 'x1': 0.5, 'x2': -0.1, 'x3': 0.1, 'x4': -0.1, 'x5': 0.01, 'x6': -0.1, 'x7': 0.1}",204.04930564999813,46.972
