configs,runtime_traj,F1
"{'x0': -1.2899038078025449, 'x1': 1.7675913864032735, 'x2': 1.833904584818188, 'x3': -0.0624676995737367, 'x4': -0.7350827535908566, 'x5': -1.415468347026104, 'x6': 0.8145415838400565, 'x7': -1.5566825775251871}",5.08330184600004,2429.086
"{'x0': -0.0607194742789529, 'x1': 0.5436937445414372, 'x2': 1.3034566506696192, 'x3': 0.7496744731011944, 'x4': -0.0058934474616054, 'x5': 0.3555204218884231, 'x6': 0.9001133357341047, 'x7': -0.9891918379524144}",5.083323626000038,652.32
"{'x0': 0.189265182319239, 'x1': -0.3796671189403846, 'x2': -1.323070981456132, 'x3': 1.923614334266543, 'x4': -0.8314128092869109, 'x5': -0.8688893301964622, 'x6': -1.572072171126376, 'x7': -1.303646053248292}",5.0833938149999085,4521.46
"{'x0': -0.0233891114274507, 'x1': 0.2693739692996821, 'x2': -1.1393631559159645, 'x3': 1.095643836068915, 'x4': 0.3166538497871789, 'x5': -1.3605957193668372, 'x6': -0.5428372741167231, 'x7': -0.1283129992551661}",5.083409265,1055.354
"{'x0': 0.6318742823202461, 'x1': 1.2004955903697727, 'x2': 0.6679011043363237, 'x3': 0.4629696287120799, 'x4': 2.0105297723389945, 'x5': -1.558590266043134, 'x6': -1.4394786468276266, 'x7': 1.44294311415256}",5.0834481049998885,5133.918
"{'x0': 0.0390179901125598, 'x1': -1.158062381301268, 'x2': 2.020418742114675, 'x3': -0.7565415171159631, 'x4': -0.9882289298234268, 'x5': 1.2663819713362807, 'x6': -0.5993456489087166, 'x7': -0.1317171467405955}",5.083488654999883,3299.529
"{'x0': -0.9249863295366754, 'x1': 1.221428788580571, 'x2': 1.2867109400053378, 'x3': 1.8353783681134763, 'x4': 1.3225354873916777, 'x5': 0.0620098390586862, 'x6': -1.1427915641112565, 'x7': 1.0102022475334849}",5.083473765000008,874.431
"{'x0': -0.2804212931169323, 'x1': 1.5904921567948, 'x2': 1.807127776201792, 'x3': 0.0123381897051495, 'x4': 0.8275641968327978, 'x5': 0.8459960560595658, 'x6': -0.0777348886344775, 'x7': 1.8854450467841564}",5.083369775999927,1831.278
"{'x0': -0.3030117332743267, 'x1': -0.7255072217827065, 'x2': 1.0728652662865894, 'x3': 1.7720465998276804, 'x4': 0.8651458264573644, 'x5': 0.0713964082031379, 'x6': 1.5747956641705725, 'x7': 0.2196842120283433}",5.083427994999965,1462.418
"{'x0': 0.301639660244442, 'x1': -0.4344492238764379, 'x2': 1.747135490013033, 'x3': -2.0252900580074904, 'x4': 0.935929840485148, 'x5': -0.5908331360655235, 'x6': -1.1758254617496096, 'x7': -0.5651357244053687}",5.0833410860000185,4697.68
"{'x0': 1.5495179756332682, 'x1': -0.5598171489806514, 'x2': 0.0131355403907291, 'x3': 1.0956319121421445, 'x4': 1.697691937710749, 'x5': 1.336803355434323, 'x6': -0.361486585968692, 'x7': 0.5359315482455655}",5.083402914999851,1753.421
"{'x0': -0.6475300868903746, 'x1': -0.484585714317062, 'x2': 1.8942344067931427, 'x3': 0.6021702801025315, 'x4': 1.8753358660129515, 'x5': 1.242939917438835, 'x6': -1.1084351069106009, 'x7': 1.5532115064649026}",5.083361075999846,2720.274
"{'x0': 0.3788651019739171, 'x1': 1.1721615042259863, 'x2': 0.1316636316422186, 'x3': 1.9181181878054243, 'x4': 0.3070096781602234, 'x5': -0.0948493997523005, 'x6': -0.3230172500983317, 'x7': 0.4054219909236343}",5.083433815000035,1787.692
"{'x0': -1.6114788957719353, 'x1': -0.5381835259754058, 'x2': -1.1640569788068045, 'x3': 1.2583368405787527, 'x4': 1.2215115156932952, 'x5': 0.2233936848076942, 'x6': 1.618516965146346, 'x7': 1.757757031852278}",5.083466464999901,1704.469
"{'x0': 1.9563863690243988, 'x1': 1.7109758791638845, 'x2': -1.8841139579391533, 'x3': 0.953640918687841, 'x4': 1.6235473991916551, 'x5': 1.3837539242937424, 'x6': 0.1493143459859056, 'x7': -0.7318790726346507}",5.083415514999842,4024.445
"{'x0': -0.4208476349023249, 'x1': -0.9116089707699236, 'x2': 1.786871984455174, 'x3': -0.1485102810490985, 'x4': 1.4429755637835466, 'x5': -1.1765048519821155, 'x6': -2.047493785725106, 'x7': -1.6674969087166656}",5.08349800499991,7223.308
"{'x0': -1.3307232914036091, 'x1': 0.0608631315700693, 'x2': 1.5564404688646176, 'x3': 1.166507696988659, 'x4': 0.1221475306885904, 'x5': -0.926360093035588, 'x6': -1.939930525222876, 'x7': 1.514326533359165}",5.083331405999843,2241.761
"{'x0': -0.9198064883877656, 'x1': -1.4532183822977274, 'x2': 0.022166053226265, 'x3': -0.6754522508755059, 'x4': -1.385695521195479, 'x5': -1.1497882730058018, 'x6': 1.3783762883728763, 'x7': 0.9025455243455518}",5.0833840949999285,2416.467
"{'x0': -1.8371043807061616, 'x1': 0.5049234862941137, 'x2': -0.8754411611557753, 'x3': 1.2811548531974497, 'x4': 0.1878946137886812, 'x5': -1.9731659519176483, 'x6': -1.982012358685624, 'x7': 1.7819063524516272}",5.083421634999922,5535.675
"{'x0': -0.448161053778626, 'x1': 1.6820449845038672, 'x2': 1.3085301533710836, 'x3': -1.677842955215418, 'x4': -0.5806476930190811, 'x5': -1.9702369180777883, 'x6': -0.2046905457145049, 'x7': -1.9236116370768297}",5.083439705000046,5364.379
"{'x0': -0.9406301442752352, 'x1': -2.037421764537309, 'x2': -0.2713767306388326, 'x3': 0.3570655400163138, 'x4': 2.0151675095721417, 'x5': -0.2641067062983793, 'x6': -0.5634974607223562, 'x7': 1.5283295723073511}",5.083315665999862,5251.479
"{'x0': -0.0612197740303268, 'x1': 0.9988588716924278, 'x2': 1.041125168631996, 'x3': -0.7221936022207893, 'x4': 0.9639993031133756, 'x5': -1.2878244491507822, 'x6': -1.5069521573495126, 'x7': -2.0071550666019315}",5.083456894999927,3784.359
"{'x0': -0.5200238410307925, 'x1': -2.003759414588051, 'x2': 1.427300383201526, 'x3': -1.0519888509560027, 'x4': 0.7373916467730153, 'x5': 0.725564384410827, 'x6': 1.5803490557202, 'x7': -1.4189950129864488}",5.083351235999999,3819.255
"{'x0': 1.8296591445521395, 'x1': -0.844825670026522, 'x2': 0.9691158055342736, 'x3': -0.1001923825546764, 'x4': -1.3727041923461485, 'x5': 1.3412489300674588, 'x6': 0.1626022064861429, 'x7': -0.5973097637338933}",5.083480074999898,2411.35
