configs,runtime_traj,F1
"{'x0': 0.3802915562496749, 'x1': 1.410112506187847, 'x2': 1.4661452497828118, 'x3': 1.4223431220597775, 'x4': 0.5061169020353429, 'x5': -0.4735725269291015, 'x6': -0.8292982515938416, 'x7': -1.8157036449077528}",5.082065729000078,1268.104
"{'x0': -0.9311998173998564, 'x1': -0.091483679451751, 'x2': 1.2786431130644202, 'x3': -0.0820135019517651, 'x4': -0.4391534751710015, 'x5': 1.3765786154490982, 'x6': -0.6660253269308687, 'x7': 0.6069119879217038}",5.082059239000046,1377.738
"{'x0': -0.5396826528131156, 'x1': 1.8725075310716777, 'x2': -1.4731232034298056, 'x3': 1.5158774102361554, 'x4': -0.1081014465588818, 'x5': 1.232530440108623, 'x6': 0.0838757562417349, 'x7': 0.7326905553672614}",5.082052829000077,3770.497
"{'x0': 0.9037113537573548, 'x1': 0.3359530683396388, 'x2': 0.1530807478231475, 'x3': 1.059289597224375, 'x4': -1.6142024409588034, 'x5': -0.1081326823560913, 'x6': -1.2847827217335912, 'x7': 0.9704168535202125}",5.082024939000121,1844.578
"{'x0': -1.1610097482777728, 'x1': -1.4941463617312682, 'x2': -0.720318432078995, 'x3': -1.4349317440156335, 'x4': -1.137371593721497, 'x5': -0.4649411333084694, 'x6': 1.6490433557684416, 'x7': -0.2050048413236118}",5.08208335900008,4479.734
"{'x0': 0.4631079234934065, 'x1': 1.6480197966806394, 'x2': -1.6413476849296431, 'x3': 1.9243379414906832, 'x4': 0.6272615866283529, 'x5': -1.347954339282759, 'x6': -0.5810087240928257, 'x7': 1.026810434430797}",5.082101619000014,4051.916
"{'x0': 0.4416744190585557, 'x1': -0.7166065499817882, 'x2': -1.8906094531676787, 'x3': 0.5499865413932445, 'x4': 1.8798562042860356, 'x5': 0.6258291384544905, 'x6': 0.5532011462801973, 'x7': 2.028747029208628}",5.08200978900004,2982.602
"{'x0': 0.3352589493802367, 'x1': -0.3507462626247934, 'x2': -0.1036390306266608, 'x3': 0.5058973742361323, 'x4': -0.6635208096198995, 'x5': 0.7157855119729488, 'x6': -0.7487416644841633, 'x7': 1.1401030943781234}",5.082095798999944,345.487
"{'x0': 1.84144303493424, 'x1': 0.6657100470273813, 'x2': -1.992410580532798, 'x3': 0.5031776073591581, 'x4': 0.7113098479033932, 'x5': 1.9330867302386308, 'x6': 1.549080458638037, 'x7': 0.0394214470447109}",5.082118878000074,3809.179
"{'x0': -1.8197926145982208, 'x1': -0.2000518573222784, 'x2': -1.966130522485724, 'x3': -0.2387520665647293, 'x4': 1.964387241216936, 'x5': -0.5757154755816591, 'x6': -0.0782600976950771, 'x7': 0.7727562047724357}",5.081997628999943,5750.471
"{'x0': 1.5584292423786312, 'x1': 1.7130924702193449, 'x2': -1.1598965242775845, 'x3': 0.2670135976135692, 'x4': 1.4954600911068567, 'x5': 0.0367368628920914, 'x6': 1.706897219663711, 'x7': 1.7250615715315702}",5.082130108000001,2970.553
"{'x0': -1.7075712301850523, 'x1': -0.9104647729928912, 'x2': -2.0096749369076425, 'x3': 1.4022331583190262, 'x4': 0.6028252782082273, 'x5': 1.3983175442323637, 'x6': -0.9636652470949902, 'x7': -0.4185261967006555}",5.082031849000032,4315.845
"{'x0': 0.2163567816194929, 'x1': -1.3724038748492426, 'x2': -0.5332660521027992, 'x3': -1.4481745398615562, 'x4': 0.2851569906618643, 'x5': 0.8345078959714969, 'x6': -0.8664005138492266, 'x7': -0.2732520981215476}",5.082107288000088,1838.426
"{'x0': 1.0490130180712076, 'x1': -0.4255814638659081, 'x2': 1.6221732352371796, 'x3': 0.5690207282434576, 'x4': 1.6038069748763737, 'x5': 0.7375076125221369, 'x6': -0.2080860642575481, 'x7': 1.960226522811257}",5.0821132480000415,1794.86
"{'x0': -1.5720369782276324, 'x1': 1.0937290897765446, 'x2': -0.3611847107999961, 'x3': 0.7185984765961666, 'x4': -1.0248344549172097, 'x5': -0.7650577123493849, 'x6': 1.9063448392496207, 'x7': 0.3623529884415974}",5.082136437999907,2295.574
"{'x0': 0.654001815836315, 'x1': 0.1360128160425913, 'x2': -1.1037367357180727, 'x3': -0.4306153740278615, 'x4': 0.4866398805661989, 'x5': -0.1029426568849736, 'x6': -0.1223385528083857, 'x7': 0.8850412799125222}",5.082142387999966,514.486
"{'x0': -0.8683888461280029, 'x1': -0.4773387262568536, 'x2': 1.0205996529775605, 'x3': 1.5501401713706682, 'x4': -1.6266716827916772, 'x5': -1.669636548768161, 'x6': -0.5978248721047135, 'x7': 0.212239397409828}",5.082077489000085,4897.476
"{'x0': -1.910271617028784, 'x1': 1.920867390506081, 'x2': -0.7331952993341542, 'x3': -1.1417080414872256, 'x4': -1.4693830454235273, 'x5': -1.6496233387492398, 'x6': 1.982637020627544, 'x7': -0.9816435606019904}",5.082124757999964,7255.24
"{'x0': 0.1516442475551933, 'x1': -0.2132944000174903, 'x2': -1.640165011002118, 'x3': -0.6049314357226168, 'x4': -0.1259553833359683, 'x5': 1.3973099716018154, 'x6': 1.657437160282167, 'x7': -1.8941567638399373}",5.082089359000065,3766.939
"{'x0': 0.034060077379137, 'x1': -1.3645925865533457, 'x2': 1.14299297631861, 'x3': 1.49476677878781, 'x4': -0.3629190194976581, 'x5': -1.474672289819846, 'x6': -1.911921109949738, 'x7': 1.9766270354439928}",5.082071939000116,3149.51
"{'x0': -0.5190010847917883, 'x1': -0.3273712853376587, 'x2': -1.8407910807378445, 'x3': -0.5509279487450713, 'x4': -1.97989181958608, 'x5': -1.102879394173765, 'x6': 1.085078319091127, 'x7': 1.8191299356076216}",5.082045418999996,5082.044
"{'x0': 1.0239969229623314, 'x1': -0.6578019555347718, 'x2': -0.0428075544940802, 'x3': -0.6595169616700283, 'x4': -1.312807891280463, 'x5': -1.3476388917938935, 'x6': -0.1497047966331579, 'x7': 1.5342508345139056}",5.0820386990001225,2239.947
"{'x0': 1.81911449975834, 'x1': 0.4434037385380369, 'x2': 0.3959005441845376, 'x3': 1.1618068287565353, 'x4': 0.0001077154992183, 'x5': -1.8416842475211008, 'x6': 0.8155057140470219, 'x7': 2.016855649847839}",5.0820175490000565,2304.548
"{'x0': -0.9532926448374652, 'x1': 0.7335551616098872, 'x2': 1.4920967892428578, 'x3': 1.0274580300940557, 'x4': 1.902550088865509, 'x5': 0.2221770141058674, 'x6': -1.178048516545296, 'x7': -1.1368725529115906}",5.082155478000004,2262.193
"{'x0': -1.1520025651741823, 'x1': 0.2849731976181271, 'x2': -0.1961613925030882, 'x3': 1.926089453961628, 'x4': 0.7395110551256248, 'x5': -1.6986293622427624, 'x6': -1.8169105092035944, 'x7': -0.0498167629456824}",5.082149097999945,5215.85
"{'x0': 1.5605946867780602, 'x1': 1.9513523674851023, 'x2': 0.4819268243287253, 'x3': 0.1740749824425878, 'x4': 1.4524972249526864, 'x5': 0.9987462975888906, 'x6': -0.0876694502655996, 'x7': 0.7253261272149416}",10.152288763000117,1628.414
"{'x0': 0.4384565703329857, 'x1': 0.8793986508282146, 'x2': -0.1249395380585638, 'x3': -0.1801641032996157, 'x4': 1.6646884845984609, 'x5': -1.4859451592818909, 'x6': -1.1091176526373707, 'x7': 1.5629737951665388}",10.152296143000058,3335.962
"{'x0': 1.6565247004230923, 'x1': 0.5971337154637792, 'x2': -0.7180985464157579, 'x3': 0.0807370492242993, 'x4': -2.047773258280925, 'x5': -0.7706205360857534, 'x6': -0.3053505005478873, 'x7': 1.5783430537608625}",10.152230792999944,3801.408
"{'x0': 0.7367862534421277, 'x1': -0.1796924533847572, 'x2': -0.067958306411509, 'x3': 1.1826766951712218, 'x4': -1.1082062460065982, 'x5': 1.5576989823590588, 'x6': -0.7631159602871103, 'x7': 1.8737187047790744}",10.152270283000009,2025.908
"{'x0': -0.1157055656230863, 'x1': 0.8666473146810936, 'x2': -1.4184681266880657, 'x3': 0.9438911552175896, 'x4': 0.5990991352409494, 'x5': -1.167848502269632, 'x6': -1.2842671329716695, 'x7': 1.2598487812455934}",10.15225075300009,1632.84
"{'x0': 1.0120375096903031, 'x1': 0.7161747289239231, 'x2': -0.9138431966531952, 'x3': -1.3315732508282572, 'x4': 0.8375265623797512, 'x5': -0.1509367808404145, 'x6': 1.3943952692651314, 'x7': -1.2088698381088945}",10.152350063000084,2035.777
"{'x0': -1.372328476316642, 'x1': -1.5366837965206075, 'x2': 0.9096423932016582, 'x3': -1.923264655599205, 'x4': 1.0116884078571662, 'x5': -1.6687261076745683, 'x6': -1.157322781877978, 'x7': 1.0209460922910298}",10.152366612999913,5180.418
"{'x0': 0.9490176264793724, 'x1': -1.8611624462299687, 'x2': -1.1912928072464748, 'x3': -0.8727959826407237, 'x4': 0.7260704986661968, 'x5': -1.7897951655142328, 'x6': 0.2279392983865147, 'x7': -2.010152658999129}",10.15234405299998,5327.635
